CH_000	GAMMA
30	-0.000967032967032967
30	-0.000714285714285714
35	-0.000465201465201465
35	-0.000201465201465201
40	-5.49450549450549e-05
45	2.93040293040293e-05
60	0.000249084249084249
65	0.000512820512820513
75	0.000787545787545788
80	0.00104029304029304
85	0.00130769230769231
95	0.00157142857142857
100	0.00183150183150183
100	0.00209523809523809
110	0.00234065934065934
125	0.00258608058608059
150	0.00284981684981685
175	0.0030952380952381
205	0.00334432234432234
235	0.00358974358974359
275	0.00386446886446886
300	0.00402564102564103
220	0.0039047619047619
145	0.00363369963369963
100	0.00341391941391941
60	0.00315384615384615
35	0.0028974358974359
20	0.00264468864468864
15	0.00238461538461538
20	0.00212820512820513
15	0.00187179487179487
5	0.00162637362637363
0	0.00137728937728938
-5	0.00112087912087912
-10	0.000864468864468865
-15	0.000608058608058608
-15	0.000336996336996337
-15	8.05860805860806e-05
-30	-0.000157509157509158
-35	-0.000417582417582418
-45	-0.000663003663003663
-55	-0.000926739926739927
-65	-0.00117216117216117
-80	-0.00142490842490842
-100	-0.00167032967032967
-115	-0.00191208791208791
-140	-0.00217948717948718
-160	-0.00241025641025641
-180	-0.00266300366300366
-210	-0.00292673992673993
-240	-0.00319047619047619
-270	-0.00343956043956044
-300	-0.00368864468864469
-336	-0.00395970695970696
-336	-0.004003663003663
-270	-0.00388644688644689
-215	-0.00362271062271062
-170	-0.00338095238095238
-130	-0.00313186813186813
-100	-0.00288644688644689
-75	-0.00263003663003663
-40	-0.00225274725274725
-20	-0.002003663003663
-5	-0.00173992673992674
5	-0.00150915750915751
20	-0.00128571428571429
25	-0.00102564102564103
30	-0.000776556776556777
35	-0.000512820512820513
35	-0.000282051282051282
40	-6.22710622710623e-05
40	3.66300366300366e-06
65	0.00047985347985348
70	0.001
90	0.00152747252747253
95	0.00203663003663004
120	0.00256776556776557
165	0.00308424908424908
225	0.00357875457875458
310	0.0040989010989011
371	0.00456776556776557
426	0.00508791208791209
486	0.0056007326007326
541	0.00611721611721612
586	0.00665201465201465
636	0.00718681318681319
676	0.00771428571428572
686	0.00812087912087912
641	0.0080952380952381
491	0.0076007326007326
361	0.0071025641025641
250	0.00661538461538462
165	0.0061025641025641
105	0.00558608058608059
50	0.00506227106227106
25	0.00455677655677656
5	0.00404761904761905
5	0.00352747252747253
0	0.00302930402930403
-10	0.0025018315018315
-15	0.00196703296703297
-25	0.00145054945054945
-25	0.000937728937728938
-30	0.000432234432234432
-40	-8.05860805860806e-05
-60	-0.000597069597069597
-80	-0.00109157509157509
-125	-0.00185714285714286
-160	-0.00235897435897436
-205	-0.00287545787545787
-260	-0.00338827838827839
-315	-0.00386813186813187
-366	-0.0044029304029304
-406	-0.0049010989010989
-436	-0.00542124542124542
-461	-0.00593772893772894
-491	-0.00648717948717949
-516	-0.00698534798534799
-536	-0.00749450549450549
-566	-0.00802564102564103
-546	-0.00814285714285714
-421	-0.00785347985347985
-320	-0.00735897435897436
-235	-0.00684615384615385
-165	-0.00634065934065934
-110	-0.00581684981684982
-65	-0.00531135531135531
-40	-0.00478754578754579
-20	-0.00428571428571429
-5	-0.00375824175824176
10	-0.00328571428571429
25	-0.00277655677655678
25	-0.00224908424908425
35	-0.00173626373626374
40	-0.00121611721611722
45	-0.000717948717948718
50	-0.000212454212454212
45	-9.15750915750916e-05
60	0.000278388278388278
70	0.000787545787545788
80	0.00131868131868132
95	0.00183882783882784
95	0.00236996336996337
120	0.0029010989010989
145	0.00342124542124542
185	0.00394139194139194
225	0.00445421245421245
275	0.00498534798534799
330	0.00546886446886447
391	0.00597069597069597
456	0.00648717948717949
531	0.00701098901098901
596	0.00752747252747253
666	0.00805128205128205
661	0.00812820512820513
526	0.00780952380952381
386	0.00730769230769231
275	0.00682417582417583
190	0.00628937728937729
120	0.00579487179487179
75	0.0053003663003663
40	0.00476556776556777
20	0.00427106227106227
20	0.00347252747252747
15	0.00295970695970696
5	0.00243223443223443
-5	0.00193040293040293
-15	0.00141391941391941
