CH_000	GAMMA
55	0.015501492996337
60	0.0164903966556777
60	0.0165894711355311
40	0.0155180054102564
30	0.0145694525860806
20	0.0136172367582418
15	0.0126375002417582
10	0.0112174327032967
5	0.0102560497362637
0	0.00930199277289377
0	0.00834427280586081
-5	0.00688751743956044
-5	0.00593530161172161
-5	0.00498124465201465
-5	0.00401251641025641
-10	0.00257593646007326
-10	0.00160720821868132
-15	0.000634816973626374
-15	-0.000311894716849817
-20	-0.00175581993772894
-20	-0.00271904404139194
-20	-0.0036639145978022
-25	-0.00509132740659341
-25	-0.00606555978388278
-30	-0.00702327975091575
-35	-0.00799200799267399
-40	-0.00941757966666667
-45	-0.0103863079084249
-45	-0.0113385237362637
-50	-0.012307251978022
-50	-0.0137585032051282
-60	-0.0147125601684982
-60	-0.0156867925457875
-65	-0.0166500166483516
-60	-0.0167380828534799
-45	-0.0158023794395604
-30	-0.0148171387838828
-25	-0.0138484105421245
-10	-0.0124118305934066
-10	-0.0114431023516484
-5	-0.0104835412527473
-5	-0.00951115000732601
0	-0.00806356178388278
-5	-0.00711685009157509
0	-0.00613711357509158
0	-0.00518489774725275
0	-0.00373546838827839
5	-0.00276858128095238
0	-0.00182737372820513
0	-0.000858645486813187
0	-0.000104578616849817
5	0.000365114224542125
5	0.00132099305641026
10	0.0022897212981685
10	0.00367860514285714
15	0.00466200466300366
15	0.00562522876556777
15	0.00657194045787546
20	0.00801402454212454
25	0.00900476933699634
30	0.00996799343956044
30	0.010909200992674
35	0.0123366137985348
40	0.013309005043956
45	0.0142942456996337
50	0.0152409573882784
60	0.0166133288205128
60	0.0166243370952381
40	0.015859261948718
30	0.0149107091245421
20	0.013468625040293
15	0.0125017379304029
10	0.0115385138278388
5	0.010589961003663
0	0.00915338105494506
0	0.00819015694871795
0	0.00723794112087912
-5	0.0057903528974359
-5	0.00482162465567766
-10	0.00386390468864469
-10	0.00290802585860806
-10	0.0014585965
-10	0.000478859983150183
-15	-0.000467851707692308
-15	-0.00144208408681319
-15	-0.00284563920915751
-20	-0.00380886331135531
-20	-0.00479410396703297
-25	-0.00575732806959707
-30	-0.00719390802197802
-30	-0.00814612384981685
-30	-0.0091185150952381
-35	-0.0100725720549451
-40	-0.0115036478681319
-40	-0.012466871970696
-45	-0.0134521126263736
-50	-0.0144355121465201
-60	-0.0158354042637363
-65	-0.0168096366446886
-60	-0.0168041325054945
-45	-0.0160775863260073
-30	-0.0146740312014652
-20	-0.0136942946849817
-15	-0.0127310705824176
-10	-0.0117843588901099
-5	-0.0103422748058608
-5	-0.00937354656410257
-5	-0.0084194896007326
0	-0.0074526024945055
0	-0.00602152668131868
0	-0.00506380671794872
0	-0.00408957433699634
0	-0.00313185437142857
0	-0.00169527442271062
0	-0.00075406686959707
0	-7.70579282051282e-05
5	8.80662036630037e-05
5	0.00301260447545788
10	0.00498124465201465
15	0.00694806295604396
20	0.00890019071794872
35	0.011828391992674
40	0.0138043774395604
50	0.0157473380622711
70	0.0187085641648352
80	0.0206533659194139
90	0.0225798141245421
100	0.0245704708498168
110	0.0274986721282051
120	0.0295150276703297
125	0.031527700948718
140	0.0333715870915751
130	0.0333991077802198
80	0.0308451878717949
55	0.028891218974359
