CH_000	GAMMA
20	1.46520146520147e-05
20	1.46520146520147e-05
30	1.83150183150183e-05
85	9.15750915750916e-05
120	0.000183150183150183
155	0.000274725274725275
185	0.000362637362637363
235	0.000523809523809524
265	0.000619047619047619
290	0.0006996336996337
320	0.000824175824175824
346	0.000930402930402931
371	0.00102930402930403
396	0.00114652014652015
426	0.00123809523809524
451	0.00134798534798535
471	0.00143223443223443
501	0.00155311355311355
521	0.00163003663003663
541	0.00165567765567766
566	0.00177655677655678
571	0.00183150183150183
541	0.00182783882783883
471	0.00176190476190476
401	0.00171428571428571
341	0.00163003663003663
280	0.00154578754578755
225	0.00145787545787546
175	0.00135897435897436
135	0.00124542124542125
105	0.00115018315018315
75	0.00106227106227106
45	0.000952380952380952
25	0.000857142857142857
10	0.000765567765567766
-5	0.0006996336996337
-20	0.00058974358974359
-35	0.000501831501831502
-45	0.000406593406593407
-60	0.000304029304029304
-85	0.000175824175824176
-100	8.42490842490843e-05
-120	1.0989010989011e-05
-140	-9.15750915750916e-05
-170	-0.000183150183150183
-190	-0.0003003663003663
-215	-0.000384615384615385
-240	-0.000487179487179487
-260	-0.000600732600732601
-285	-0.00073992673992674
-305	-0.00084981684981685
-325	-0.000941391941391941
-346	-0.00104029304029304
-366	-0.00113186813186813
-386	-0.00125274725274725
-401	-0.00135164835164835
-421	-0.00145421245421245
-436	-0.00157509157509158
-446	-0.00168131868131868
-461	-0.00177289377289377
-466	-0.00185714285714286
-446	-0.00184615384615385
-391	-0.00176923076923077
-346	-0.00169230769230769
-300	-0.00184981684981685
-245	-0.00165934065934066
-205	-0.00159340659340659
-170	-0.00137728937728938
-140	-0.0012014652014652
-115	-0.00115018315018315
-90	-0.00108424908424908
-70	-0.00091941391941392
-45	-0.000835164835164835
-30	-0.000637362637362637
-10	-0.000571428571428572
5	-0.000527472527472527
20	-0.000593406593406593
35	-0.000432234432234432
45	-0.000285714285714286
60	-0.00026007326007326
65	-0.000212454212454212
75	-0.000172161172161172
90	-9.52380952380952e-05
100	4.02930402930403e-05
115	0.00015018315018315
130	0.00015018315018315
150	0.000421245421245421
175	0.000542124542124542
195	0.000641025641025641
235	0.000805860805860806
255	0.00091941391941392
285	0.000923076923076923
315	0.00112454212454212
346	0.00123443223443223
376	0.00118315018315018
411	0.00144322344322344
451	0.00127472527472527
486	0.00133333333333333
516	0.00131135531135531
551	0.00151648351648352
561	0.00157509157509158
521	0.00137362637362637
446	0.00124542124542125
381	0.00121978021978022
320	0.0013003663003663
265	0.00140659340659341
215	0.00127472527472527
170	0.00109157509157509
135	0.00106959706959707
105	0.0010989010989011
80	0.000996336996336996
55	0.000941391941391941
30	0.00082051282051282
15	0.000710622710622711
0	0.000600732600732601
-10	0.000523809523809524
-20	0.000377289377289377
-30	0.000282051282051282
-35	0.000179487179487179
-50	0.000128205128205128
-60	2.1978021978022e-05
-80	-8.05860805860806e-05
-95	-0.000164835164835165
-110	-0.000252747252747253
-125	-0.000362637362637363
-140	-0.000395604395604396
-160	-0.000531135531135531
-180	-0.00063003663003663
-205	-0.000717948717948718
-225	-0.000827838827838828
-250	-0.000912087912087912
-270	-0.00101465201465201
-295	-0.00115018315018315
-315	-0.00125274725274725
-346	-0.00135164835164835
-381	-0.00152014652014652
-406	-0.00160805860805861
-431	-0.00172893772893773
-451	-0.00181684981684982
-451	-0.00183882783882784
-416	-0.00184981684981685
-366	-0.00176923076923077
-320	-0.00176190476190476
-280	-0.00168131868131868
-240	-0.00152747252747253
-205	-0.00136996336996337
-170	-0.00136263736263736
-140	-0.00121611721611722
-115	-0.00110622710622711
-90	-0.00082051282051282
-70	-0.000967032967032967
-45	-0.000857142857142857
-30	-0.00056043956043956
-15	-0.000307692307692308
0	-0.000241758241758242
15	-0.000227106227106227
30	-0.00021978021978022
45	-7.69230769230769e-05
55	8.05860805860806e-05
60	-0.000483516483516484
85	-0.000706959706959707
115	-4.3956043956044e-05
160	0.00026007326007326
215	0.000875457875457876
275	0.000714285714285714
351	0.00116849816849817
436	0.00146520146520147
526	0.00133333333333333
606	0.00156043956043956
666	0.00174725274725275
716	0.00234798534798535
761	0.00263369963369963
811	0.00265934065934066
851	0.00316849816849817
896	0.00346886446886447
946	0.00364468864468864
936	0.00367399267399267
856	0.00373992673992674
741	0.00346520146520147
631	0.00301831501831502
536	0.00298534798534799
431	0.00284981684981685
325	0.00245421245421245
235	0.00224542124542125
125	0.00210989010989011
75	0.00180586080586081
40	0.00154945054945055
10	0.00125641025641026
-10	0.000897435897435898
-30	0.000897435897435898
-45	0.000706959706959707
-70	0.000534798534798535
-95	0.000205128205128205
-130	-5.12820512820513e-05
-170	-0.000344322344322344
-215	-0.000567765567765568
-260	-0.000842490842490842
-310	-0.00108058608058608
-361	-0.00132967032967033
-416	-0.00157509157509158
-471	-0.00184981684981685
-516	-0.00210622710622711
-556	-0.00256410256410256
-601	-0.00263736263736264
-641	-0.00332967032967033
-671	-0.00309157509157509
-696	-0.00371062271062271
-746	-0.00370695970695971
-776	-0.00391575091575092
-736	-0.00489010989010989
-621	-0.0036007326007326
-521	-0.00373626373626374
-431	-0.0051025641025641
-356	-0.00478388278388278
-290	-0.00441391941391941
-225	-0.00419047619047619
-175	-0.00383150183150183
-130	-0.0032051282051282
-90	-0.00321978021978022
-55	-0.00307326007326007
-25	-0.00258241758241758
0	-0.0026043956043956
25	-0.00261538461538461
50	-0.00193406593406593
65	-0.0016959706959707
80	-0.00182783882783883
80	-0.00186813186813187
105	-0.00192307692307692
130	-0.00132234432234432
160	-0.00102930402930403
205	-0.000919413919413919
245	-0.000655677655677656
295	0.000190476190476191
356	0.000465201465201465
451	0.000725274725274725
516	0.000604395604395604
581	0.00166666666666667
641	0.00201098901098901
701	0.00200732600732601
766	0.00209523809523809
831	0.00228205128205128
891	0.00190842490842491
911	0.00276923076923077
856	0.00253113553113553
731	0.00231501831501832
626	0.00219047619047619
531	0.00196336996336996
426	0.0016007326007326
320	0.0014029304029304
235	0.00134798534798535
165	0.00128937728937729
115	0.000633699633699634
70	0.000688644688644689
35	-0.000120879120879121
10	-0.000271062271062271
-5	-0.000666666666666667
-20	-0.00118681318681319
-35	-0.00163736263736264
-65	-0.00176923076923077
-90	-0.00107692307692308
-120	-0.00213553113553114
-150	-0.00257509157509158
-185	-0.00252014652014652
-220	-0.00281684981684982
-255	-0.00294871794871795
-295	-0.00338827838827839
-341	-0.00371428571428571
-381	-0.0039010989010989
-431	-0.00408424908424908
-481	-0.00427472527472528
-531	-0.0046959706959707
-581	-0.00526007326007326
-636	-0.00473626373626374
-691	-0.00511721611721612
-741	-0.00576556776556777
-746	-0.00583150183150183
-671	-0.00543956043956044
-566	-0.0049010989010989
-471	-0.00485347985347985
-391	-0.00490476190476191
-315	-0.00416117216117216
-250	-0.00371794871794872
-200	-0.00335531135531136
-130	-0.00363369963369963
-90	-0.00308424908424908
-60	-0.00308424908424908
-30	-0.0024981684981685
-5	-0.00256043956043956
15	-0.00238461538461538
40	-0.00183882783882784
60	-0.00135531135531136
75	-0.00171794871794872
70	-0.00183516483516484
110	-0.000842490842490842
170	-0.000908424908424908
260	-0.000373626373626374
371	6.95970695970696e-05
496	0.000945054945054945
626	0.00124175824175824
751	0.00222344322344322
886	0.00265201465201465
966	0.00298534798534799
1042	0.00306959706959707
1102	0.00361538461538462
1147	0.00395604395604396
1187	0.00441758241758242
1227	0.00538095238095238
1267	0.00693406593406593
1287	0.00776556776556777
1207	0.00741391941391941
1002	0.00647252747252747
826	0.00576190476190476
