CH_000	GAMMA
0	-2.56410256410256e-05
0	-5.4945054945055e-05
5	-4.3956043956044e-05
5	9.52380952380952e-05
5	0.000205128205128205
10	0.000315018315018315
10	0.00041025641025641
10	0.000523809523809524
10	0.000641025641025641
10	0.000754578754578755
10	0.00084981684981685
15	0.000974358974358974
15	0.00107692307692308
15	0.00117948717948718
15	0.0013003663003663
15	0.00140659340659341
15	0.00152380952380952
20	0.00162637362637363
15	0.00171794871794872
15	0.00183882783882784
20	0.00195238095238095
20	0.00202564102564103
15	0.00201831501831502
15	0.00193406593406593
15	0.00182417582417582
10	0.00171428571428571
10	0.00160805860805861
10	0.00150915750915751
10	0.0014029304029304
10	0.0013003663003663
5	0.00116849816849817
5	0.00108058608058608
5	0.000963369963369964
5	0.000853479853479854
5	0.000750915750915751
0	0.000644688644688645
0	0.000553113553113553
0	0.000443223443223443
0	0.000340659340659341
0	0.000212454212454212
-5	0.000117216117216117
-5	-4.3956043956044e-05
-5	-0.000153846153846154
-5	-0.000256410256410256
-5	-0.000366300366300366
-5	-0.000487179487179487
-5	-0.000575091575091575
-5	-0.000695970695970696
-5	-0.000802197802197802
-5	-0.00089010989010989
-10	-0.00100732600732601
-10	-0.00112087912087912
-10	-0.00122710622710623
-10	-0.00133699633699634
-10	-0.00144322344322344
-10	-0.00155677655677656
-10	-0.00165934065934066
-10	-0.00177655677655678
-10	-0.00188278388278388
-10	-0.002
-10	-0.00207692307692308
-10	-0.00206227106227106
-10	-0.00198901098901099
-10	-0.00187545787545788
-5	-0.00178754578754579
-5	-0.00165567765567766
-5	-0.00155677655677656
-5	-0.00145421245421245
0	-0.00133699633699634
0	-0.00123076923076923
0	-0.00112820512820513
0	-0.00102930402930403
5	-0.000860805860805861
0	-0.000747252747252747
5	-0.000637362637362637
5	-0.000531135531135531
5	-0.000450549450549451
5	-0.000322344322344322
5	-0.000241758241758242
5	-0.00010989010989011
5	-4.76190476190476e-05
5	-3.66300366300366e-06
10	9.15750915750916e-05
10	0.000201465201465201
10	0.000304029304029304
10	0.000406593406593407
10	0.00052014652014652
10	0.000633699633699634
10	0.00073992673992674
10	0.00084981684981685
15	0.000952380952380952
15	0.00108058608058608
15	0.00117582417582418
15	0.0013003663003663
15	0.00139194139194139
15	0.00151648351648352
20	0.00161172161172161
20	0.00172161172161172
15	0.00183516483516484
20	0.00198901098901099
20	0.00203663003663004
20	0.00202564102564103
15	0.00191208791208791
15	0.00181684981684982
15	0.0017032967032967
10	0.0015970695970696
10	0.00148717948717949
10	0.00137728937728938
5	0.00128571428571429
5	0.00116849816849817
5	0.00107692307692308
5	0.000952380952380952
0	0.000864468864468865
0	0.000750915750915751
0	0.000633699633699634
0	0.000534798534798535
0	0.000435897435897436
0	0.000322344322344322
0	0.000201465201465201
0	8.42490842490842e-05
-5	-7.32600732600733e-06
-5	-0.00010989010989011
-5	-0.000223443223443223
-5	-0.000318681318681319
-5	-0.00043956043956044
-5	-0.000542124542124542
-10	-0.000659340659340659
-5	-0.000761904761904762
-5	-0.000868131868131868
-5	-0.00102930402930403
-10	-0.00113919413919414
-5	-0.00126007326007326
-10	-0.00134798534798535
-10	-0.00146886446886447
-10	-0.00157142857142857
-10	-0.00167765567765568
-10	-0.00179120879120879
-10	-0.00189010989010989
-10	-0.00201831501831502
-10	-0.00206593406593407
-10	-0.00205494505494505
-10	-0.00195604395604396
-10	-0.00184249084249084
-5	-0.00172527472527473
-5	-0.00163736263736264
-5	-0.00151648351648352
-5	-0.00140659340659341
-5	-0.00128571428571429
0	-0.00119413919413919
0	-0.0010952380952381
0	-0.000974358974358974
0	-0.000868131868131868
0	-0.000758241758241758
5	-0.000659340659340659
5	-0.000534798534798535
5	-0.00043956043956044
5	-0.000333333333333333
5	-0.000234432234432234
10	-0.000113553113553114
5	-2.1978021978022e-05
10	-3.66300366300366e-06
10	0.000366300366300366
10	0.000622710622710623
10	0.000897435897435898
15	0.00116117216117216
15	0.00141025641025641
15	0.00168498168498169
20	0.00194505494505495
20	0.00220512820512821
20	0.00245787545787546
25	0.00271794871794872
25	0.00298534798534799
25	0.00324908424908425
25	0.0034981684981685
25	0.00376556776556777
