CH_000	GAMMA
-10	7.32600732600733e-06
-10	0
-15	-2.1978021978022e-05
-5	-1.46520146520147e-05
45	5.49450549450549e-05
90	0.000142857142857143
120	0.000183150183150183
150	0.000336996336996337
180	0.000421245421245421
205	0.000538461538461538
230	0.000666666666666667
240	0.000765567765567766
245	0.000853479853479854
255	0.000963369963369963
270	0.00108791208791209
285	0.00119047619047619
300	0.0013040293040293
310	0.00137728937728938
325	0.00147985347985348
351	0.00162637362637363
361	0.0016959706959707
376	0.00179120879120879
386	0.00189377289377289
381	0.0019010989010989
280	0.00182051282051282
220	0.00173260073260073
170	0.00162637362637363
130	0.0015018315018315
110	0.00141391941391941
90	0.00130769230769231
70	0.00120512820512821
65	0.00115384615384615
50	0.00101831501831502
30	0.000908424908424908
20	0.000798534798534799
15	0.000714285714285714
0	0.000622710622710623
-20	0.000527472527472527
-40	0.000413919413919414
-55	0.000326007326007326
-75	0.000241758241758242
-90	0.000153846153846154
-110	4.3956043956044e-05
-130	-4.3956043956044e-05
-155	-0.00015018315018315
-175	-0.000241758241758242
-195	-0.00032967032967033
-215	-0.000435897435897436
-235	-0.000534798534798535
-255	-0.000637362637362637
-280	-0.000743589743589744
-295	-0.000875457875457876
-315	-0.000992673992673993
-336	-0.00108058608058608
-356	-0.00117948717948718
-371	-0.00130769230769231
-401	-0.00146520146520147
-411	-0.00151648351648352
-436	-0.00168131868131868
-451	-0.00178388278388278
-466	-0.00187912087912088
-466	-0.00192673992673993
-436	-0.00192673992673993
-386	-0.00182417582417582
-346	-0.00174725274725275
-300	-0.00162637362637363
-265	-0.00153113553113553
-230	-0.00142124542124542
-195	-0.00128571428571429
-165	-0.00118315018315018
-135	-0.00108424908424908
-115	-0.000981684981684982
-90	-0.000882783882783883
-70	-0.000787545787545788
-55	-0.000681318681318681
-35	-0.000578754578754579
-15	-0.00047985347985348
-5	-0.000402930402930403
10	-0.000315018315018315
25	-0.00021978021978022
35	-0.000131868131868132
45	-6.95970695970696e-05
50	-4.02930402930403e-05
75	5.12820512820513e-05
90	0.000139194139194139
105	0.000234432234432234
120	0.000347985347985348
135	0.000435897435897436
150	0.000545787545787546
160	0.000648351648351648
165	0.000761904761904762
180	0.000875457875457876
190	0.000963369963369964
205	0.00106959706959707
225	0.00117948717948718
245	0.00128937728937729
275	0.00142857142857143
295	0.00153846153846154
320	0.00164835164835165
346	0.00175091575091575
371	0.00186080586080586
371	0.00191575091575092
336	0.00191941391941392
275	0.00181318681318681
230	0.00171794871794872
185	0.00162271062271062
145	0.00150549450549451
120	0.00140659340659341
105	0.00132600732600733
95	0.00121245421245421
80	0.0010952380952381
75	0.000978021978021978
65	0.000886446886446887
55	0.000765567765567766
35	0.000688644688644689
15	0.000567765567765568
-5	0.000490842490842491
-20	0.000402930402930403
-40	0.000304029304029304
-55	0.000205128205128205
-70	0.000106227106227106
-85	2.56410256410256e-05
-100	-6.59340659340659e-05
-120	-0.000164835164835165
-135	-0.000267399267399267
-155	-0.000373626373626374
-170	-0.000476190476190476
-190	-0.000575091575091575
-205	-0.00067032967032967
-220	-0.00078021978021978
-235	-0.000868131868131868
-255	-0.00100732600732601
-275	-0.00113553113553114
-295	-0.00121978021978022
-315	-0.00131135531135531
-341	-0.00142124542124542
-366	-0.00153113553113553
-386	-0.00163003663003663
-426	-0.0017948717948718
-451	-0.00188644688644689
-451	-0.00193406593406593
-421	-0.00190476190476191
-371	-0.0018021978021978
-330	-0.00172527472527473
-285	-0.00162637362637363
-250	-0.00151648351648352
-215	-0.00142124542124542
-185	-0.00128205128205128
-155	-0.00116483516483517
-135	-0.00107692307692308
-110	-0.000967032967032967
-90	-0.000875457875457876
-65	-0.000769230769230769
-50	-0.00067032967032967
-35	-0.000571428571428572
-20	-0.000483516483516484
-5	-0.000395604395604396
10	-0.000311355311355311
25	-0.000212454212454212
35	-0.000120879120879121
40	-6.59340659340659e-05
60	3.2967032967033e-05
105	0.000238095238095238
125	0.00047985347985348
135	0.00073992673992674
175	0.001003663003663
220	0.00125641025641026
270	0.00149450549450549
336	0.00176190476190476
401	0.002003663003663
446	0.00226373626373626
491	0.00251282051282051
536	0.00278021978021978
576	0.00305128205128205
616	0.00329304029304029
656	0.00356410256410256
691	0.00380952380952381
696	0.00394871794871795
626	0.00391941391941392
501	0.00366300366300366
391	0.00342490842490842
300	0.00317948717948718
220	0.00293040293040293
165	0.00266666666666667
120	0.00242857142857143
100	0.00218681318681319
80	0.00191575091575092
65	0.00165934065934066
40	0.00126739926739927
5	0.00104029304029304
-25	0.000805860805860806
-55	0.000545787545787546
-80	0.000336996336996337
-115	0.000102564102564103
-150	-0.000153846153846154
-185	-0.000373626373626374
-215	-0.000637362637362637
-255	-0.000937728937728938
-295	-0.00117948717948718
-346	-0.00141758241758242
-401	-0.00168131868131868
-456	-0.00196336996336996
-506	-0.0022014652014652
-546	-0.00245054945054945
-591	-0.00270695970695971
-626	-0.00296703296703297
-666	-0.00323809523809524
-706	-0.00348351648351648
-746	-0.00378021978021978
-781	-0.00403296703296703
-761	-0.00403663003663004
-646	-0.00386080586080586
-546	-0.00357875457875458
-466	-0.00334065934065934
-386	-0.0030989010989011
-315	-0.0028021978021978
-255	-0.00256776556776557
-205	-0.00231501831501832
-170	-0.00204761904761905
-130	-0.0017948717948718
-95	-0.00150549450549451
-65	-0.00126007326007326
-35	-0.001
-10	-0.00078021978021978
15	-0.000549450549450549
35	-0.000307692307692308
60	-9.15750915750916e-05
50	-6.95970695970696e-05
90	0.000128205128205128
115	0.00036996336996337
135	0.000633699633699634
130	0.000882783882783883
160	0.00115384615384615
185	0.00140659340659341
220	0.00166300366300366
275	0.00204395604395604
320	0.0022967032967033
371	0.00254578754578755
421	0.0028021978021978
476	0.00305494505494506
536	0.0033040293040293
