CH_000	GAMMA1
576	0.0145384615384615
621	0.0156373626373626
676	0.0172857142857143
651	0.0172857142857143
481	0.0163699633699634
391	0.0152747252747253
325	0.0143553113553114
285	0.0134432234432234
250	0.0123443223443223
220	0.0114249084249084
195	0.0103260073260073
175	0.00904761904761905
150	0.00813186813186813
130	0.00721611721611722
105	0.00575091575091575
80	0.00501831501831502
60	0.00391575091575091
35	0.00263369963369963
10	0.00153846153846154
-20	0.00043956043956044
-50	-0.00047985347985348
-75	-0.00120879120879121
-85	-0.00231135531135531
-110	-0.00359340659340659
-135	-0.00432234432234432
-190	-0.00634065934065934
-230	-0.00688644688644689
-290	-0.00816849816849817
-366	-0.00926739926739927
-461	-0.0101868131868132
-581	-0.0110989010989011
-736	-0.0122014652014652
-901	-0.0134835164835165
-1067	-0.0145421245421245
-1142	-0.0150915750915751
-1052	-0.0147252747252747
-556	-0.0130769230769231
-330	-0.0121611721611722
-200	-0.0110622710622711
-120	-0.0103296703296703
-65	-0.00941391941391941
-35	-0.0084981684981685
-15	-0.0073992673992674
0	-0.00648351648351648
20	-0.00538461538461538
30	-0.0041025641025641
45	-0.00300732600732601
65	-0.00227106227106227
100	-0.000622710622710623
120	0.000293040293040293
135	0.000842490842490843
150	0.00139194139194139
195	0.00358974358974359
245	0.0056043956043956
290	0.00743589743589744
341	0.00945054945054945
396	0.0116483516483517
466	0.0136630036630037
616	0.0167765567765568
701	0.0186080586080586
751	0.0208058608058608
786	0.023003663003663
811	0.025018315018315
836	0.027032967032967
861	0.0292307692307692
881	0.0314285714285714
896	0.0336263736263736
856	0.0338095238095238
576	0.0321575091575092
426	0.0303260073260073
310	0.0272124542124542
265	0.0251978021978022
225	0.023003663003663
195	0.0211721611721612
170	0.0187912087912088
145	0.016959706959707
120	0.0149450549450549
105	0.0127472527472527
85	0.0107326007326007
65	0.00853479853479854
20	0.00578754578754579
-5	0.00395604395604396
-50	0.00157509157509158
-95	-0.000622710622710623
-130	-0.00245421245421245
-175	-0.00465201465201465
-330	-0.00886446886446887
-476	-0.0110622710622711
-736	-0.0130769230769231
-1032	-0.0149084249084249
-1222	-0.0171025641025641
-1377	-0.0198095238095238
-1447	-0.0216043956043956
-1497	-0.0234285714285714
-1367	-0.0254029304029304
-926	-0.0275604395604396
-831	-0.0304908424908425
-541	-0.0297619047619048
-265	-0.0277435897435897
-150	-0.0257289377289377
-85	-0.0237142857142857
-25	-0.0207838827838828
5	-0.0185860805860806
10	-0.0169377289377289
35	-0.0143772893772894
55	-0.0125421245421245
75	-0.0105274725274725
95	-0.00851282051282051
115	-0.00631501831501832
130	-0.00411721611721612
150	-0.00210622710622711
170	9.52380952380952e-05
180	0.00174358974358974
190	0.00284249084249084
215	0.00504029304029304
235	0.00687179487179487
255	0.00888278388278388
275	0.0110842490842491
295	0.0132820512820513
320	0.0152967032967033
346	0.0173113553113553
381	0.0193223443223443
416	0.0215201465201465
456	0.0233553113553114
496	0.0257362637362637
576	0.0286410256410256
636	0.0306410256410256
701	0.0328388278388278
726	0.0344908424908425
676	0.0344908424908425
436	0.0324761904761905
346	0.0304615384615385
285	0.0284468864468864
245	0.0262454212454212
215	0.0242307692307692
190	0.0222161172161172
160	0.0191025641025641
140	0.0172747252747253
120	0.0150769230769231
110	0.0130586080586081
95	0.0108644688644689
75	0.00884981684981685
55	0.00683150183150183
35	0.005003663003663
15	0.00280586080586081
-30	0.000791208791208791
-60	-0.00140659340659341
-95	-0.00433699633699634
-120	-0.00671794871794872
-145	-0.00873626373626374
-170	-0.0107509157509158
-195	-0.0129450549450549
-225	-0.014959706959707
-250	-0.0171611721611722
-285	-0.0191758241758242
-346	-0.0211868131868132
-411	-0.0228351648351648
-491	-0.0252197802197802
-646	-0.0283296703296703
-721	-0.0305201465201465
-676	-0.0305164835164835
-346	-0.0292490842490842
-195	-0.027051282051282
-120	-0.0252197802197802
-80	-0.0233882783882784
-45	-0.0211868131868132
-20	-0.0191721611721612
0	-0.016978021978022
5	-0.0151465201465201
25	-0.012948717948718
50	-0.00983516483516483
65	-0.00782051282051282
85	-0.00562271062271062
105	-0.00342490842490842
120	-0.00122710622710623
140	0.000604395604395605
145	0.0017032967032967
145	0.0017032967032967
145	0.0017032967032967
140	0.0017032967032967
140	0.0017032967032967
180	0.00426739926739927
225	0.00811355311355311
265	0.0123260073260073
310	0.0167252747252747
361	0.0207509157509158
431	0.024967032967033
516	0.0291758241758242
651	0.0335714285714286
776	0.0374175824175824
851	0.0416336996336996
921	0.0480439560439561
951	0.0524358974358974
991	0.0650732600732601
946	0.0674578754578755
741	0.0667252747252747
456	0.0626959706959707
341	0.0584798534798535
265	0.0548205128205128
215	0.0506080586080586
155	0.0441941391941392
130	0.039985347985348
110	0.0355897435897436
95	0.0313772893772894
75	0.0273443223443223
60	0.0229523809523809
45	0.0187399267399267
25	0.0145238095238095
5	0.0101318681318681
-30	0.00628571428571429
-85	0.00206959706959707
-105	-0.00195604395604396
-155	-0.00836630036630037
-215	-0.0127619047619048
-240	-0.016974358974359
-295	-0.021007326007326
-356	-0.0254029304029304
-411	-0.0294285714285714
-486	-0.0336446886446886
-546	-0.03803663003663
-596	-0.0422527472527473
-636	-0.0462820512820513
-661	-0.0508571428571429
-706	-0.0574505494505495
-736	-0.0618498168498169
-711	-0.0645970695970696
-556	-0.0636776556776557
-310	-0.0594652014652015
-205	-0.0554358974358974
-135	-0.051040293040293
-90	-0.0466446886446887
-60	-0.0426153846153846
-35	-0.0382234432234432
-15	-0.034010989010989
5	-0.0277838827838828
15	-0.0235714285714286
20	-0.0193553113553114
25	-0.0151465201465201
30	-0.0109340659340659
35	-0.00671794871794872
40	-0.00232600732600733
45	0.0017032967032967
40	0.00152380952380952
50	0.00536630036630037
60	0.0115934065934066
80	0.0158058608058608
95	0.020021978021978
110	0.0242307692307692
130	0.0282637362637363
160	0.0328424908424908
195	0.0366886446886447
235	0.0410805860805861
280	0.0452930402930403
330	0.0495091575091575
386	0.0535347985347985
446	0.0577509157509158
546	0.0641611721611722
581	0.0676410256410256
556	0.0676373626373626
290	0.0636080586080586
190	0.0595787545787546
130	0.0557362637362637
90	0.0515238095238095
55	0.0471282051282051
35	0.0432820512820513
15	0.0388864468864469
-5	0.0326593406593407
-15	0.0280805860805861
-25	0.024047619047619
-30	0.0198388278388278
-35	0.0158095238095238
-40	0.0114102564102564
-45	0.0071978021978022
-50	0.00298901098901099
-55	-0.00104395604395604
-65	-0.00543956043956044
-80	-0.00964835164835165
-100	-0.0158791208791209
-120	-0.0202710622710623
-145	-0.0243040293040293
-175	-0.0285128205128205
-205	-0.0327289377289377
-245	-0.0369377289377289
-285	-0.0411501831501831
-336	-0.0453626373626374
-391	-0.0497619047619048
-456	-0.0545238095238095
-526	-0.0587362637362637
-591	-0.062948717948718
-576	-0.0645934065934066
-315	-0.0601978021978022
-210	-0.0563553113553114
-140	-0.051956043956044
-100	-0.0475604395604396
-65	-0.0431684981684982
-40	-0.038956043956044
-25	-0.0349230769230769
-10	-0.0305311355311355
0	-0.0265018315018315
10	-0.0222857142857143
15	-0.0158791208791209
20	-0.0116666666666667
25	-0.00745421245421246
30	-0.00305860805860806
35	0.00115384615384615
30	0.00189010989010989
40	0.00518315018315018
45	0.0103113553113553
55	0.0154395604395604
70	0.0205714285714286
95	0.0258791208791209
135	0.0337545787545788
170	0.0386996336996337
215	0.0441941391941392
270	0.0493223443223443
330	0.0542673992673993
401	0.0593956043956044
491	0.0648901098901099
571	0.0698351648351648
631	0.0747802197802198
676	0.0799084249084249
691	0.0854029304029304
731	0.0905311355311356
751	0.0956593406593407
716	0.100399267399267
466	0.098029304029304
295	0.0932783882783883
200	0.0881501831501831
135	0.0828388278388278
95	0.0777106227106227
60	0.072948717948718
30	0.0678205128205128
15	0.0628754578754579
0	0.0573809523809524
-15	0.0524358974358974
-20	0.0469413919413919
-30	0.0392490842490842
-30	0.0339377289377289
-35	0.0286263736263736
-40	0.0233150183150183
-50	0.0183699633699634
-55	0.0130586080586081
-60	0.00774725274725275
-70	0.00261904761904762
-80	-0.00250915750915751
-95	-0.00763736263736264
-105	-0.012948717948718
-125	-0.0184432234432234
-155	-0.0259523809523809
-195	-0.0310805860805861
-235	-0.0367582417582418
-280	-0.0417032967032967
-330	-0.0468315018315018
-386	-0.0521391941391942
-451	-0.0578205128205128
-516	-0.0631318681318681
-576	-0.0682600732600733
-621	-0.0733846153846154
-661	-0.0788827838827839
-711	-0.0867582417582418
-741	-0.0917032967032967
-761	-0.097014652014652
-716	-0.0979304029304029
-466	-0.0940842490842491
-315	-0.0893223443223443
-220	-0.0843772893772894
-155	-0.0790659340659341
-105	-0.0735714285714286
-65	-0.0684432234432235
-45	-0.0631318681318681
-15	-0.0552564102564102
0	-0.0499450549450549
10	-0.0442673992673993
15	-0.0393223443223443
20	-0.034010989010989
25	-0.0286996336996337
25	-0.0235714285714286
25	-0.0184432234432234
25	-0.0134981684981685
30	-0.00818681318681319
35	-0.00305860805860806
30	0.0017032967032967
40	0.0039010989010989
40	0.00902930402930403
40	0.0143406593406593
50	0.0194688644688645
55	0.0247802197802198
70	0.0299084249084249
85	0.0354029304029304
105	0.0403516483516484
125	0.0458424908424909
160	0.0507875457875458
195	0.0562820512820513
255	0.063974358974359
295	0.0691025641025641
341	0.0740476190476191
391	0.0791758241758242
441	0.0841172161172161
496	0.0893956043956044
551	0.0943406593406593
611	0.0996520146520147
581	0.100380952380952
386	0.0969047619047619
255	0.0921428571428572
140	0.0844505494505495
95	0.0795054945054945
65	0.0743772893772894
35	0.0692454212454212
20	0.0643040293040293
5	0.0591721611721612
-10	0.0542271062271062
-15	0.0485494505494505
-20	0.0436190476190476
-20	0.0381135531135531
-30	0.0304395604395604
-30	0.0251172161172161
-35	0.019989010989011
-40	0.0146776556776557
-45	0.00935164835164835
-45	0.00461172161172161
-55	-0.000868131868131868
-60	-0.00618315018315018
-65	-0.0113113553113553
-75	-0.0166153846153846
-85	-0.0219267399267399
-105	-0.0292490842490842
-115	-0.0343772893772894
-140	-0.0398754578754579
-170	-0.0451831501831502
-205	-0.0504945054945055
-240	-0.0558058608058608
