#CH_000	GAMMA1
295	0.00221978021978022
310	0.00258974358974359
341	0.00278021978021978
381	0.00296703296703297
416	0.00332967032967033
456	0.00351282051282051
481	0.0036959706959707
456	0.0036959706959707
200	0.00296336996336996
135	0.00278021978021978
95	0.00241391941391941
55	0.00241391941391941
25	0.00205128205128205
0	0.00186446886446886
-25	0.00168131868131868
-45	0.0014981684981685
-60	0.00131501831501831
-70	0.000948717948717949
-85	0.000765567765567766
-100	0.000399267399267399
-115	0.000216117216117216
-130	-0.00015018315018315
-145	-0.00015018315018315
-155	-0.000333333333333333
-175	-0.000516483516483516
-185	-0.000882783882783883
-200	-0.00124908424908425
-215	-0.00143223443223443
-235	-0.00143223443223443
-265	-0.0017985347985348
-305	-0.00198168498168498
-346	-0.00234798534798535
-426	-0.00275091575091575
-486	-0.00293406593406593
-546	-0.0033040293040293
-621	-0.00348351648351648
-681	-0.00366666666666667
-746	-0.00366666666666667
-746	-0.00384981684981685
-646	-0.00348351648351648
-501	-0.0033003663003663
-381	-0.00311721611721612
-285	-0.00293406593406593
-180	-0.00257142857142857
-125	-0.00256776556776557
-90	-0.00220512820512821
-60	-0.00201831501831502
-35	-0.00165201465201465
-15	-0.00146886446886447
5	-0.00128571428571429
25	-0.0011025641025641
40	-0.000919413919413919
55	-0.00073992673992674
70	-0.00036996336996337
90	-3.66300366300366e-06
90	-0.000186813186813187
130	0.000179487179487179
170	0.000728937728937729
200	0.00127838827838828
200	0.00146153846153846
260	0.00204395604395604
295	0.0025970695970696
361	0.00314652014652015
446	0.0036959706959707
526	0.00406227106227106
616	0.0047948717948718
676	0.00516117216117216
736	0.00552747252747253
786	0.00607692307692308
836	0.00644322344322344
881	0.00699267399267399
921	0.00754212454212454
886	0.00754212454212454
676	0.00717582417582418
501	0.00662637362637363
356	0.00626007326007326
235	0.00571062271062271
115	0.00516117216117216
70	0.00461172161172161
40	0.00424542124542124
5	0.0036959706959707
-20	0.00332967032967033
-45	0.00278021978021978
-80	0.00204761904761905
-100	0.00168131868131868
-120	0.000948717948717949
-140	0.000582417582417583
-160	3.2967032967033e-05
-195	-0.000512820512820513
-225	-0.00124908424908425
-275	-0.00161904761904762
-346	-0.0022014652014652
-431	-0.00257142857142857
-531	-0.00312087912087912
