É¡2	É¡1	C2	C1=Cb
0.014444444	0.006551724	0.652	0.1617866
0.014814815	0.006724138	0.677	0.167990074
0.015185185	0.007068966	0.703	0.174441687
0.015555556	0.007241379	0.718	0.178163772
0.016111111	0.007413793	0.74	0.183622829
0.017037037	0.0075	0.746	0.185111663
0.016851852	0.007672414	0.76	0.188585608
0.017592593	0.007844828	0.772	0.191563275
0.017592593	0.007931034	0.755	0.187344913
0.018518519	0.008017241	0.783	0.194292804
0.019074074	0.008017241	0.793	0.196774194
0.019259259	0.008189655	0.786	0.195037221
0.018888889	0.008448276	0.776	0.192555831
0.019444444	0.008448276	0.807	0.200248139
0.01962963	0.008534483	0.813	0.201736973
0.02037037	0.008706897	0.823	0.204218362
0.021111111	0.008706897	0.808	0.200496278
0.020740741	0.008965517	0.833	0.206699752
0.021666667	0.008965517	0.829	0.205707196
0.022037037	0.009051724	0.827	0.205210918
0.022222222	0.009482759	0.872	0.216377171
0.024074074	0.009568966	0.881	0.218610422
0.02462963	0.009827586	0.896	0.222332506
0.025740741	0.01	0.913	0.226550868
0.025925926	0.010344828	0.87	0.215880893
0.026851852	0.010603448	0.926	0.229776675
0.027962963	0.01112069	0.945	0.234491315
0.029814815	0.01137931	0.962	0.238709677
0.031481481	0.011810345	0.979	0.24292804
0.033333333	0.012068966	0.996	0.247146402
0.034814815	0.0125	1.004	0.249131514
0.037962963	0.013189655	0.976	0.242183623
0.038703704	0.013534483	0.968	0.240198511
0.041296296	0.014051724	1.005	0.249379653
0.043148148	0.014482759	0.988	0.24516129
0.044444444	0.015	1.029	0.255334988
0.045	0.014913793	0.998	0.24764268
0.046851852	0.015344828	1.047	0.259801489
0.047962963	0.015689655	1.03	0.255583127
0.049444444	0.015948276	1.058	0.262531017
0.050740741	0.016465517	1.033	0.256327543
0.052407407	0.016465517	1.013	0.251364764
0.052592593	0.016465517	1.003	0.248883375
0.052777778	0.016724138	0.993	0.246401985
0.053148148	0.016637931	0.991	0.245905707
0.053888889	0.017155172	1.053	0.261290323
0.05462963	0.016982759	1.04	0.258064516
0.054444444	0.017327586	1.037	0.257320099
0.067592593	0.018189655	1.006	0.249627792
0.069814815	0.018189655	0.962	0.238709677
0.071296296	0.018189655	0.949	0.235483871
0.072592593	0.018362069	0.932	0.231265509
0.072592593	0.01862069	0.926	0.229776675
0.07537037	0.018793103	0.999	0.247890819
0.049814815	0.015431034	0.624	0.15483871
0.052407407	0.015948276	0.613	0.152109181
0.055555556	0.015431034	0.632	0.156823821
0.053703704	0.015603448	0.599	0.148635236
0.054074074	0.015689655	0.598	0.148387097
0.053703704	0.015689655	0.553	0.137220844
0.052407407	0.015603448	0.461	0.11439206
0.052222222	0.015086207	0.39	0.096774194
0.051296296	0.015	0.337	0.083622829
0.05037037	0.014655172	0.288	0.07146402
0.049074074	0.014482759	0.249	0.0617866
0.047962963	0.01362069	0.192	0.04764268
0.045	0.013448276	0.147	0.036476427
0.042222222	0.012758621	0.095	0.023573201
0.04037037	0.012155172	0.068	0.016873449
0.035	0.010689655	0.011	0.002729529
0.033518519	0.010258621	-0.001	-0.000248139
