CB1 GMAX1 GMAX2 CEMAX1 CEMAX2
0.50000E-01 0.68208E+00 0.80058E+00 0.98793E+02 0.26496E+02
0.10000E+00 0.55043E-01 0.31750E-01 0.24587E+03 0.85790E+02
0.15000E+00 0.56714E-01 0.35764E-01 0.35196E+03 0.12044E+03
0.20000E+00 0.96987E-01 0.27830E-01 0.38830E+03 0.11616E+03
0.30000E+00 0.41990E-01 0.42392E-01 0.56727E+03 0.24727E+03
0.40000E+00 0.56121E-01 0.34714E-01 0.71971E+03 0.25672E+03
0.50000E+00 0.75650E-01 0.45890E-01 0.70907E+03 0.25699E+03
0.60000E+00 0.74512E-01 0.22456E-01 0.74762E+03 0.17639E+03
0.70000E+00 0.58329E-01 0.36151E-01 0.68152E+03 0.24756E+03
0.80000E+00 0.48885E-01 0.31727E-01 0.64022E+03 0.24556E+03
0.90000E+00 0.22229E-01 0.16901E-01 0.69593E+03 0.24924E+03
0.10000E+01 0.19927E-01 0.67792E-02 0.50709E+03 0.86024E+02
