CB1 GMAX1 GMAX2 CEMAX1 CEMAX2
0.50000E-01 0.72738E+00 0.19554E+00 0.10007E+03 0.33386E+02
0.10000E+00 0.53423E-01 0.37672E-01 0.20749E+03 0.75936E+02
0.15000E+00 0.51157E-01 0.40945E-01 0.31701E+03 0.12097E+03
0.20000E+00 0.50232E-01 0.35259E-01 0.40849E+03 0.15200E+03
0.30000E+00 0.47013E-01 0.44550E-01 0.54211E+03 0.21608E+03
0.40000E+00 0.58978E-01 0.39084E-01 0.64483E+03 0.22134E+03
0.50000E+00 0.37593E-01 0.55422E-01 0.52844E+03 0.27284E+03
0.60000E+00 0.49291E-01 0.35099E-01 0.66626E+03 0.19058E+03
0.70000E+00 0.42624E-01 0.32770E-01 0.63976E+03 0.18306E+03
0.80000E+00 0.36012E-01 0.29762E-01 0.56237E+03 0.19288E+03
0.90000E+00 0.20319E-01 0.15898E-01 0.54496E+03 0.20005E+03
0.10000E+01 0.17834E-01 0.65805E-02 0.38033E+03 0.85677E+02
