ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,変位計1,,γ1-2,,PS2C1
50,85,41.86,1.6,0.01,0.09,1.56,-0.06,-0.13,0.88,0,0,0,38.5,6,0,815,850,,41.86,,0.017696703,,85
51,84,43.48,1.71,0.02,0.1,1.62,-0.08,-0.13,0.92,0,0,0,40.5,6,0,815,853,,43.48,,0.01836044,,84
52,84,44.56,1.75,0.01,0.09,1.66,-0.07,-0.22,0.96,0,0,0,41.5,7,0,815,855,,44.56,,0.018817582,,84
53,91,47.73,1.9,0.01,0.09,1.81,-0.06,-0.21,1.04,0,0,0,44.5,6,0,815,901,,47.73,,0.020145055,,91
54,94,51.28,2.01,0.01,0.09,1.95,-0.08,-0.22,1.12,0,0,0,48,7,0,815,908,,51.28,,0.021657143,,94
55,94,53.11,2.12,0.02,0.09,2.04,-0.09,-0.22,1.17,0,0,0,50,7.5,0,815,912,,53.11,,0.022413187,,94
56,96,55.41,2.22,0.02,0.09,2.13,-0.1,-0.22,1.24,0,0,0,52,7,0,815,916,,55.41,,0.02338022,,96
57,99,57.83,2.33,0.01,0.09,2.24,-0.11,-0.23,1.3,0,0,0,54,7.5,0,815,921,,57.83,,0.024395604,,99
58,93,58.31,2.45,0.01,0.09,2.26,-0.14,-0.23,1.31,0,0,0,53.5,9,0,815,944,,58.31,,0.024553846,,93
59,88,57.35,2.45,0.02,0.08,2.26,-0.12,-0.22,1.31,0,0,0,53,8.5,0,815,946,,57.35,,0.024131868,,88
60,83,56.28,2.36,0.01,0.1,2.25,-0.12,-0.23,1.29,0,0,0,52,9,0,815,948,,56.28,,0.023701099,,83
61,69,51.37,2.23,0.02,0.1,2.23,-0.13,-0.23,1.16,0,0,0,47,8,0,815,958,,51.37,,0.0216,,69
62,58,47.73,2.14,0.02,0.09,2.14,-0.12,-0.21,1.06,0,0,0,43.5,7,0,815,1005,,47.73,,0.02003956,,58
63,54,45.81,2.13,0.02,0.1,2.06,-0.12,-0.24,1,0,0,0,42,6.5,0,815,1009,,45.81,,0.0192,,54
64,48,44.08,2.07,0.02,0.09,1.99,-0.11,-0.24,0.95,0,0,0,40,6,0,815,1013,,44.08,,0.018465934,,48
65,46,42.16,2.02,0.01,0.09,1.86,-0.12,-0.26,0.89,0,0,0,37.5,5.5,0,815,1016,,42.16,,0.017643956,,46
