ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,変位計1,,γ1-2,,PS2C1
194,117,168.03,7.5,-0.09,0.09,7.54,-1.6,-0.14,4.07,0,0,0,153.5,23,0,815,2729,,80.38,168.03,0.070562637,,117
195,110,165.32,7.44,-0.09,0.09,7.46,-1.59,-0.15,4.01,0,0,0,151,23,0,815,2734,,77.67,165.32,0.069397802,,110
196,100,161.95,7.3,-0.08,0.09,7.32,-1.6,-0.16,3.92,0,0,0,148.5,23,0,815,2741,,74.3,161.95,0.067978022,,100
197,95,159.92,7.3,-0.09,0.09,7.25,-1.58,-0.17,3.87,0,0,0,145.5,23,0,815,2745,,72.27,159.92,0.067085714,,95
198,87,156.73,7.2,-0.09,0.09,7.13,-1.57,-0.18,3.79,0,0,0,143.5,22,0,815,2751,,69.08,156.73,0.065727473,,87
199,81,152.88,7.09,-0.09,0.09,7,-1.56,-0.18,3.67,0,0,0,140,21.5,0,815,2759,,65.23,152.88,0.064083516,,81
200,75,150.58,6.98,-0.08,0.09,6.91,-1.55,-0.19,3.61,0,0,0,137.5,20.5,0,815,2803,,62.93,150.58,0.063120879,,75
201,71,147.59,6.87,-0.1,0.1,6.79,-1.52,-0.19,3.51,0,0,0,135.5,20,0,815,2809,,59.94,147.59,0.061854945,,71
202,64,145.18,6.77,-0.09,0.09,6.67,-1.53,-0.19,3.45,0,0,0,133,19,0,815,2813,,57.53,145.18,0.06083956,,64
203,63,143.16,6.76,-0.09,0.09,6.56,-1.52,-0.2,3.4,0,0,0,131.5,18.5,0,815,2817,,55.51,143.16,0.059956044,,63
204,54,138.84,6.56,-0.09,0.09,6.29,-1.5,-0.21,3.27,0,0,0,127,19,0,815,2826,,51.19,138.84,0.058145055,,54
205,50,130.57,6.35,-0.08,0.1,5.86,-1.46,-0.22,3.04,0,0,0,119.5,19,0,815,2841,,42.92,130.57,0.054602198,,50
206,47,123.91,6.03,-0.09,0.09,5.55,-1.43,-0.23,2.86,0,0,0,114,18,0,815,2854,,36.26,123.91,0.051815385,,47
207,39,117.86,5.82,-0.09,0.09,5.19,-1.39,-0.24,2.69,0,0,0,108.5,17.5,0,815,2906,,30.21,117.86,0.049248352,,39
208,36,112.97,5.6,-0.09,0.08,4.9,-1.36,-0.26,2.56,0,0,0,104,16.5,0,815,2915,,25.32,112.97,0.047195604,,36
209,31,110.85,5.5,-0.08,0.09,4.75,-1.35,-0.29,2.5,0,0,0,102,16.5,0,815,2920,,23.2,110.85,0.046307692,,31
210,27,107.85,5.4,-0.05,0.09,4.54,-1.33,-0.3,2.44,0,0,0,99,15.5,0,815,2925,,20.2,107.85,0.045032967,,27
211,18,104.39,5.29,-0.03,0.08,4.25,-1.31,-0.33,2.34,0,0,0,96.5,15,0,815,2932,,16.74,104.39,0.04356044,,18
212,15,100.8,5.14,-0.01,0.09,4.03,-1.29,-0.35,2.26,0,0,0,93,14,0,815,2939,,13.15,100.8,0.042048352,,15
213,9,97.81,4.97,-0.01,0.09,3.85,-1.27,-0.37,2.2,0,0,0,90,12.5,0,815,2945,,10.16,97.81,0.040808791,,9
214,12,93.36,4.87,0,0.09,3.6,-1.26,-0.38,2.07,0,0,0,86,12,0,815,2953,,5.71,93.36,0.038896703,,12
215,3,89.57,4.75,0,0.09,3.41,-1.24,-0.39,1.99,0,0,0,82.5,12,0,815,3001,,1.92,89.57,0.037283516,,3
216,0,86.55,4.64,0.01,0.07,3.21,-1.24,-0.42,1.93,0,0,0,80,11,0,815,3007,,-1.1,86.55,0.036004396,,0
,,,,,,,,,,,,,,,,,,,,,,,
