ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,,,,,,,,
46,45,3.43,0.26,-0.12,0.61,-0.05,-0.02,-0.05,0.02,0.26,0.22,0,0.3,0.05,0,1014,510,,,,,
47,66,5.52,0.35,-0.12,0.9,0.02,-0.01,-0.04,0.01,0.5,0.44,0,0.5,0.1,0,1014,515,,,,,
48,92,7.74,0.38,-0.12,1.02,0.07,0,-0.04,0.02,0.76,0.7,0,0.75,0.1,0,1014,521,,,,,
49,119,9.6,0.37,-0.12,1.05,0.12,0.02,-0.03,0,0.94,0.92,0,0.9,0.1,0,1014,526,,,,,
50,140,11.6,0.48,-0.12,1.11,0.17,0.04,-0.02,-0.01,1.22,1.12,0,1.1,0.15,0,1014,531,,,,,
51,158,13.41,0.49,-0.11,1.12,0.24,0.07,-0.01,0,1.52,1.34,0,1.25,0.15,0,1014,536,,,,,
52,173,15.4,0.51,-0.11,1.12,0.29,0.09,-0.01,0.01,1.84,1.56,0,1.4,0.2,0,1014,541,,,,,
53,186,17.17,0.61,-0.1,1.14,0.33,0.11,0,0.01,2.14,1.74,0,1.65,0.2,0,1014,546,,,,,
54,198,19.11,0.6,-0.12,1.23,0.38,0.14,0.01,0.01,2.48,1.94,0,1.75,0.3,0,1014,551,,,,,
55,207,20.34,0.65,-0.23,1.23,0.41,0.16,0.01,0.02,2.68,2.04,0,1.85,0.3,0,1014,554,,,,,
56,192,20.34,0.7,-0.23,1.25,0.42,0.16,0.01,0.02,2.78,2.06,0,1.85,0.25,0,1014,622,,,,,
57,144,18.63,0.71,-0.22,1.25,0.4,0.16,0.03,0.04,2.64,1.88,0,1.7,0.25,0,1014,627,,,,,
58,101,16.63,0.7,-0.22,1.12,0.4,0.13,0.03,0.05,2.48,1.66,0,1.45,0.15,0,1014,632,,,,,
59,67,14.74,0.72,-0.22,1.11,0.41,0.12,0.03,0.07,2.3,1.42,0,1.3,0.2,0,1014,636,,,,,
60,43,12.74,0.66,-0.22,0.92,0.38,0.12,0.03,0.08,2.12,1.22,0,1.1,0.1,0,1014,641,,,,,
61,23,10.75,0.58,-0.22,0.5,0.36,0.11,0.03,0.07,1.96,1,0,0.9,0.15,0,1014,646,,,,,
62,4,8.66,0.58,-0.22,0.3,0.3,0.1,0.02,0.07,1.8,0.8,0,0.75,0.1,0,1014,651,,,,,
63,-6,7.33,0.47,-0.22,0.19,0.25,0.1,0.03,0.07,1.58,0.66,0,0.6,0.1,0,1014,656,,,,,
64,-16,5.13,0.48,-0.22,0.11,0.18,0.09,0.03,0.07,1.18,0.44,0,0.4,0,0,1014,702,,,,,
65,-21,3.05,0.41,-0.21,0.11,0.1,0.07,0.04,0.06,0.58,0.36,0,0.2,0.05,0,1014,707,,,,,
66,-29,0.88,0.41,-0.21,0.13,0.03,0.05,0.03,0.04,0.04,0.22,0,0,0,0,1014,712,,,,,
67,-42,-1.1,0.31,-0.22,0.02,-0.04,0.04,0.04,0.05,-0.24,-0.18,0,-0.2,-0.05,0,1014,717,,,,,
68,-67,-3.28,0.09,-0.11,-0.02,-0.12,0.02,0.04,0.07,-0.56,-0.5,0,-0.4,-0.05,0,1014,722,,,,,
69,-90,-5.18,-0.01,-0.01,-0.11,-0.23,0,-0.06,0.11,-0.94,-0.82,0,-0.55,-0.05,0,1014,727,,,,,
