ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,変位計1,,γ1-2,,,筋かい有
43,90,11.72,1.47,-0.11,0.18,0.29,-0.25,-0.11,-0.2,0.82,1.32,4.76,11.5,1.5,118,812,4930,,,11.72,,0.004505495,,,90
44,66,10.5,1.47,-0.11,0.17,0.25,-0.26,-0.1,-0.17,1.02,1.62,3.5,10.5,1.5,75,812,4933,,,10.5,,0.003969231,,,66
45,40,9.56,1.37,-0.11,0.17,0.22,-0.26,-0.11,-0.14,1.02,1.66,2.9,9,1,20,812,4934,,,9.56,,0.0036,,,40
46,4,8.59,1.37,-0.11,0.1,0.2,-0.24,-0.11,-0.11,1,1.54,2.56,8,0.5,-18,812,4936,,,8.59,,0.003173626,,,4
47,-3,8.04,1.27,-0.11,0.06,0.18,-0.23,-0.11,-0.11,0.98,1.52,2.42,8,1,-15,812,4939,,,8.04,,0.002975824,,,-3
48,7,8.13,1.26,-0.07,0.07,0.18,-0.23,-0.11,-0.1,1,1.5,2.56,8.5,1.5,28,812,4959,,,8.13,,0.00301978,,,7
49,53,9.11,1.37,-0.07,0.07,0.21,-0.23,-0.11,-0.11,1.04,1.54,3.28,10,-6.5,98,812,5001,,,9.11,,0.003402198,,,53
50,86,10.19,1.38,-0.07,0.07,0.26,-0.22,-0.11,-0.13,0.94,1.28,4.5,10,1.5,143,812,5003,,,10.19,,0.003872527,,,86
51,115,11.09,1.37,-0.08,0.07,0.3,-0.21,-0.11,-0.17,0.76,0.96,5.26,11.5,2,208,812,5005,,,11.09,,0.004272527,,,115
52,178,12.21,1.46,-0.09,0.16,0.34,-0.21,-0.1,-0.23,0.44,0.6,5.8,12.5,1.5,315,812,5007,,,12.21,,0.004725275,,,178
53,241,13.3,1.48,-0.11,0.17,0.36,-0.21,-0.1,-0.29,0.2,0.36,6.18,13.5,1,413,812,5009,,,13.3,,0.005195604,,,241
54,299,14.54,1.53,-0.11,0.17,0.37,-0.21,-0.1,-0.37,0,0.24,6.48,14,1.5,508,812,5012,,,14.54,,0.005718681,,,299
55,347,15.59,1.58,-0.1,0.17,0.37,-0.24,-0.1,-0.44,-0.16,0.16,6.68,15,2,580,812,5014,,,15.59,,0.006158242,,,347
56,388,16.56,1.58,-0.11,0.17,0.37,-0.26,-0.11,-0.52,-0.26,0.1,6.82,16,1.5,638,812,5016,,,16.56,,0.006584615,,,388
57,413,17.36,1.68,-0.11,0.17,0.37,-0.28,-0.1,-0.56,-0.3,0.1,6.92,16.5,2.5,675,812,5018,,,17.36,,0.006892308,,,413
58,436,18.2,1.68,-0.1,0.17,0.37,-0.3,-0.11,-0.6,-0.3,0.12,7.02,16.5,2.5,703,812,5019,,,18.2,,0.007261538,,,436
59,453,19.17,1.79,-0.11,0.17,0.35,-0.31,-0.11,-0.65,-0.32,0.18,7.14,17.5,3,733,812,5021,,,19.17,,0.00763956,,,453
60,471,20.04,1.85,-0.12,0.25,0.35,-0.33,-0.13,-0.69,-0.3,0.3,7.26,18,3.5,758,812,5023,,,20.04,,0.007995604,,,471
61,486,20.9,1.9,-0.11,0.27,0.34,-0.36,-0.12,-0.75,-0.3,0.38,7.34,19,3,780,812,5025,,,20.9,,0.008351648,,,486
62,497,21.75,1.9,-0.11,0.28,0.32,-0.35,-0.14,-0.82,-0.26,0.46,7.46,19,3.5,803,812,5027,,,21.75,,0.008725275,,,497
