ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,変位計1,,γ1-2,,,筋かい有
167,1278,74.21,4.11,-2.1,0.28,0.46,-0.97,-0.5,-3.62,3.52,12.44,10.26,53,9,1613,812,5430,,,74.21,,0.030813187,,,1278
168,1260,75.22,4.21,-2.21,0.28,0.48,-0.97,-0.5,-3.63,3.58,13.12,10.28,54,9,1590,812,5432,,,75.22,,0.031213187,,,1260
169,1261,75.86,4.32,-2.21,0.28,0.49,-0.98,-0.5,-3.65,3.6,13.52,10.3,55,9.5,1585,812,5434,,,75.86,,0.031446154,,,1261
170,1263,76.63,4.32,-2.2,0.28,0.5,-0.97,-0.5,-3.67,3.64,13.88,10.3,54.5,8.5,1585,812,5436,,,76.63,,0.031784615,,,1263
171,1267,77.4,4.33,-2.2,0.27,0.53,-0.98,-0.5,-3.68,3.66,14.3,10.3,55.5,9,1585,812,5438,,,77.4,,0.032118681,,,1267
172,1265,78.18,4.43,-2.21,0.28,0.54,-0.98,-0.5,-3.69,3.66,14.72,10.32,56,9,1585,812,5440,,,78.18,,0.032417582,,,1265
173,1273,78.85,4.43,-2.31,0.28,0.56,-0.98,-0.5,-3.7,3.66,15.08,10.3,56.5,9.5,1585,812,5441,,,78.85,,0.032712088,,,1273
174,1279,79.47,4.43,-2.31,0.28,0.58,-0.99,-0.51,-3.72,3.7,15.42,10.32,57,10,1585,812,5443,,,79.47,,0.032984615,,,1279
175,1291,80.2,4.46,-2.32,0.27,0.59,-0.99,-0.5,-3.73,3.72,15.76,10.32,58,9,1590,812,5445,,,80.2,,0.033292308,,,1291
176,1294,80.88,4.54,-2.3,0.27,0.61,-0.99,-0.5,-3.77,3.74,16.12,10.34,58.5,8.5,1593,812,5447,,,80.88,,0.033556044,,,1294
177,1300,81.55,4.53,-2.32,0.27,0.64,-0.98,-0.52,-3.79,3.78,16.78,10.38,59,9,1528,812,5448,,,81.55,,0.033854945,,,1300
178,1238,82.32,4.64,-2.41,0.74,1.07,-0.8,-0.54,-2.96,4.32,26.6,10.7,68.5,10,573,812,5450,,,82.32,,0.034145055,,,1238
179,437,84.62,5.69,-2.31,0.37,0.96,-0.78,-0.55,-3.1,4.78,26.18,10.58,69.5,10.5,650,812,5451,,,84.62,,0.034694505,,,437
180,478,85.33,5.65,-2.31,0.37,0.94,-0.79,-0.55,-3.11,4.62,26.26,10.64,69,10.5,678,812,5453,,,85.33,,0.035024176,,,478
181,501,86.1,5.69,-2.32,0.37,0.95,-0.78,-0.56,-3.14,4.6,26.62,10.64,70,10.5,688,812,5455,,,86.1,,0.035345055,,,501
182,501,86.87,5.69,-2.33,0.36,0.94,-0.76,-0.55,-3.14,4.62,27.08,10.64,70.5,10.5,688,812,5457,,,86.87,,0.035683516,,,501
183,502,87.68,5.71,-2.33,0.38,1.28,-0.72,-0.53,-2.7,5.1,30.5,10.36,76,11.5,450,812,5459,,,87.68,,0.036030769,,,502
184,349,89.11,6,-2.32,0.36,1.57,-0.7,-0.54,-2.6,5.2,31.28,10.38,77,11,440,812,5500,,,89.11,,0.036531868,,,349
185,348,89.86,6.03,-2.32,0.37,1.62,-0.68,-0.54,-2.57,5.2,31.84,10.36,78,11.5,440,812,5502,,,89.86,,0.036848352,,,348
186,347,90.65,6.11,-2.32,0.37,1.7,-0.66,-0.53,-2.53,5.26,32.58,10.34,79,11.5,420,812,5504,,,90.65,,0.03716044,,,347
187,333,91.5,6.11,-2.32,0.37,1.88,-0.65,-0.52,-2.45,5.34,33.56,10.3,80.5,12,398,812,5506,,,91.5,,0.037534066,,,333
188,323,92.39,6.22,-2.31,0.38,2.02,-0.62,-0.51,-2.36,5.42,34.3,10.24,82,12,383,812,5507,,,92.39,,0.037876923,,,323
189,312,93.17,6.22,-2.31,0.37,2.19,-0.62,-0.51,-2.24,5.56,35.42,10.14,83,11.5,348,812,5509,,,93.17,,0.03821978,,,312
190,298,94.05,6.32,-2.31,0.38,2.34,-0.58,-0.5,-2.18,5.6,36.12,10.1,84.5,12.5,345,812,5511,,,94.05,,0.038562637,,,298
191,303,94.9,6.32,-2.32,0.37,2.4,-0.57,-0.5,-2.16,5.6,36.66,10.08,85.5,12.5,343,812,5512,,,94.9,,0.038936264,,,303
192,302,95.68,6.36,-2.32,0.37,2.46,-0.56,-0.49,-2.12,5.64,37.26,10.06,85.5,13.5,335,812,5514,,,95.68,,0.039261538,,,302
193,249,96.55,6.43,-2.31,0.37,2.87,-0.54,-0.47,-1.79,6.1,39.36,9.52,89,13.5,243,812,5516,,,96.55,,0.039613187,,,249
194,249,97.43,6.43,-2.3,0.37,2.93,-0.53,-0.46,-1.74,6.08,39.94,9.54,89.5,14.5,243,812,5517,,,97.43,,0.04,,,249
195,247,98.3,6.53,-2.28,0.37,3,-0.52,-0.46,-1.71,6.1,40.52,9.54,90,14,235,812,5519,,,98.3,,0.040338462,,,247
196,248,99.08,6.53,-2.28,0.36,3.09,-0.51,-0.46,-1.67,6.12,41.2,9.5,91.5,14,225,812,5521,,,99.08,,0.040681319,,,248
197,245,99.86,6.52,-2.27,0.37,3.13,-0.5,-0.45,-1.65,6.12,41.7,9.5,92,14,228,812,5522,,,99.86,,0.041028571,,,245
198,243,100.84,6.64,-2.22,0.36,3.21,-0.49,-0.45,-1.62,6.14,42.38,9.48,92.5,14,225,812,5524,,,100.84,,0.041406593,,,243
199,244,101.71,6.64,-2.21,0.38,3.26,-0.47,-0.44,-1.58,6.18,43,9.46,94,14,218,812,5526,,,101.71,,0.041789011,,,244
200,239,102.59,6.64,-2.22,0.38,3.37,-0.46,-0.43,-1.53,6.18,43.76,9.42,95,15,210,812,5528,,,102.59,,0.042175824,,,239
201,239,103.36,6.74,-2.21,0.37,3.47,-0.46,-0.42,-1.45,6.24,44.34,9.38,95.5,14.5,180,812,5529,,,103.36,,0.04247033,,,239
202,218,104.23,6.74,-2.21,0.37,3.58,-0.44,-0.39,-1.35,6.42,45.5,9.08,97,14,175,812,5531,,,104.23,,0.042852747,,,218
203,224,105.31,6.84,-2.22,0.37,3.66,-0.42,-0.4,-1.32,6.42,46.12,9.08,98,15,178,812,5533,,,105.31,,0.043283516,,,224
204,228,106.18,6.85,-2.21,0.37,3.71,-0.41,-0.39,-1.31,6.42,46.72,9.1,99,14.5,180,812,5535,,,106.18,,0.043661538,,,228
205,216,107.17,6.95,-2.21,0.37,3.78,-0.41,-0.38,-1.26,6.48,47.58,9.02,100,14.5,168,812,5537,,,107.17,,0.044052747,,,216
206,220,108.14,6.95,-2.21,0.36,3.85,-0.39,-0.37,-1.24,6.48,48.16,9.02,100.5,15.5,173,812,5539,,,108.14,,0.044479121,,,220
207,227,109.11,6.96,-2.21,0.38,3.94,-0.37,-0.36,-1.22,6.48,48.76,9.04,102,15.5,175,812,5541,,,109.11,,0.044901099,,,227
208,231,110.29,7.06,-2.22,0.37,3.99,-0.36,-0.36,-1.2,6.46,49.5,9.04,102.5,15.5,175,812,5543,,,110.29,,0.045375824,,,231
209,228,111.17,7.06,-2.22,0.36,4.05,-0.35,-0.36,-1.18,6.46,50.14,9.02,103.5,16.5,173,812,5545,,,111.17,,0.045762637,,,228
210,234,112.16,7.16,-2.21,0.36,4.1,-0.33,-0.35,-1.16,6.46,50.7,9.04,104,16.5,180,812,5547,,,112.16,,0.046153846,,,234
211,240,113.12,7.16,-2.2,0.37,4.15,-0.33,-0.34,-1.15,6.44,51.22,9.06,105.5,16.5,190,812,5549,,,113.12,,0.046575824,,,240
212,243,114,7.18,-2.21,0.37,4.23,-0.31,-0.33,-1.15,6.42,51.7,9.1,106,16.5,198,812,5551,,,114,,0.046953846,,,243
213,238,114.5,7.25,-2.2,0.35,4.25,-0.31,-0.32,-1.13,6.44,52,9.12,106.5,16,183,812,5554,,,114.5,,0.047142857,,,238
214,223,114.67,7.37,-2.19,0.36,4.24,-0.28,-0.3,-1.04,6.48,52.4,9.08,106,15.5,185,813,1,,,114.67,,0.047164835,,,223
215,245,115.37,7.38,-2.2,0.37,4.25,-0.28,-0.31,-1.05,6.42,52.7,9.1,107,16,203,813,3,,,115.37,,0.047468132,,,245
216,245,116.25,7.48,-2.2,0.38,4.3,-0.28,-0.31,-1.05,6.4,53.28,9.1,108,16,195,813,4,,,116.25,,0.047810989,,,245
217,245,117.13,7.49,-2.21,0.38,4.36,-0.28,-0.3,-1.04,6.42,53.88,9.1,109,16.5,193,813,6,,,117.13,,0.048193407,,,245
218,241,118.01,7.48,-2.21,0.38,4.42,-0.28,-0.3,-1.02,6.4,54.46,9.1,110,16.5,190,813,8,,,118.01,,0.048584615,,,241
219,243,118.9,7.5,-2.2,0.38,4.49,-0.28,-0.3,-1,6.42,55.06,9.1,111,16.5,185,813,10,,,118.9,,0.048967033,,,243
220,240,119.77,7.59,-2.2,0.37,4.53,-0.27,-0.29,-0.98,6.44,55.8,9.08,111.5,16.5,138,813,11,,,119.77,,0.04930989,,,240
221,200,120.66,7.58,-2.2,0.38,4.63,-0.28,-0.28,-0.79,6.94,58.08,7.58,112.5,16.5,120,813,13,,,120.66,,0.049705495,,,200
222,210,121.54,7.69,-2.21,0.37,4.68,-0.28,-0.28,-0.78,6.94,58.82,7.32,114,17,110,813,15,,,121.54,,0.050043956,,,210
223,202,122.44,7.7,-2.2,0.38,4.75,-0.27,-0.28,-0.77,6.98,59.48,7.26,114.5,17,108,813,16,,,122.44,,0.050435165,,,202
224,204,123.51,7.77,-2.2,0.38,4.82,-0.28,-0.28,-0.74,7.02,60.28,7.06,116,17.5,103,813,18,,,123.51,,0.050874725,,,204
225,204,124.4,7.8,-2.21,0.38,4.86,-0.26,-0.28,-0.72,7.02,60.86,7.04,116.5,17,105,813,20,,,124.4,,0.051252747,,,204
226,204,125.29,7.8,-2.21,0.38,4.91,-0.26,-0.27,-0.7,7,61.36,7.12,117.5,17,108,813,22,,,125.29,,0.051643956,,,204
227,209,126.16,7.91,-2.2,0.36,4.97,-0.25,-0.27,-0.69,6.96,61.64,7.48,118,18.5,118,813,24,,,126.16,,0.051978022,,,209
228,214,127.08,7.9,-2.2,0.37,5.03,-0.23,-0.28,-0.68,6.92,62.04,7.7,119,18.5,120,813,25,,,127.08,,0.052386813,,,214
229,201,128.04,7.95,-2.2,0.37,5.08,-0.23,-0.25,-0.63,7.12,63.66,6.48,120,18,93,813,27,,,128.04,,0.052786813,,,201
230,206,129.03,8.01,-2.2,0.38,5.13,-0.23,-0.26,-0.62,7.12,64.14,6.62,120.5,18.5,98,813,29,,,129.03,,0.053195604,,,206
231,207,129.91,8.01,-2.21,0.37,5.18,-0.23,-0.26,-0.61,7.12,64.64,6.66,121,18,100,813,31,,,129.91,,0.053582418,,,207
232,206,130.81,8.11,-2.21,0.38,5.23,-0.22,-0.26,-0.57,7.1,65.3,6.56,122,19,93,813,32,,,130.81,,0.053934066,,,206
233,205,131.58,8.11,-2.2,0.38,5.28,-0.21,-0.25,-0.44,6.84,64.1,12.72,123,18,-20,813,34,,,131.58,,0.054272527,,,205
234,149,132.69,8.22,-2.2,0.38,5.34,-0.23,-0.26,-0.36,6.78,69.02,20.5,124.5,19,-15,813,36,,,132.69,,0.054712088,,,149
235,147,134.26,8.32,-2.2,0.38,5.41,-0.24,-0.26,-0.32,6.78,69.64,20.48,125.5,19,-15,813,39,,,134.26,,0.055358242,,,147
236,152,135.26,8.43,-2.2,0.37,5.47,-0.24,-0.26,-0.29,6.78,70.28,20.5,127,19,-15,813,41,,,135.26,,0.055749451,,,152
237,151,136.24,8.44,-2.2,0.38,5.51,-0.25,-0.26,-0.28,6.78,70.86,20.5,127.5,19.5,-15,813,42,,,136.24,,0.056175824,,,151
238,152,137.14,8.54,-2.19,0.38,5.56,-0.25,-0.26,-0.26,6.78,71.42,20.48,128,20.5,-18,813,44,,,137.14,,0.056527473,,,152
239,149,138.02,8.54,-2.2,0.38,5.61,-0.25,-0.26,-0.23,6.78,72.06,19.74,129,19.5,-18,813,46,,,138.02,,0.056914286,,,149
240,153,138.92,8.54,-2.2,0.38,5.66,-0.25,-0.26,-0.22,6.76,72.06,19.9,130,19.5,-15,813,48,,,138.92,,0.05730989,,,153
241,156,139.75,8.65,-2.2,0.38,5.69,-0.25,-0.25,-0.21,6.76,72.06,19.88,131,20,-15,813,49,,,139.75,,0.057626374,,,156
242,151,140.8,8.65,-2.19,0.39,5.76,-0.25,-0.26,-0.19,6.76,72.06,19.08,131.5,19.5,-15,813,51,,,140.8,,0.058087912,,,151
243,153,141.88,8.73,-2.19,0.36,5.8,-0.24,-0.26,-0.16,6.74,72.04,19.02,132.5,19.5,-18,813,53,,,141.88,,0.058527473,,,153
244,149,141.99,8.73,-2.19,0.36,5.8,-0.24,-0.26,-0.15,6.76,72.04,18.16,132.5,19.5,-20,813,56,,,141.99,92.13,0.058575824,,,149
245,142,141.99,8.85,-2.19,0.36,5.78,-0.27,-0.22,-0.09,6.68,72,8.64,132,19,-18,813,257,,,49.86,141.99,0.058523077,,,142
246,141,141.51,8.85,-2.2,0.37,5.79,-0.27,-0.21,-0.07,6.7,71.98,8.66,132.5,19,-13,813,308,,,49.38,141.51,0.058312088,,,141
247,146,143.01,8.89,-2.2,0.38,5.81,-0.27,-0.23,-0.08,6.7,72,8.68,133.5,19.5,-18,813,310,,,50.88,143.01,0.058953846,,,146
248,153,144.11,8.97,-2.21,0.37,5.86,-0.28,-0.23,-0.06,6.7,72,8.7,134.5,19.5,-13,813,312,,,51.98,144.11,0.059402198,,,153
249,155,145.17,8.96,-2.2,0.38,5.93,-0.28,-0.23,-0.05,6.72,72,8.7,135.5,19,-13,813,314,,,53.04,145.17,0.059872527,,,155
250,155,146.23,9.02,-2.21,0.37,5.98,-0.27,-0.23,-0.03,6.74,72.02,8.7,136.5,19.5,-15,813,316,,,54.1,146.23,0.060312088,,,155
251,158,147.29,9.07,-2.21,0.37,6.06,-0.27,-0.22,-0.01,6.7,72,8.7,137.5,19.5,-15,813,318,,,55.16,147.29,0.060756044,,,158
252,157,148.44,9.06,-2.2,0.38,6.15,-0.28,-0.23,0.01,6.7,72,8.74,138.5,20,-15,813,320,,,56.31,148.44,0.061265934,,,157
253,161,149.58,9.17,-2.21,0.38,6.24,-0.28,-0.23,0.02,6.7,71.98,8.72,139.5,20,-15,813,323,,,57.45,149.58,0.061718681,,,161
254,161,150.75,9.17,-2.2,0.38,6.29,-0.27,-0.22,0.05,6.7,72,8.72,141,21,-13,813,325,,,58.62,150.75,0.062232967,,,161
255,161,151.91,9.18,-2.2,0.38,6.38,-0.27,-0.22,0.09,6.66,71.96,8.72,142,20,-15,813,327,,,59.78,151.91,0.062738462,,,161
256,164,153.06,9.28,-2.19,0.38,6.44,-0.27,-0.22,0.11,6.7,72,8.76,143.5,22,-13,813,329,,,60.93,153.06,0.0632,,,164
257,164,154.11,9.28,-2.2,0.38,6.49,-0.27,-0.22,0.12,6.7,72,8.76,144,22,-15,813,331,,,61.98,154.11,0.063661538,,,164
258,167,155.26,9.29,-2.2,0.37,6.54,-0.27,-0.23,0.14,6.7,72.02,8.74,144.5,21.5,-15,813,333,,,63.13,155.26,0.064162637,,,167
259,169,156.32,9.39,-2.21,0.38,6.59,-0.27,-0.21,0.15,6.7,72,8.76,146,22,-15,813,335,,,64.19,156.32,0.064584615,,,169
260,170,157.5,9.39,-2.22,0.37,6.68,-0.27,-0.19,0.18,6.7,72,8.76,146.5,22,-13,813,337,,,65.37,157.5,0.065103297,,,170
261,169,158.73,9.49,-2.2,0.39,6.75,-0.28,-0.19,0.21,6.7,71.98,8.76,148,23,-15,813,340,,,66.6,158.73,0.0656,,,169
262,171,159.8,9.5,-2.2,0.38,6.81,-0.27,-0.18,0.22,6.7,72,8.76,148.5,22,-15,813,342,,,67.67,159.8,0.066065934,,,171
263,171,161.04,9.6,-2.2,0.38,6.9,-0.27,-0.18,0.25,6.7,72,8.76,149.5,23,-15,813,344,,,68.91,161.04,0.066567033,,,171
264,174,162.18,9.68,-2.2,0.38,6.91,-0.27,-0.18,0.27,6.7,72.02,8.76,150.5,22.5,-15,813,346,,,70.05,162.18,0.067032967,,,174
265,173,163.42,9.7,-2.22,0.38,6.99,-0.26,-0.17,0.31,6.68,72.02,8.74,152.5,23.5,-15,813,348,,,71.29,163.42,0.067569231,,,173
266,172,164.51,9.81,-2.21,0.38,7.07,-0.27,-0.18,0.32,6.7,72,8.76,152.5,23,-15,813,350,,,72.38,164.51,0.068,,,172
267,174,165.66,9.8,-2.2,0.38,7.13,-0.25,-0.16,0.35,6.7,72,8.72,154,23,-15,813,353,,,73.53,165.66,0.06850989,,,174
268,173,166.73,9.92,-2.21,0.38,7.2,-0.27,-0.14,0.37,6.7,72,8.72,154.5,22.5,-15,813,355,,,74.6,166.73,0.068927473,,,173
269,177,167.86,9.91,-2.19,0.38,7.27,-0.26,-0.14,0.38,6.68,72,8.72,156,23,-15,813,357,,,75.73,167.86,0.069428571,,,177
270,177,168.98,10.02,-2.2,0.38,7.34,-0.26,-0.14,0.41,6.7,72,8.72,156.5,24,-18,813,359,,,76.85,168.98,0.069872527,,,177
271,177,170.21,10.02,-2.2,0.38,7.42,-0.26,-0.13,0.44,6.7,72,8.72,157.5,24.5,-15,813,401,,,78.08,170.21,0.070413187,,,177
272,179,171.29,10.12,-2.2,0.38,7.47,-0.26,-0.14,0.46,6.68,72,8.72,159,24,-15,813,403,,,79.16,171.29,0.070843956,,,179
273,183,172.42,10.13,-2.2,0.38,7.5,-0.26,-0.13,0.48,6.7,72,8.7,159.5,24.5,-15,813,405,,,80.29,172.42,0.071336264,,,183
274,182,173.58,10.23,-2.21,0.37,7.54,-0.27,-0.13,0.5,6.68,72,8.7,160.5,24,-18,813,407,,,81.45,173.58,0.071802198,,,182
275,181,174.83,10.26,-2.2,0.37,7.65,-0.27,-0.13,0.54,6.68,72,8.7,162,23.5,-15,813,410,,,82.7,174.83,0.072338462,,,181
276,183,175.99,10.33,-2.21,0.36,7.71,-0.26,-0.13,0.56,6.68,72,8.7,162.5,24.5,-18,813,412,,,83.86,175.99,0.072817582,,,183
277,179,177.15,10.44,-2.2,0.38,7.87,-0.2,-0.07,0.6,6.66,71.98,8.7,163.5,24.5,-15,813,414,,,85.02,177.15,0.073279121,,,179
278,181,178.22,10.45,-2.21,0.37,7.92,-0.19,-0.08,0.63,6.68,72,8.68,164.5,25,-15,813,416,,,86.09,178.22,0.073745055,,,181
279,182,179.49,10.55,-2.2,0.38,8.01,-0.19,-0.08,0.64,6.68,72,8.68,165.5,24,-15,813,418,,,87.36,179.49,0.074259341,,,182
280,183,180.54,10.66,-2.21,0.39,8.06,-0.19,-0.09,0.66,6.68,72.02,8.68,166.5,25.5,-15,813,420,,,88.41,180.54,0.074672527,,,183
281,186,181.7,10.66,-2.19,0.39,8.16,-0.19,-0.07,0.7,6.7,72,8.62,167.5,25.5,-13,813,422,,,89.57,181.7,0.075182418,,,186
282,191,182.86,10.76,-2.21,0.38,8.21,-0.19,-0.07,0.73,6.68,72.02,8.52,168.5,26,-8,813,425,,,90.73,182.86,0.075648352,,,191
283,191,184.03,10.76,-2.22,0.39,8.26,-0.19,-0.07,0.74,6.64,72,8.5,170,25.5,-8,813,427,,,91.9,184.03,0.076162637,,,191
284,192,185.2,10.87,-2.24,0.38,8.36,-0.19,-0.06,0.77,6.64,72,8.5,171,25.5,-5,813,429,,,93.07,185.2,0.076628571,,,192
285,191,186.35,10.86,-2.25,0.38,8.42,-0.2,-0.06,0.79,6.62,72.02,8.5,171.5,25,-8,813,431,,,94.22,186.35,0.077138462,,,191
286,193,187.52,10.97,-2.27,0.38,8.53,-0.19,-0.06,0.82,6.62,72,8.48,173.5,26,-10,813,433,,,95.39,187.52,0.077604396,,,193
287,192,188.68,11.03,-2.28,0.37,8.58,-0.19,-0.05,0.85,6.6,72,8.5,173.5,25.5,-10,813,435,,,96.55,188.68,0.078087912,,,192
288,192,189.75,11.07,-2.31,0.38,8.65,-0.19,-0.05,0.88,6.58,71.98,8.5,174.5,26,-10,813,437,,,97.62,189.75,0.078540659,,,192
289,195,191.02,11.18,-2.3,0.38,8.73,-0.19,-0.05,0.9,6.56,72,8.48,175.5,27,-10,813,440,,,98.89,191.02,0.079050549,,,195
290,195,192.27,11.18,-2.3,0.38,8.79,-0.18,-0.04,0.93,6.56,72,8.48,176.5,26.5,-8,813,442,,,100.14,192.27,0.0796,,,195
291,194,193.64,11.29,-2.3,0.38,8.89,-0.19,-0.01,0.96,6.56,72.02,8.46,178,27,-10,813,445,,,101.51,193.64,0.080153846,,,194
292,197,194.81,11.39,-2.3,0.38,8.94,-0.19,0,1,6.52,72,8.48,178.5,27,-10,813,447,,,102.68,194.81,0.080624176,,,197
293,197,195.97,11.39,-2.31,0.39,9,-0.19,-0.01,1.02,6.5,72,8.48,180,27,-10,813,449,,,103.84,195.97,0.081134066,,,197
294,198,197.24,11.48,-2.32,0.38,9.09,-0.19,0,1.05,6.52,72,8.5,181,27,-8,813,451,,,105.11,197.24,0.081652747,,,198
295,199,198.41,11.52,-2.31,0.38,9.14,-0.19,0.01,1.08,6.5,72,8.52,182,27.5,-10,813,454,,,106.28,198.41,0.082149451,,,199
296,199,199.58,11.61,-2.31,0.38,9.19,-0.19,0,1.09,6.48,72,8.54,182.5,27,-10,813,456,,,107.45,199.58,0.082624176,,,199
297,189,200.17,11.82,-2.3,0.38,9.13,-0.19,0,1.13,6.48,72,8.56,182.5,27,-10,813,555,,,108.04,200.17,0.082791209,,,189
298,178,199.08,11.81,-2.33,0.37,9.1,-0.19,0,1.14,6.46,72,8.72,181,27,-15,813,557,,,106.95,199.08,0.082316484,,,178
299,172,197.87,11.82,-2.3,0.39,9.04,-0.19,-0.01,1.14,6.44,71.98,8.76,181,26.5,-20,813,600,,,105.74,197.87,0.08178022,,,172
300,168,196.74,11.71,-2.31,0.38,8.96,-0.2,0.01,1.14,6.44,72,8.34,179.5,27,-20,813,602,,,104.61,196.74,0.081331868,,,168
301,167,195.68,11.71,-2.3,0.38,8.89,-0.21,0,1.13,6.42,72,7.72,178,27,-20,813,604,,,103.55,195.68,0.080865934,,,167
302,162,194.51,11.71,-2.3,0.38,8.79,-0.22,0,1.12,6.42,72,7.08,177.5,26.5,-20,813,606,,,102.38,194.51,0.080351648,,,162
303,156,193.35,11.6,-2.29,0.38,8.69,-0.23,0.01,1.11,6.4,72,7.08,177.5,26,-25,813,608,,,101.22,193.35,0.07989011,,,156
304,151,192.18,11.61,-2.3,0.38,8.61,-0.24,0,1.11,6.42,72,7.08,176,26,-25,813,610,,,100.05,192.18,0.079371429,,,151
305,148,191.01,11.61,-2.29,0.38,8.52,-0.25,0.01,1.1,6.42,72,7.08,175,26.5,-25,813,612,,,98.88,191.01,0.078857143,,,148
306,146,189.85,11.5,-2.29,0.39,8.44,-0.25,0,1.08,6.4,72,7.08,174.5,27,-28,813,614,,,97.72,189.85,0.078395604,,,146
307,143,188.68,11.5,-2.27,0.39,8.38,-0.27,0,1.08,6.4,72,7.1,173,25.5,-25,813,616,,,96.55,188.68,0.077881319,,,143
308,141,187.61,11.5,-2.19,0.38,8.32,-0.27,0,1.07,6.4,72,7.08,172.5,25.5,-25,813,618,,,95.48,187.61,0.077410989,,,141
309,138,186.45,11.4,-2.2,0.39,8.25,-0.28,0,1.06,6.4,72,7.08,170.5,25.5,-25,813,620,,,94.32,186.45,0.076945055,,,138
310,135,185.28,11.39,-2.19,0.38,8.18,-0.29,0.01,1.06,6.4,72,7.04,170,26.5,-28,813,623,,,93.15,185.28,0.076435165,,,135
311,132,184.03,11.29,-2.19,0.38,8.1,-0.29,0,1.05,6.38,72,7,169,24.5,-25,813,625,,,91.9,184.03,0.07592967,,,132
312,126,181.8,11.31,-2.19,0.39,7.9,-0.31,-0.01,1.03,6.38,72,6.96,167,24.5,-28,813,629,,,89.67,181.8,0.074940659,,,126
313,118,176.86,11.08,-2.19,0.39,7.59,-0.32,-0.05,0.98,6.36,71.98,6.9,162.5,25.5,-28,813,638,,,84.73,176.86,0.07287033,,,118
314,112,173.28,10.97,-2.2,0.38,7.38,-0.34,-0.06,0.94,6.34,72,6.78,160,24,-30,813,644,,,81.15,173.28,0.071345055,,,112
315,107,169.14,10.76,-2.17,0.38,7.15,-0.35,-0.08,0.89,6.34,72,6.8,156,23.5,-30,813,652,,,77.01,169.14,0.069617582,,,107
316,97,161.72,10.55,-2.1,0.38,6.79,-0.37,-0.12,0.79,6.32,72,6.82,149.5,22,-28,813,705,,,69.59,161.72,0.066448352,,,97
317,92,157.97,10.34,-2.09,0.38,6.59,-0.38,-0.12,0.73,6.3,71.98,6.82,146.5,21.5,-28,813,712,,,65.84,157.97,0.064892308,,,92
318,80,149.3,10.03,-1.98,0.39,6.12,-0.4,-0.16,0.59,6.24,72,4.92,138,20,-30,813,727,,,57.17,149.3,0.061217582,,,80
319,69,142.28,9.71,-1.98,0.38,5.68,-0.42,-0.18,0.48,6.22,72,4.92,131.5,19,-28,813,740,,,50.15,142.28,0.058272527,,,69
320,62,136.62,9.51,-1.97,0.39,5.36,-0.43,-0.2,0.39,6.22,71.98,4.9,126.5,19,-25,813,750,,,44.49,136.62,0.055872527,,,62
321,48,123.82,8.87,-1.88,0.38,4.6,-0.48,-0.25,0.17,6.18,71.98,5.06,114.5,16.5,-28,813,813,,,31.69,123.82,0.050527473,,,48
322,41,116.3,8.43,-1.78,0.38,4.26,-0.51,-0.25,0.06,6.16,72,5.3,108,16,-25,813,827,,,24.17,116.3,0.047415385,,,41
323,28,104.1,7.81,-1.67,0.39,3.63,-0.57,-0.27,-0.14,6.12,71.98,5.7,96.5,14.5,-28,813,849,,,11.97,104.1,0.042325275,,,28
324,23,95.3,7.38,-1.68,0.39,3.16,-0.62,-0.28,-0.31,6,71.98,6.98,87.5,11.5,-23,813,905,,,3.17,95.3,0.038646154,,,23
325,14,88.69,7.08,-1.57,0.38,2.86,-0.65,-0.3,-0.39,5.86,72.02,9.1,82,13,-28,813,917,,,-3.44,88.69,0.035872527,,,14
326,10,83.91,6.86,-1.58,0.36,2.61,-0.69,-0.29,-0.42,5.8,72,9.68,76.5,12,-30,813,926,,,-8.22,83.91,0.033868132,,,10
327,-1,69.45,6.02,-1.46,0.34,1.88,-0.78,-0.33,-0.63,5.8,71.98,8.58,64,9,-25,813,952,,,-22.68,69.45,0.027881319,,,-1
,,,,,,,,,,,,,,,,,,,,,,,,,
