ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,,,,,,,,
46,100,22.48,0.31,0,-0.01,0.4,0.01,-0.06,0.43,0.7,0.52,6.42,2.25,0.3,143,2711,4430,,,,,,,,,,
47,122,24.9,0.43,-0.01,0,0.52,0.02,-0.06,0.46,0.8,0.6,7.3,2.4,0.25,198,2711,4436,,,,,,,,,,
48,143,27.21,0.43,0,0.01,0.6,0,-0.07,0.46,0.86,0.62,7.92,2.6,0.35,263,2711,4443,,,,,,,,,,
49,162,28.55,0.42,0,0,0.69,0.02,-0.07,0.47,0.96,0.66,8.16,2.7,0.35,310,2711,4447,,,,,,,,,,
50,181,29.99,0.42,0.01,0.02,0.75,0.01,-0.08,0.47,1.02,0.7,8.36,2.9,0.35,363,2711,4452,,,,,,,,,,
51,203,31.73,0.43,0,0.02,0.82,0.01,-0.09,0.47,1.12,0.76,8.6,3.05,0.35,423,2711,4457,,,,,,,,,,
52,222,33.75,0.51,0,0,0.9,0,-0.1,0.47,1.28,0.92,8.84,3.2,0.4,475,2711,4503,,,,,,,,,,
53,241,35.96,0.54,0.03,0,0.99,0.01,-0.11,0.52,1.48,1.1,9.04,3.45,0.45,525,2711,4510,,,,,,,,,,
54,260,38.74,0.53,0.02,0.01,1.08,-0.01,-0.13,0.55,1.74,1.36,9.32,3.75,0.5,575,2711,4519,,,,,,,,,,
55,282,41.93,0.65,0,0.01,1.2,0.01,-0.16,0.58,2.06,1.68,9.58,4.1,0.5,628,2711,4530,,,,,,,,,,
56,299,45.21,0.65,-0.02,0,1.3,0,-0.22,0.61,2.42,2.02,9.78,4.25,0.55,678,2711,4540,,,,,,,,,,
57,279,45.7,0.74,-0.01,0.01,1.23,0,-0.24,0.64,2.5,2.08,9.8,4.4,0.5,613,2711,4616,,,,,,,,,,
58,233,44.43,0.73,-0.01,0.02,1.18,-0.02,-0.26,0.66,2.46,2.08,9.82,4.2,0.55,483,2711,4621,,,,,,,,,,
59,211,43.56,0.73,-0.01,0.02,1.15,-0.01,-0.27,0.66,2.4,2.04,9.76,4.1,0.5,423,2711,4624,,,,,,,,,,
60,197,42.88,0.72,-0.03,0.02,1.12,-0.01,-0.26,0.67,2.38,2.02,9.7,4.05,0.55,380,2711,4626,,,,,,,,,,
61,182,42.21,0.72,0,0.03,1.09,-0.02,-0.27,0.66,2.32,2.06,9.64,4,0.55,343,2711,4628,,,,,,,,,,
62,159,40.96,0.72,0,0.03,1.03,-0.01,-0.26,0.68,2.26,1.94,9.52,3.85,0.5,275,2711,4631,,,,,,,,,,
