ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,,,,,,,,,
10,5,0.08,-0.02,-0.04,-0.03,-0.01,-0.02,0.02,0,0.02,-0.02,0.26,1.5,0.5,5,510,4014,,,,,,,,,,,
11,25,7.38,0.19,-0.03,-0.01,0.22,-0.02,0.14,0.06,0.04,0,2.34,7,1,5,510,4044,,,,,,,,,,,
12,25,7.37,0.2,-0.03,-0.03,0.21,-0.03,0.15,0.07,0.06,0,2.68,9,1,13,510,4052,,,,,,,,,,,
13,42,14.78,0.41,-0.04,-0.04,0.37,-0.05,0.17,0.2,0.08,0.06,4.8,16,2,18,510,4057,,,,,,,,,,,
14,48,17.86,0.51,-0.04,-0.02,0.42,-0.06,0.16,0.24,0.1,0.12,5.72,19,4,18,510,4104,,,,,,,,,,,
15,57,20.96,0.51,-0.04,-0.04,0.48,-0.06,0.17,0.29,0.14,0.16,6.64,22,3.5,40,510,4113,,,,,,,,,,,
16,69,22.86,0.61,-0.05,-0.04,0.51,-0.07,0.16,0.32,0.24,0.34,7.08,24,5.5,68,510,4118,,,,,,,,,,,
17,84,24.85,0.63,-0.04,-0.06,0.55,-0.06,0.14,0.35,0.4,0.54,7.66,26,5,105,510,4124,,,,,,,,,,,
18,101,26.95,0.75,0,-0.04,0.61,-0.05,0.13,0.39,0.56,0.7,8.18,28,4,150,510,4129,,,,,,,,,,,
19,97,27.43,0.75,-0.01,-0.01,0.61,-0.05,0.12,0.4,0.56,0.72,8.36,28,3.5,135,510,4204,,,,,,,,,,,
20,67,25.8,0.71,-0.05,-0.05,0.55,-0.07,0.11,0.38,0.4,0.62,7.58,26.5,4,65,510,4209,,,,,,,,,,,
21,42,23.99,0.69,-0.06,-0.04,0.49,-0.08,0.1,0.35,0.3,0.42,7.32,25,3.5,10,510,4214,,,,,,,,,,,
22,34,21.91,0.71,-0.05,-0.06,0.41,-0.07,0.08,0.32,0.16,0.36,6.74,22,3,0,510,4219,,,,,,,,,,,
23,29,20.08,0.64,-0.01,0,0.37,-0.06,0.07,0.29,0.1,0.38,6.44,19.5,2,0,510,4223,,,,,,,,,,,
24,23,18.02,0.61,-0.02,0.01,0.31,-0.06,0.07,0.26,0,0.36,5.74,17.5,1.5,0,510,4228,,,,,,,,,,,
25,20,16.11,0.64,0.01,0,0.25,-0.05,0.05,0.24,-0.08,0.36,5.1,16,2.5,-3,510,4233
26,13,14.11,0.54,0,0,0.19,-0.06,0.02,0.19,-0.18,0.34,4.44,14.5,1,-5,510,4238
27,10,12.1,0.51,-0.04,-0.05,0.1,-0.06,-0.01,0.15,-0.28,0.3,3.8,12.5,3,-13,510,4243
28,7,10.13,0.4,-0.05,-0.04,0.04,-0.07,-0.05,0.1,-0.38,0.28,3.12,11.5,3,-8,510,4248
29,3,8.41,0.4,-0.06,-0.05,-0.02,-0.08,-0.07,0.07,-0.38,0.26,2.72,10,2,-10,510,4253
30,2,6.8,0.29,-0.06,-0.05,-0.08,-0.08,-0.09,0.05,-0.44,0.26,2.16,7.5,2.5,-13,510,4257
31,-1,6.24,0.29,-0.06,-0.07,-0.08,-0.07,-0.09,0.03,-0.46,0.24,2.02,7.5,3,-13,510,4301
32,3,5.67,0.3,-0.02,-0.01,-0.08,-0.05,-0.1,0.05,-0.44,0.3,1.86,6.5,0,-3,510,4404
33,12,6.52,0.3,-0.03,-0.02,-0.05,-0.04,-0.09,0.05,-0.38,0.3,2.04,8,0.5,5,510,4409
34,18,8.32,0.3,0.01,-0.01,0.03,-0.05,-0.04,0.06,-0.34,0.3,2.64,9.5,0,5,510,4414
35,24,10.32,0.41,-0.03,-0.04,0.11,-0.04,0.02,0.08,-0.26,0.28,3.28,11.5,3.5,3,510,4419
36,28,12.21,0.41,-0.04,-0.05,0.2,-0.05,0.07,0.11,-0.16,0.26,3.84,14.5,3.5,5,510,4424
37,32,14.11,0.4,-0.05,-0.05,0.26,-0.05,0.09,0.15,-0.12,0.24,4.5,15.5,4,8,510,4429
38,37,16.01,0.5,-0.04,-0.04,0.32,-0.06,0.1,0.18,-0.08,0.26,5.1,17.5,4,8,510,4434
39,41,18,0.55,0,-0.02,0.39,-0.04,0.1,0.23,-0.02,0.28,5.82,19,2.5,13,510,4439
40,47,20.09,0.61,-0.05,-0.02,0.43,-0.05,0.1,0.25,0.02,0.28,6.52,21,3,20,510,4444
41,58,22.07,0.6,-0.04,-0.01,0.48,-0.05,0.1,0.28,0.1,0.36,7.02,23,3,43,510,4449
42,69,24,0.75,0,0.01,0.53,-0.05,0.1,0.31,0.26,0.48,7.46,25,3,80,510,4454
