ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,,,,,,,,,,,,,,
10,1,0.01,0,0.03,0.01,-0.01,0,0,-0.01,0.02,0,0.04,0,0,0,2012,5505,,,,,,,,,,,,,,,,
11,16,1.18,0.01,0.02,0.01,0.01,-0.01,-0.01,0.01,0.06,-0.02,0.42,0.05,0,23,2012,5553,,,,,,,,,,,,,,,,
12,44,3.62,0.12,0.02,0.01,0.11,0,0,0.03,0.08,0.02,0.88,0.3,0.05,85,2012,5559,,,,,,,,,,,,,,,,
13,75,5.66,0.12,0.01,0,0.24,0,0.03,0.04,0.14,0.06,1.2,0.5,0.1,150,2012,5604,,,,,,,,,,,,,,,,
14,103,8.6,0.17,0.01,0.01,0.38,0.04,0.05,0.06,0.2,0.22,1.56,0.75,0.15,228,2012,5612,,,,,,,,,,,,,,,,
15,99,9.17,0.22,-0.01,0.02,0.39,0.01,0.05,0.07,0.24,0.26,1.62,0.9,0.1,213,2012,5759,,,,,,,,,,,,,,,,
16,126,11.2,0.22,0,0,0.5,0.02,0.06,0.08,0.3,0.4,1.9,1.05,0.15,288,2012,5809,,,,,,,,,,,,,,,,
17,152,13.73,0.32,0,0.03,0.63,0.02,0.07,0.11,0.4,0.56,2.22,1.25,0.15,358,2012,5816,,,,,,,,,,,,,,,,
18,182,16.42,0.3,0,0,0.72,0.03,0.07,0.13,0.56,0.8,2.42,1.55,0.25,435,2012,5823,,,,,,,,,,,,,,,,
19,201,18.37,0.43,0,0.01,0.79,0.03,0.08,0.13,0.68,0.96,2.54,1.75,0.25,488,2012,5829,,,,,,,,,,,,,,,,
20,191,19.64,0.41,0,-0.01,0.83,0.04,0.09,0.14,0.76,1.08,2.68,1.75,0.2,455,2013,29,,,,,,,,,,,,,,,,
21,215,20.8,0.41,0.01,0.02,0.87,0.04,0.1,0.15,0.82,1.2,2.7,2,0.25,538,2013,34,,,,,,,,,,,,,,,,
22,236,22.83,0.51,0.01,0.02,0.98,0.04,0.1,0.15,1,1.44,2.76,2.2,0.25,585,2013,40,,,,,,,,,,,,,,,,
23,252,25.24,0.53,0.01,0.02,1.08,0.05,0.11,0.17,1.26,1.68,2.86,2.45,0.3,630,2013,47,,,,,,,,,,,,,,,,
