ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,γ,θ,γ0,γ1-2,,変位計1
43,145,12.55,0.44,0.12,0,0.08,-0.04,-0.04,0.04,-0.44,-0.88,4.58,12.5,1,298,2710,4329,,0.005679012,-0.00008,0.005599012,0.004993814,145,12.55
44,114,11.69,0.44,0.12,0.01,0.07,-0.04,-0.05,0.04,-0.32,-0.74,4.36,11.5,0,213,2710,4330,,0.005679012,-7.33333E-05,0.005605679,0.004639175,114,11.69
45,88,10.91,0.4,0.11,-0.01,0.08,-0.04,-0.05,0.04,-0.2,-0.6,4.02,11,0.5,148,2710,4332,,0.005185185,-0.00008,0.005105185,0.004334021,88,10.91
46,65,10.06,0.33,0.11,0,0.08,-0.04,-0.06,0.05,-0.08,-0.44,3.56,10,0.5,95,2710,4333,,0.004691358,-7.33333E-05,0.004618025,0.004012371,65,10.06
47,45,9.27,0.34,0.11,-0.01,0.08,-0.05,-0.06,0.04,0,-0.3,3.24,9.5,0.5,45,2710,4335,,0.004444444,-0.00008,0.004364444,0.003682474,45,9.27
48,27,8.52,0.34,0.11,-0.01,0.07,-0.04,-0.03,0.05,0.1,-0.2,2.74,8.5,0,23,2710,4336,,0.004197531,-0.00008,0.004117531,0.003373196,27,8.52
49,20,7.64,0.32,0.12,0.01,0.08,-0.05,-0.03,0.06,0.18,-0.06,2.12,7.5,1,3,2710,4338,,0.003209877,-7.33333E-05,0.003136543,0.003018557,20,7.64
50,8,6.79,0.23,0.1,-0.01,0.08,-0.05,-0.03,0.06,0.24,0.06,1.6,7,0,-13,2710,4339,,0.00345679,-7.33333E-05,0.003383457,0.002705155,8,6.79
51,-3,5.92,0.23,0.1,-0.02,0.08,-0.06,-0.02,0.05,0.32,0.2,1.08,7,1.5,-28,2710,4341,,0.002716049,-0.00008,0.002636049,0.002346392,-3,5.92
52,-12,5,0.24,0.11,-0.02,0.08,-0.06,-0.02,0.05,0.4,0.24,0.56,5,0,-38,2710,4342,,0.002469136,-8.66667E-05,0.002382469,0.001962887,-12,5
53,-2,4.47,0.23,0.12,0,0.07,-0.07,-0.01,0.05,0.42,0.28,0.78,5.5,-1.5,-18,2710,4414,,0.00345679,-0.00008,0.00337679,0.001748454,-2,4.47
54,12,5.43,0.23,0.12,-0.01,0.07,-0.08,0,0.06,0.38,0.22,1.4,6.5,-1,3,2710,4416,,0.003703704,-8.66667E-05,0.003617037,0.00214433,12,5.43
55,25,6.39,0.26,0.11,0,0.07,-0.08,0.02,0.06,0.32,0.14,2.08,7,-1,28,2710,4417,,0.003950617,-7.33333E-05,0.003877284,0.002527835,25,6.39
56,39,7.18,0.27,0.11,0,0.07,-0.07,0.04,0.05,0.26,0.04,2.5,9,-1,68,2710,4419,,0.004938272,-7.33333E-05,0.004864938,0.002849485,39,7.18
57,61,8.01,0.34,0.11,-0.02,0.06,-0.06,0.04,0.05,0.16,-0.06,2.84,9,-1,130,2710,4420,,0.004938272,-8.66667E-05,0.004851605,0.003162887,61,8.01
58,85,8.82,0.34,0.11,0,0.08,-0.06,0.04,0.05,0.04,-0.18,3.14,10.5,-1.5,193,2710,4422,,0.005925926,-7.33333E-05,0.005852593,0.003496907,85,8.82
59,108,9.58,0.34,0.11,0,0.1,-0.05,0.04,0.05,-0.06,-0.32,3.42,11,-1.5,248,2710,4423,,0.00617284,-7.33333E-05,0.006099506,0.003810309,108,9.58
60,128,10.44,0.33,0.12,0.01,0.08,-0.06,0.03,0.03,-0.2,-0.48,3.78,11,-1,305,2710,4425,,0.005925926,-7.33333E-05,0.005852593,0.004169072,128,10.44
61,149,11.3,0.34,0.11,-0.02,0.08,-0.05,0.02,0.05,-0.28,-0.62,4.08,12,-0.5,360,2710,4426,,0.00617284,-8.66667E-05,0.006086173,0.004519588,149,11.3
62,172,12.08,0.34,0.11,-0.01,0.08,-0.06,0,0.05,-0.38,-0.78,4.32,13,-1,420,2710,4428,,0.00691358,-0.00008,0.00683358,0.004841237,172,12.08
63,190,12.93,0.34,0.21,0.01,0.08,-0.06,-0.02,0.04,-0.48,-0.96,4.58,14,-1,473,2710,4429,,0.007407407,-0.000133333,0.007274074,0.005191753,190,12.93
64,216,13.82,0.45,0.23,0,0.08,-0.07,-0.03,0.06,-0.54,-1.02,4.84,14.5,-1,525,2710,4431,,0.007654321,-0.000153333,0.007500988,0.005513402,216,13.82
65,234,14.68,0.44,0.22,0,0.08,-0.06,-0.04,0.05,-0.6,-1.14,5.04,16,-1.5,560,2710,4433,,0.008641975,-0.000146667,0.008495309,0.005872165,234,14.68
66,245,15.45,0.44,0.22,0,0.08,-0.06,-0.05,0.04,-0.62,-1.2,5.22,16.5,-0.5,593,2710,4434,,0.008395062,-0.000146667,0.008248395,0.006189691,245,15.45
67,258,16.31,0.43,0.22,-0.01,0.09,-0.07,-0.04,0.03,-0.6,-1.26,5.38,17.5,-1,620,2710,4436,,0.009135802,-0.000153333,0.008982469,0.006548454,258,16.31
68,270,17.09,0.44,0.22,-0.01,0.09,-0.08,-0.05,0.05,-0.6,-1.3,5.52,18,-0.5,645,2710,4437,,0.009135802,-0.000153333,0.008982469,0.006865979,270,17.09
69,279,17.93,0.44,0.22,0,0.09,-0.08,-0.07,0.04,-0.6,-1.32,5.66,19,-0.5,670,2710,4439,,0.00962963,-0.000146667,0.009482963,0.007212371,279,17.93
70,286,18.81,0.54,0.24,-0.01,0.09,-0.09,-0.07,0.04,-0.58,-1.36,5.8,19,-0.5,693,2710,4440,,0.00962963,-0.000166667,0.009462963,0.007534021,286,18.81
71,297,19.69,0.54,0.34,0,0.09,-0.09,-0.07,0.05,-0.58,-1.4,5.96,20.5,-1.5,723,2710,4442,,0.010864198,-0.000226667,0.010637531,0.007896907,297,19.69
72,307,20.44,0.56,0.32,0,0.09,-0.09,-0.08,0.05,-0.54,-1.42,6.08,22,-0.5,748,2710,4443,,0.011111111,-0.000213333,0.010897778,0.008197938,307,20.44
73,310,21.14,0.53,0.33,0.01,0.1,-0.09,-0.08,0.04,-0.5,-1.44,6.1,21.5,-0.5,730,2710,4445,,0.010864198,-0.000213333,0.010650864,0.008498969,310,21.14
