ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,,,,,,,,,,,,,,,,
38,-90,-2.9,0,0.09,-0.01,-0.47,-0.13,-0.29,0.05,0.06,-0.9,0,-0.15,0,0,3013,5305,,,,,,,,,,,,,,,,,
39,-158,-5,-0.22,0.1,-0.12,-0.78,-0.43,-0.5,0.12,0.26,-0.66,0,-0.35,-0.05,0,3013,5310,,,,,,,,,,,,,,,,,
40,-209,-6.61,-0.44,0.11,-0.07,-0.95,-0.64,-0.64,0.12,0.68,-0.26,0,-0.45,-0.05,0,3013,5313,,,,,,,,,,,,,,,,,
41,-206,-7.09,-0.42,0.13,-0.08,-1,-0.68,-0.67,0.12,0.7,-0.24,0,-0.5,-0.05,0,3013,5526,,,,,,,,,,,,,,,,,
42,-201,-7,-0.41,0.13,-0.09,-0.91,-0.7,-0.66,0.13,0.7,-0.36,0,-0.45,-0.05,0,3013,5536,,,,,,,,,,,,,,,,,
43,-88,-4.8,-0.19,0.11,-0.09,-0.62,-0.47,-0.45,0.12,0.28,-0.82,0,-0.2,0.15,0,3013,5540,,,,,,,,,,,,,,,,,
44,-15,-2.43,0.01,0.12,0.01,-0.37,-0.21,-0.29,0.04,0,-1.04,0,-0.05,0.05,0,3013,5545,,,,,,,,,,,,,,,,,
45,10,-0.9,0.12,0.08,-0.01,-0.26,-0.08,-0.22,0.04,-0.06,-1.04,0,0,0.05,0,3013,5550,,,,,,,,,,,,,,,,,
46,28,-0.34,0.11,0.13,0.02,-0.22,-0.01,-0.2,0.03,-0.06,-1,0,0.1,0.1,0,3013,5555,,,,,,,,,,,,,,,,,
47,64,1.85,0.2,0.13,0.01,-0.05,0.2,-0.12,0.05,-0.06,-0.9,0,0.3,0.15,0,3013,5600,,,,,,,,,,,,,,,,,
48,109,3.64,0.18,0.09,0.1,0.04,0.47,-0.07,0.09,0.08,-0.72,0,0.5,0.15,0,3013,5604,,,,,,,,,,,,,,,,,
