ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,,,,,,,,,,
42,20,-0.61,-0.11,0.09,-0.05,-0.05,-0.03,-0.04,0.04,-1.32,-0.12,0,0.5,2,0,710,2400,,,,,,
43,31,1,0,0.08,-0.02,0,-0.02,-0.03,0,-1.3,-0.14,0,1.5,0.5,0,710,2404,,,,,,
44,32,1.2,0,-0.02,-0.02,0.01,-0.01,-0.03,0.01,-1.28,-0.12,0,1.5,0,0,710,2411,,,,,,
45,41,2.23,0.11,-0.01,-0.04,0.04,0,-0.02,0,-1.3,-0.14,0,2.5,1.5,0,710,2416,,,,,,
46,55,4.14,0.11,-0.01,-0.04,0.09,0.01,0,-0.01,-1.3,-0.16,0,4.5,1.5,0,710,2423,,,,,,
47,70,5.66,0.14,-0.01,-0.03,0.14,0.03,0.02,-0.02,-1.3,-0.14,0,6,1.5,0,710,2427,,,,,,
48,89,7.45,0.2,-0.12,-0.04,0.19,0.05,0.02,-0.04,-1.3,-0.04,0,8,2.5,0,710,2433,,,,,,
49,101,8.37,0.2,-0.12,-0.06,0.23,0.06,0.03,-0.05,-1.32,0,0,9.5,3,0,710,2436,,,,,,
50,99,8.97,0.31,-0.12,-0.04,0.25,0.07,0.03,-0.05,-1.3,0.04,0,9,2.5,0,710,2529,,,,,,
51,76,8.4,0.32,-0.11,-0.04,0.25,0.07,0.05,-0.05,-1.3,0.04,0,7.5,1.5,0,710,2531,,,,,,
52,56,7.55,0.21,-0.12,-0.02,0.26,0.07,0.06,-0.05,-1.32,0.06,0,7.5,1.5,0,710,2533,,,,,,
53,45,6.88,0.22,-0.12,-0.01,0.27,0.08,0.07,-0.05,-1.34,0.06,0,6.5,1.5,0,710,2535,,,,,,
54,29,5.83,0.21,-0.12,-0.01,0.26,0.06,0.06,-0.05,-1.42,0.04,0,4.5,0.5,0,710,2538,,,,,,
55,15,4.23,0.1,-0.11,-0.02,0.21,0.05,0.05,-0.05,-1.56,-0.02,0,4,0,0,710,2543,,,,,,
56,8,3.22,0.13,-0.02,-0.01,0.18,0.04,0.04,-0.05,-1.64,-0.06,0,3.5,0.5,0,710,2545,,,,,,
57,0,1.75,-0.01,-0.02,-0.05,0.11,0.02,0.03,-0.04,-1.8,-0.04,0,1.5,1,0,710,2552,,,,,,
