ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,,,,
82,40,17.8,0.05,0.01,-0.01,0.04,0,0.02,0,0.03,0.01,0.53,18.5,1.5,-3,2412,1622,,,,,,
83,24,21.4,0.04,0.01,-0.01,0.04,0,0.02,0,0.03,0.01,0.44,15.5,1,-35,2412,1638,,,,,,
84,1,20.9,0.04,0.01,-0.01,0.03,0,0.02,0,0.02,0,0.36,13,1,-65,2412,1654,,,,,,
85,3,12.2,0.04,0.01,-0.01,0.03,0,0.02,0,0.02,0,0.36,11.5,0.5,-63,2412,1700,,,,,,
87,7,12.3,0.04,0.01,-0.01,0.03,0,0.02,0,0.02,0,0.36,13.5,0.5,-55,2412,5813,,,,,,
88,8,12.1,0.04,0.01,-0.01,0.03,0,0.02,0,0.02,0.01,0.36,13.5,2.5,-58,2413,618,,,,,,
89,8,12.6,0.04,0,-0.01,0.02,0,0.02,0,0.02,0,0.36,13.5,2.5,-55,2413,1549,,,,,,
90,8,12.6,0.04,0,-0.01,0.02,0,0.02,0,0.02,0,0.36,13.5,1,-55,2413,1608,,,,,,
91,10,12.6,0.04,0,-0.01,0.02,0,0.02,0,0.02,0.01,0.36,13.5,1,-58,2413,1704,,,,,,
92,36,13.9,0.04,0,-0.01,0.02,0,0.02,0,0.02,0.01,0.39,15,1,3,2413,1712,,,,,,
93,51,17,0.05,0,-0.01,0.03,0,0.02,0,0.02,0.01,0.5,17.5,1.5,0,2413,1735,,,,,,
94,50,17.1,0.05,0,-0.01,0.03,0,0.02,0,0.02,0.01,0.5,18,1.5,0,2413,1815,,,,,,
95,55,18.1,0.05,0.01,-0.01,0.03,0,0.02,0,0.02,0.01,0.53,18.5,3,0,2413,2031,,,,,,
96,60,19.1,0.05,0.01,-0.01,0.03,0,0.02,0,0.03,0.01,0.56,20,3,0,2413,2038,,,,,,
97,72,20,0.05,0.01,-0.01,0.04,0,0.02,0,0.03,0.01,0.59,20,1.5,38,2413,2046,,,,,,
98,86,21.1,0.05,0.01,-0.01,0.04,0,0.02,0,0.03,0.01,0.61,21.5,2,68,2413,2055,,,,,,
99,99,22.1,0.06,0.01,-0.01,0.04,0,0.02,0,0.03,0.01,0.63,22.5,3.5,90,2413,2104,,,,,,
100,108,23,0.06,0.01,-0.02,0.04,0,0.02,0,0.03,0.01,0.64,24,3.5,120,2413,2113,,,,,,
101,126,24.1,0.06,0.01,-0.02,0.05,0,0.02,0,0.04,0.02,0.64,24.5,2,178,2413,2124,,,,,,
102,146,25.2,0.06,0.01,-0.02,0.05,0,0.02,0,0.05,0.02,0.64,25.5,4,215,2413,2134,,,,,,
103,138,25.2,0.07,0.01,-0.03,0.05,0,0.02,0,0.05,0.02,0.64,25.5,4,205,2413,2346,,,,,,
104,156,26,0.06,0.01,-0.02,0.05,0,0.02,0,0.05,0.02,0.66,26.5,2.5,248,2413,2356,,,,,,
105,166,27,0.06,0.01,-0.02,0.05,0,0.02,0,0.06,0.03,0.67,27,4,268,2413,2406,,,,,,
106,177,28.1,0.06,0.01,-0.02,0.06,0,0.02,0,0.06,0.03,0.69,29,4.5,293,2413,2419,,,,,,
107,186,29,0.07,0.01,-0.02,0.06,0,0.02,0,0.07,0.04,0.7,29,4,313,2413,2430,,,,,,
108,196,30,0.07,0.01,-0.02,0.06,0,0.02,0,0.07,0.04,0.71,30,3,338,2413,2443,,,,,,
109,183,30.1,0.07,0.01,-0.02,0.07,0,0.02,0,0.08,0.04,0.72,30,4.5,305,2413,2752,,,,,,
110,204,31.1,0.08,0.01,-0.02,0.07,0,0.02,0,0.08,0.05,0.72,31,4.5,355,2413,2806,,,,,,
111,213,32.1,0.07,0.01,-0.02,0.07,0,0.02,0,0.08,0.06,0.74,31,3,380,2413,2820,,,,,,
112,220,33,0.07,0.01,-0.03,0.08,0,0.02,0.01,0.09,0.07,0.75,33.5,4.5,395,2413,2833,,,,,,
113,229,34,0.08,0.02,-0.03,0.08,0,0.02,0.01,0.09,0.07,0.76,34,5,415,2413,2846,,,,,,
114,237,35.1,0.08,0.02,-0.03,0.08,0,0.02,0.01,0.1,0.08,0.77,35,5,435,2413,2902,,,,,,
115,237,35.9,0.08,0.02,-0.03,0.08,0,0.02,0.01,0.1,0.08,0.78,36,3.5,448,2413,2922,,,,,,
116,238,36,0.08,0.02,-0.03,0.08,0,0.02,0,0.11,0.09,0.78,36,4.5,450,2413,2930,,,,,,
117,242,36.4,0.08,0.02,-0.03,0.09,0,0.02,0,0.11,0.09,0.79,37,5.5,458,2413,2948,,,,,,
118,245,37,0.09,0.02,-0.03,0.09,0,0.02,0.01,0.11,0.09,0.79,37,5.5,463,2413,3010,,,,,,
119,236,37.1,0.09,0.02,-0.03,0.09,0,0.02,0.01,0.11,0.09,0.79,37,5.5,445,2413,3140,,,,,,
120,230,37.1,0.1,0.02,-0.03,0.09,0,0.02,0,0.11,0.09,0.79,37,5.5,428,2413,3510,,,,,,
121,225,37.1,0.09,0.03,-0.03,0.09,0.01,0.02,0.01,0.11,0.09,0.79,37,5,435,2413,3528,,,,,,
122,214,36.8,0.1,0.02,-0.03,0.09,0.01,0.03,0.01,0.11,0.09,0.8,36.5,5.5,413,2413,3533,,,,,,
123,214,36.8,0.1,0.02,-0.03,0.09,0,0.03,0.01,0.11,0.09,0.79,36.5,5.5,413,2413,3545,,,,,,
124,200,36.4,0.09,0.03,-0.03,0.09,0.01,0.03,0,0.11,0.09,0.8,36,5,358,2413,3551,,,,,,
125,179,35.8,0.09,0.03,-0.03,0.09,0.01,0.03,0,0.11,0.09,0.8,35.5,5,313,2413,3558,,,,,,
126,148,34.8,0.1,0.03,-0.03,0.09,0.01,0.03,0,0.11,0.08,0.8,35,5,235,2413,3609,,,,,,
127,125,33.8,0.09,0.02,-0.03,0.09,0.01,0.03,0,0.1,0.08,0.8,34,5.5,168,2413,3621,,,,,,
128,101,32.6,0.08,0.02,-0.03,0.09,0.01,0.03,0,0.09,0.07,0.8,32.5,3.5,108,2413,3633,,,,,,
129,74,31.1,0.08,0.02,-0.02,0.08,0.01,0.03,0.01,0.09,0.06,0.8,31,4.5,40,2413,3650,,,,,,
130,50,28,0.08,0.02,-0.02,0.08,0.01,0.03,0,0.07,0.05,0.76,28,4,-5,2413,3724,,,,,,
131,23,22,0.07,0.02,-0.01,0.06,0.01,0.03,0.01,0.05,0.04,0.58,22,3.5,-53,2413,3753,,,,,,
132,7,18.8,0.07,0.02,-0.01,0.05,0.01,0.03,0,0.04,0.03,0.52,20,3.5,-68,2413,3809,,,,,,
133,12,18.9,0.07,0.02,-0.01,0.05,0.01,0.03,0,0.04,0.03,0.52,20,3,-63,2413,3814,,,,,,
134,0,18.4,0.08,0.02,-0.01,0.04,0,0.03,0.01,0.04,0.02,0.51,18.5,3,-88,2413,3918,,,,,,
135,7,6,0.49,0.01,-0.03,0.22,0.08,0.17,-0.01,0.06,0.18,-4.25,7,-1,-5,514,1216,,,,,,
136,8,6.1,0.49,0.01,-0.04,0.22,0.09,0.17,-0.01,0.06,0.19,-4.25,6.5,-1,0,514,2636,,,,,,
137,8,6.2,0.49,0.01,-0.04,0.22,0.08,0.17,-0.01,0.06,0.19,-4.25,6.5,0,-3,514,3706,,,,,,
138,15,7.1,0.49,0.01,-0.03,0.22,0.08,0.17,-0.01,0.06,0.18,-4.23,8.5,0,-3,514,3828,,,,,,
140,40,13.9,0.5,0.01,-0.03,0.24,0.09,0.17,0,0.06,0.18,-3.98,14,0,5,514,3857,,,,,,
141,52,17.2,0.5,0.01,-0.04,0.25,0.09,0.18,0,0.06,0.18,-3.86,17.5,1,8,514,3908,,,,,,
142,64,20.4,0.51,0.01,-0.03,0.27,0.09,0.18,0,0.06,0.18,-3.74,21.5,1.5,25,514,3919,,,,,,
143,80,23.1,0.52,0.01,-0.04,0.27,0.09,0.18,0.01,0.06,0.18,-3.65,22.5,2,55,514,3928,,,,,,
144,92,24.5,0.53,0.01,-0.03,0.28,0.09,0.18,0,0.06,0.18,-3.62,25.5,2,83,514,3933,,,,,,
145,103,25.8,0.52,0.01,-0.03,0.28,0.09,0.18,0,0.07,0.19,-3.6,27,2,105,514,3937,,,,,,
146,98,25.9,0.53,0.01,-0.04,0.28,0.09,0.18,0.01,0.07,0.18,-3.6,25.5,2,95,514,4034,,,,,,
147,123,28.2,0.52,0.02,-0.05,0.29,0.09,0.18,0.01,0.08,0.2,-3.57,29,2,168,514,4043,,,,,,
148,142,30,0.53,0.02,-0.04,0.3,0.09,0.18,0.01,0.09,0.2,-3.55,31,2.5,210,514,4049,,,,,,
150,182,34.2,0.53,0.02,-0.04,0.31,0.09,0.18,0,0.11,0.21,-3.51,35,3,315,514,4104,,,,,,
151,201,35.8,0.54,0.02,-0.04,0.32,0.1,0.19,0,0.12,0.22,-3.5,36.5,3.5,363,514,4110,,,,,,
152,186,36.4,0.55,0.02,-0.08,0.32,0.09,0.19,0,0.12,0.22,-3.49,37,3.5,333,514,4654,,,,,,
153,205,37.2,0.54,0.02,-0.39,0.32,0.1,0.19,0.01,0.13,0.23,-3.49,38,3.5,388,514,4659,,,,,,
154,223,38.2,0.54,0.02,-0.05,0.32,0.1,0.19,0.01,0.13,0.23,-3.48,38.5,4,430,514,4702,,,,,,
155,242,39.9,0.55,0.02,-0.06,0.33,0.1,0.19,0.01,0.14,0.24,-3.47,40,3.5,473,514,4711,,,,,,
156,260,42,0.56,0.02,-0.05,0.34,0.1,0.19,0.01,0.16,0.26,-3.46,42.5,4.5,523,514,4724,,,,,,
157,281,44.5,0.56,0.02,-0.08,0.34,0.1,0.19,0.01,0.18,0.28,-3.45,44.5,4,578,514,4740,,,,,,
158,300,46.7,0.57,0.02,-0.07,0.35,0.1,0.19,0.01,0.2,0.3,-3.44,47,4.5,625,514,4754,,,,,,
159,272,47.1,0.57,0.03,-0.07,0.35,0.1,0.2,0.01,0.2,0.31,-3.43,47.5,4.5,570,514,5131,,,,,,
160,305,48.7,0.58,0.03,-0.07,0.36,0.1,0.2,0.01,0.22,0.32,-3.43,47,4.5,655,514,5144,,,,,,
161,321,50.3,0.58,0.03,-0.07,0.36,0.1,0.2,0.02,0.23,0.34,-3.42,50.5,5,698,514,5155,,,,,,
162,341,52.5,0.58,0.03,-0.07,0.37,0.1,0.2,0.02,0.25,0.36,-3.41,53,5.5,738,514,5209,,,,,,
163,350,53.9,0.59,0.04,-0.08,0.37,0.1,0.2,0.02,0.26,0.38,-3.41,53.5,5.5,758,514,5217,,,,,,
164,347,55,0.59,0.04,-0.08,0.38,0.11,0.2,0.02,0.27,0.39,-3.39,54.5,5.5,735,514,5228,,,,,,
165,296,55.1,0.6,0.05,-0.07,0.38,0.11,0.21,0.02,0.3,0.38,-3.39,55,5.5,598,514,5929,,,,,,
166,287,55.1,0.6,0.05,-0.08,0.38,0.11,0.21,0.02,0.3,0.38,-3.39,55,5.5,583,515,1825,,,,,,
167,287,55.1,0.59,0.05,-0.07,0.38,0.11,0.21,0.02,0.3,0.38,-3.39,55,5.5,580,515,1911,,,,,,
168,317,56.8,0.59,0.05,-0.07,0.38,0.11,0.21,0.02,0.3,0.38,-3.39,56,5.5,673,515,1920,,,,,,
169,333,57.2,0.59,0.05,-0.07,0.39,0.11,0.21,0.02,0.31,0.39,-3.38,57.5,6,708,515,1925,,,,,,
170,346,57.9,0.6,0.05,-0.07,0.39,0.11,0.21,0.02,0.31,0.39,-3.37,58.5,6.5,740,515,1931,,,,,,
171,360,59.2,0.6,0.06,-0.07,0.39,0.11,0.21,0.02,0.32,0.4,-3.36,59.5,6.5,768,515,1937,,,,,,
172,325,60.4,0.61,0.05,-0.07,0.39,0.11,0.21,0.02,0.32,0.41,-3.28,60.5,6.5,628,515,1945,,,,,,
173,279,60.7,0.61,0.05,-0.08,0.4,0.11,0.21,0.03,0.32,0.4,-3.22,60,7,508,515,2232,,,,,,
174,291,62.4,0.61,0.05,-0.07,0.4,0.11,0.21,0.03,0.32,0.4,-3.16,62,7,515,515,2245,,,,,,
175,286,64.1,0.62,0.05,-0.07,0.41,0.11,0.21,0.03,0.31,0.4,-3.09,64,6,498,515,2301,,,,,,
176,277,65.1,0.62,0.06,-0.07,0.41,0.11,0.21,0.03,0.31,0.4,-3.03,65,7,458,515,2310,,,,,,
