ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,γ1-2,3BS1C1,,変位計1
96,199,18.97,0.54,0,0.01,0.14,0.02,-0.06,-0.04,-0.6,-0.7,5.48,19.5,3.5,470,2610,4235,,0.007901235,0.0076,206,,18.97
97,209,19.84,0.54,-0.01,0.01,0.15,0.01,-0.07,-0.04,-0.64,-0.72,5.66,20,4,493,2610,4236,,0.007901235,0.007958763,216,,19.84
98,195,20.51,0.64,0.01,-0.01,0.15,0.01,-0.06,-0.04,-0.66,-0.68,5.76,20,3.5,425,2610,4403,,0.008148148,0.008193814,202,,20.51
99,160,19.64,0.64,-0.01,0.01,0.14,0.01,-0.07,-0.03,-0.52,-0.48,5.5,18.5,3,330,2610,4405,,0.007654321,0.007835052,167,,19.64
100,135,18.84,0.63,0,0.02,0.12,0.01,-0.07,-0.04,-0.42,-0.32,5.26,18.5,3.5,263,2610,4406,,0.007407407,0.007509278,142,,18.84
101,111,17.98,0.63,0,0.01,0.12,0,-0.08,-0.03,-0.3,-0.16,5,18,3.5,203,2610,4408,,0.007160494,0.007154639,118,,17.98
102,87,17.05,0.64,0,0.02,0.11,0.01,-0.08,-0.03,-0.12,0.04,4.58,16,4,148,2610,4409,,0.005925926,0.00676701,94,,17.05
103,70,16.07,0.64,0,0.01,0.1,0,-0.07,-0.03,0.04,0.2,4.04,16,3.5,103,2610,4411,,0.00617284,0.006362887,77,,16.07
104,53,15.11,0.63,0,0.01,0.09,-0.01,-0.07,-0.03,0.22,0.36,3.48,14.5,3.5,70,2610,4412,,0.005432099,0.005971134,60,,15.11
105,39,14.25,0.64,0,0.01,0.09,-0.01,-0.07,-0.04,0.36,0.52,2.86,13,3,53,2610,4414,,0.004938272,0.005612371,46,,14.25
106,31,13.21,0.64,0,0.01,0.07,-0.02,-0.07,-0.05,0.54,0.66,2.08,12.5,2.5,33,2610,4415,,0.004938272,0.005183505,38,,13.21
107,25,12.4,0.61,0,0.01,0.06,-0.02,-0.08,-0.03,0.68,0.76,1.44,12,2.5,23,2610,4417,,0.004691358,0.004861856,32,,12.4
108,17,11.36,0.54,0,0.01,0.06,-0.03,-0.08,-0.04,0.78,0.86,0.86,10.5,2,13,2610,4418,,0.004197531,0.004461856,24,,11.36
109,12,10.39,0.53,0,0.01,0.05,-0.04,-0.07,-0.03,0.9,0.94,0.26,10,1.5,5,2610,4420,,0.004197531,0.004065979,19,,10.39
110,5,9.42,0.53,0,0,0.05,-0.04,-0.09,-0.04,0.98,1,-0.22,8.5,1,-3,2610,4421,,0.003703704,0.003665979,12,,9.42
111,8,8.6,0.52,-0.01,-0.19,0.04,-0.04,-0.07,-0.03,1,1.04,-0.2,9.5,3,8,2610,4516,,0.003209877,0.003331959,15,,8.6
112,23,9.52,0.53,0,0.02,0.05,-0.05,-0.07,-0.03,0.98,1,0.46,10,3,18,2610,4518,,0.00345679,0.003707216,30,,9.52
113,30,10.39,0.53,0,0.02,0.07,-0.05,-0.06,-0.04,0.92,0.96,1.04,11.5,3.5,33,2610,4519,,0.003950617,0.004065979,37,,10.39
114,38,11.35,0.54,-0.01,0.01,0.08,-0.05,-0.05,-0.03,0.82,0.9,1.64,12,3.5,43,2610,4521,,0.004197531,0.004457732,45,,11.35
115,50,12.33,0.54,0,0.02,0.09,-0.05,-0.05,-0.03,0.72,0.74,2.16,13.5,2.5,75,2610,4523,,0.005432099,0.004861856,57,,12.33
116,66,13.36,0.53,-0.01,0.01,0.11,-0.05,-0.06,-0.04,0.62,0.62,2.68,14,3.5,118,2610,4524,,0.005185185,0.005290722,73,,13.36
117,81,14.25,0.64,-0.01,0.01,0.12,-0.05,-0.05,-0.04,0.46,0.44,3.14,15,2.5,163,2610,4526,,0.00617284,0.005612371,88,,14.25
118,98,15.21,0.63,0,0.01,0.13,-0.05,-0.06,-0.04,0.32,0.28,3.54,16.5,3,210,2610,4527,,0.006666667,0.006012371,105,,15.21
119,118,16.17,0.63,-0.01,0.01,0.13,-0.04,-0.05,-0.04,0.16,0.1,3.96,16.5,3,258,2610,4529,,0.006666667,0.006408247,125,,16.17
120,137,17.14,0.64,0,0.02,0.14,-0.04,-0.05,-0.03,0,-0.06,4.36,17.5,3.5,310,2610,4530,,0.00691358,0.006804124,144,,17.14
121,155,18,0.64,0.02,0.02,0.14,-0.04,-0.05,-0.04,-0.14,-0.2,4.64,18.5,4,360,2610,4532,,0.007160494,0.007158763,162,,18
122,172,18.87,0.64,0,0.01,0.15,-0.04,-0.05,-0.04,-0.28,-0.32,4.96,19,4,408,2610,4533,,0.007407407,0.007517526,179,,18.87
123,193,19.83,0.64,0.01,0.01,0.15,-0.04,-0.06,-0.04,-0.4,-0.46,5.22,20,4,455,2610,4535,,0.007901235,0.007913402,200,,19.83
124,208,20.69,0.64,0.01,0.01,0.15,-0.05,-0.07,-0.04,-0.5,-0.58,5.46,21.5,4,493,2610,4537,,0.008641975,0.008268041,215,,20.69
125,225,21.58,0.71,0,0.01,0.17,-0.04,-0.08,-0.04,-0.56,-0.64,5.7,22,4,525,2610,4538,,0.008888889,0.008606186,232,,21.58
126,232,22.54,0.74,0,0.01,0.18,-0.04,-0.09,-0.03,-0.6,-0.66,5.88,23,4,553,2610,4540,,0.009382716,0.008989691,239,,22.54
127,243,23.4,0.74,0,0.01,0.17,-0.04,-0.1,-0.03,-0.64,-0.66,6.06,24,5,580,2610,4541,,0.009382716,0.00934433,250,,23.4
128,252,24.27,0.74,-0.01,0.02,0.18,-0.04,-0.1,-0.03,-0.66,-0.66,6.2,24.5,5.5,600,2610,4543,,0.009382716,0.009703093,259,,24.27
129,261,25.15,0.74,0.01,0,0.18,-0.04,-0.11,-0.03,-0.66,-0.66,6.3,25.5,5,623,2610,4544,,0.010123457,0.010065979,268,,25.15
130,266,26.01,0.74,-0.01,0.01,0.2,-0.05,-0.12,-0.04,-0.66,-0.68,6.44,25.5,5,640,2610,4546,,0.010123457,0.010420619,273,,26.01
131,276,26.88,0.84,0,0,0.2,-0.06,-0.13,-0.05,-0.68,-0.68,6.58,27.5,5.5,663,2610,4548,,0.010864198,0.010738144,283,,26.88
132,284,27.85,0.85,-0.01,0.01,0.2,-0.06,-0.13,-0.04,-0.66,-0.66,6.7,28,5.5,683,2610,4549,,0.011111111,0.011134021,291,,27.85
133,291,28.71,0.84,-0.01,0.01,0.21,-0.08,-0.13,-0.03,-0.66,-0.66,6.82,29,4.5,700,2610,4551,,0.012098765,0.011492784,298,,28.71
134,298,29.59,0.84,-0.01,0.01,0.22,-0.08,-0.15,-0.04,-0.68,-0.66,6.92,30,4,718,2610,4552,,0.012839506,0.01185567,305,,29.59
135,305,30.47,0.95,-0.01,0.01,0.21,-0.1,-0.16,-0.04,-0.68,-0.62,7.02,31,4,738,2610,4554,,0.013333333,0.012173196,312,,30.47
136,341,31.42,0.93,-0.01,-0.02,0.21,-0.12,-0.16,-0.05,-0.68,-0.58,7.1,31.5,3.5,735,2610,4556,,0.01382716,0.012573196,348,,31.42
137,275,31.33,1.06,-0.09,0,0.2,-0.11,-0.15,-0.03,-0.5,-0.38,7.06,30.5,3.5,610,2610,4749,,0.013333333,0.012482474,282,,31.33
138,242,30.46,1.06,-0.08,0,0.19,-0.13,-0.16,-0.03,-0.42,-0.26,6.92,29.5,3,540,2610,4750,,0.01308642,0.012123711,249,,30.46
139,216,29.59,1.05,-0.09,0,0.17,-0.13,-0.16,-0.04,-0.34,-0.1,6.78,29,2.5,475,2610,4752,,0.01308642,0.011769072,223,,29.59
140,192,28.71,1.06,-0.06,0.01,0.17,-0.11,-0.16,-0.04,-0.16,0.06,6.62,27.5,3,413,2610,4753,,0.012098765,0.011402062,199,,28.71
141,169,27.75,1.06,0,0.01,0.16,-0.12,-0.16,-0.03,-0.08,0.2,6.44,27.5,4,350,2610,4755,,0.011604938,0.011006186,176,,27.75
142,146,26.98,1.06,0,0,0.15,-0.11,-0.16,-0.04,0.02,0.38,6.22,26.5,4,293,2610,4756,,0.011111111,0.01068866,153,,26.98
143,125,26.1,1.06,0,0.01,0.15,-0.11,-0.17,-0.03,0.18,0.54,5.96,25.5,2.5,238,2610,4758,,0.011358025,0.010325773,132,,26.1
144,104,25.04,1.05,0,0.01,0.13,-0.11,-0.15,-0.03,0.34,0.72,5.64,24.5,2.5,188,2610,4759,,0.010864198,0.009892784,111,,25.04
145,87,24.17,1.06,0,0,0.13,-0.11,-0.14,-0.04,0.5,0.9,5.28,23.5,2.5,145,2610,4801,,0.01037037,0.009529897,94,,24.17
146,74,23.22,1.03,-0.01,0,0.12,-0.11,-0.13,-0.04,0.64,1.04,4.88,22.5,2.5,115,2610,4802,,0.009876543,0.009150515,81,,23.22
147,64,22.41,0.96,0,0.01,0.11,-0.1,-0.11,-0.03,0.78,1.16,4.4,22.5,3.5,83,2610,4804,,0.009382716,0.008845361,71,,22.41
148,51,21.47,0.95,0,0.02,0.11,-0.09,-0.11,-0.03,0.88,1.3,3.84,21.5,4,65,2610,4805,,0.008641975,0.008461856,58,,21.47
149,44,20.59,0.96,0,0.01,0.1,-0.09,-0.11,-0.03,1.02,1.42,3.24,20.5,4,53,2610,4807,,0.008148148,0.008094845,51,,20.59
150,34,19.61,0.95,0,0.01,0.09,-0.09,-0.1,-0.03,1.18,1.54,2.6,19.5,5,40,2610,4808,,0.007160494,0.007694845,41,,19.61
151,35,18.67,0.95,0,0.01,0.08,-0.09,-0.1,-0.03,1.3,1.64,2.02,18.5,4,30,2610,4810,,0.007160494,0.007307216,42,,18.67
152,28,17.7,0.89,0,0.02,0.07,-0.08,-0.1,-0.03,1.46,1.72,1.38,18,4.5,20,2610,4812,,0.006666667,0.006931959,35,,17.7
