ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,,,,,,,,,,
47,10,16.3,0.53,0.12,0.01,0.43,0.21,0.02,0.03,0.3,2.16,3.12,1.7,0.15,-20,2717,451,,,,
48,5,14.85,0.53,0.12,0,0.36,0.19,0.03,0.02,0.24,1.94,2.94,1.55,0.15,-13,2717,455,,,,
49,2,14.27,0.54,0.11,0,0.36,0.2,0.03,0.01,0.26,1.9,2.8,1.5,0.15,-13,2717,459,,,,
50,6,14.26,0.53,0.11,0,0.34,0.19,0.03,0.01,0.24,1.88,2.8,1.5,0.15,-10,2717,548,,,,
51,50,17.77,0.53,0.1,0.02,0.44,0.2,0.03,0.01,0.32,2.06,3.24,1.85,0.2,60,2717,600,,,,
52,101,22.92,0.63,0.1,0.01,0.68,0.19,0.03,0.01,0.68,2.06,4.08,2.2,0.2,183,2717,616,,,,
53,151,27.01,0.64,0.1,0.01,0.85,0.24,0.03,0.01,1,2.42,4.1,2.75,0.25,313,2717,628,,,,
54,201,30.62,0.71,0.1,0.01,1.01,0.31,0.03,0.01,1.24,2.78,4.1,3,0.3,445,2717,640,,,,
55,250,34.07,0.73,0.11,0.01,1.18,0.36,0.03,0.01,1.56,3.12,4.1,3.45,0.35,583,2717,652,,,,
56,272,35.73,0.75,0.1,0.01,1.26,0.38,0.03,-0.01,1.68,3.24,4.08,3.6,0.35,645,2717,658,,,,
57,284,36.8,0.74,0.11,0.01,1.3,0.39,0.03,0,1.74,3.34,4.1,3.7,0.4,683,2717,702,,,,
58,300,38.24,0.73,0.11,0,1.36,0.39,0.01,0.01,1.9,3.48,4.06,3.85,0.4,725,2717,707,,,,
59,319,40.56,0.75,0.21,0,1.46,0.41,0.02,-0.02,2.1,3.72,4.12,4.05,0.4,770,2717,715,,,,
60,331,42.48,0.84,0.22,-0.01,1.54,0.42,0.02,-0.03,2.3,3.94,4.14,4.25,0.5,800,2717,722,,,,
61,340,44.41,0.85,0.32,0.02,1.61,0.43,0.01,-0.06,2.48,4.14,4.18,4.4,0.5,823,2717,730,,,,
