ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,113,25.12,0.63,-0.03,-0.02,0.36,-0.07,-0.17,0.15,1.16,2.38,4.94,2.35,0.3,213,2513,5436
49,99,24.27,0.61,0,0.01,0.36,-0.04,-0.16,0.15,1.12,2.28,4.88,2.3,0.3,173,2513,5438
50,70,22.38,0.62,0,0,0.33,-0.04,-0.16,0.17,0.94,2.02,4.62,2.1,0.4,100,2513,5444
51,49,20.58,0.61,0,0.01,0.31,-0.02,-0.16,0.16,0.82,1.8,4.72,1.95,0.25,63,2513,5449
52,33,18.77,0.54,0,0.01,0.28,-0.03,-0.16,0.17,0.68,1.58,4.72,1.75,0.2,30,2513,5454
53,20,16.97,0.52,-0.01,-0.01,0.25,-0.01,-0.16,0.18,0.52,1.36,4.3,1.65,0.2,3,2513,5459
54,15,15.16,0.51,0.02,-0.01,0.2,-0.01,-0.16,0.18,0.4,1.3,3.82,1.55,0.3,-3,2513,5504
55,12,13.35,0.41,-0.03,-0.02,0.15,-0.01,-0.17,0.17,0.32,1.26,3.16,1.25,0.3,-3,2513,5509
56,6,11.46,0.41,0.01,-0.01,0.12,-0.01,-0.16,0.18,0.26,1.22,2.72,1.15,0.25,-8,2513,5514
57,0,8.98,0.37,0.01,0.01,0.07,-0.01,-0.14,0.16,0.22,1.16,2.26,0.9,0.05,-13,2513,5522
58,6,8.34,0.31,0,-0.02,0.05,0,-0.13,0.17,0.18,1.14,1.94,0.9,0.2,-10,2513,5601
59,23,9.75,0.32,0.02,-0.01,0.06,-0.01,-0.13,0.14,0.2,1.12,2.48,1.05,0.25,-3,2513,5606
60,29,11.45,0.41,0.01,0,0.07,-0.01,-0.14,0.15,0.18,1.1,2.84,1.35,0.35,-5,2513,5611
61,35,13.26,0.43,0.02,0,0.05,-0.02,-0.13,0.14,0.22,1.1,3.64,1.4,0.25,-5,2513,5616
62,50,14.88,0.42,0.01,0,0.07,0,-0.13,0.15,0.26,1.1,4,1.45,0.25,30,2513,5621
63,64,16.67,0.54,0.02,0.01,0.11,0,-0.14,0.15,0.42,1.2,4.3,1.6,0.2,63,2513,5626
64,78,18.29,0.54,-0.01,0.01,0.12,-0.01,-0.14,0.15,0.56,1.34,4.56,1.8,0.2,98,2513,5630
65,95,19.98,0.53,-0.03,0,0.18,0,-0.15,0.15,0.68,1.58,4.58,1.95,0.25,145,2513,5635
66,112,21.57,0.52,0,0,0.23,0,-0.16,0.15,0.8,1.82,4.64,2.05,0.3,200,2513,5640
67,137,23.51,0.54,0.01,0.01,0.28,-0.02,-0.16,0.15,0.94,2.08,4.84,2.25,0.3,268,2513,5646
68,159,25.13,0.57,0.01,0,0.31,-0.02,-0.16,0.15,1.04,2.26,4.82,2.45,0.45,323,2513,5651
69,181,26.63,0.62,0.01,0,0.36,-0.03,-0.17,0.16,1.16,2.44,4.84,2.65,0.35,385,2513,5656
70,201,28.17,0.62,0.02,0.01,0.4,-0.04,-0.17,0.16,1.26,2.62,4.86,2.75,0.35,443,2513,5701
71,219,29.6,0.61,-0.01,0,0.41,-0.05,-0.17,0.15,1.32,2.74,5,2.9,0.4,488,2513,5706
72,234,31.02,0.64,0,0.01,0.46,-0.05,-0.16,0.14,1.42,2.86,5.22,3.05,0.4,525,2513,5711
73,248,32.54,0.63,0,0,0.49,-0.05,-0.17,0.15,1.5,3.02,5.14,3.15,0.45,560,2513,5716
74,262,33.98,0.72,-0.03,-0.01,0.51,-0.06,-0.17,0.15,1.6,3.18,5.06,3.35,0.45,590,2513,5721
75,270,35.41,0.72,-0.01,-0.02,0.53,-0.05,-0.17,0.16,1.68,3.34,5.1,3.45,0.65,620,2513,5726
76,282,36.84,0.72,-0.03,-0.02,0.56,-0.05,-0.18,0.18,1.76,3.52,5.16,3.6,0.55,653,2513,5731
77,292,37.79,0.71,-0.07,-0.03,0.58,-0.05,-0.18,0.18,1.82,3.66,5.18,3.7,0.7,668,2513,5734
78,303,39.32,0.76,-0.08,-0.05,0.6,-0.04,-0.18,0.2,1.94,3.86,5.12,4,0.75,698,2513,5740
79,277,39.89,0.85,-0.1,0.01,0.6,-0.05,-0.21,0.21,2.08,4.1,5.66,3.8,0.65,618,2513,5958
80,228,38.55,0.84,-0.1,0,0.59,-0.03,-0.2,0.24,2.1,4.08,5.44,3.65,0.6,505,2514,2
81,192,36.93,0.84,-0.1,-0.01,0.57,-0.02,-0.2,0.24,2.08,4.02,5.32,3.5,0.55,415,2514,7
82,159,35.12,0.84,-0.09,0.01,0.56,-0.01,-0.2,0.24,2.06,3.92,5.3,3.35,0.5,325,2514,12
83,123,33.4,0.83,-0.1,-0.01,0.56,0,-0.2,0.25,1.94,3.72,5.42,3.2,0.5,248,2514,17
84,104,31.88,0.85,-0.11,0.01,0.56,0.01,-0.2,0.25,1.84,3.52,5.3,3.1,0.5,195,2514,21
85,81,30.26,0.84,-0.12,-0.01,0.56,0.01,-0.2,0.25,1.7,3.34,5.2,2.85,0.5,145,2514,26
86,65,28.64,0.83,-0.11,-0.01,0.56,0.02,-0.21,0.24,1.52,3.12,4.96,2.85,0.5,105,2514,30
87,53,26.84,0.84,-0.11,-0.01,0.53,0.03,-0.21,0.24,1.36,2.84,4.66,2.6,0.45,65,2514,35
88,39,25.12,0.77,-0.12,-0.01,0.48,0.02,-0.2,0.25,1.24,2.6,4.64,2.55,0.45,40,2514,40
89,31,23.3,0.72,-0.12,-0.01,0.43,0.03,-0.2,0.26,1.1,2.36,4.68,2.4,0.4,15,2514,45
90,21,21.52,0.73,-0.11,-0.01,0.39,0.03,-0.2,0.27,0.92,2.18,4.46,2.05,0.35,0,2514,50
91,16,19.62,0.63,-0.12,-0.01,0.33,0.03,-0.2,0.27,0.84,2.12,4.12,1.95,0.3,-3,2514,55
92,11,17.82,0.64,-0.12,0.01,0.26,0.03,-0.2,0.27,0.8,2.06,3.84,1.75,0.2,-3,2514,100
93,7,16.01,0.63,-0.12,-0.01,0.2,0.03,-0.21,0.27,0.72,2,3.22,1.6,0.25,-3,2514,104
94,4,14.48,0.53,-0.12,0,0.15,0.03,-0.21,0.27,0.7,1.98,2.78,1.45,0.3,-8,2514,110
95,2,12.59,0.52,-0.12,-0.02,0.1,0.03,-0.22,0.25,0.62,1.9,2.16,1.25,0.25,-13,2514,115
96,0,12.02,0.51,-0.13,-0.01,0.09,0.04,-0.2,0.25,0.6,1.9,2.02,1.15,0.25,-18,2514,117
97,0,10.51,0.51,-0.11,0,0.07,0.03,-0.2,0.22,0.52,1.78,1.84,1.1,0.25,-13,2514,220
98,22,11.63,0.53,-0.11,-0.01,0.06,0.03,-0.18,0.22,0.58,1.78,2.2,1.25,0.3,-3,2514,225
99,28,13.35,0.54,-0.12,0.01,0.07,0.03,-0.18,0.22,0.58,1.78,2.84,1.35,0.2,-3,2514,230
100,35,15.05,0.51,-0.12,-0.02,0.06,0.03,-0.19,0.23,0.54,1.74,3.14,1.7,0.4,-8,2514,234
101,42,17.04,0.57,-0.12,-0.02,0.08,0.03,-0.18,0.23,0.58,1.74,3.76,1.75,0.35,5,2514,240
102,54,18.66,0.62,-0.13,-0.01,0.11,0.04,-0.17,0.23,0.68,1.74,4.2,1.85,0.35,23,2514,245
103,64,20.47,0.62,-0.13,-0.01,0.14,0.03,-0.18,0.23,0.84,1.78,4.26,2,0.4,53,2514,250
104,76,22.18,0.62,-0.12,-0.02,0.18,0.01,-0.18,0.22,0.98,2.02,4.42,2.2,0.4,88,2514,255
105,93,23.89,0.72,-0.12,-0.03,0.23,0.04,-0.18,0.22,1.1,2.26,4.58,2.5,0.5,128,2514,259
106,111,25.42,0.72,-0.11,-0.03,0.26,0.03,-0.18,0.22,1.18,2.48,4.66,2.5,0.5,170,2514,304
107,128,27.12,0.72,-0.11,-0.03,0.3,0.04,-0.18,0.23,1.3,2.7,4.7,2.7,0.55,220,2514,309
108,148,28.69,0.71,-0.13,-0.02,0.33,0.02,-0.19,0.21,1.42,2.92,4.6,2.85,0.6,270,2514,314
