ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,,,,,,,,,,,,
41,-70,-5.2,-0.11,0.21,0.01,-0.12,-0.44,0.05,0.01,-0.28,-0.16,0,-0.4,-0.1,0,1815,1401,,,,,,,,
42,-108,-7.57,-0.21,0.42,-0.01,-0.22,-0.61,-0.05,-0.01,-0.36,-0.24,0,-0.6,-0.1,0,1815,1405,,,,,,,,
43,-123,-8.61,-0.32,0.52,-0.02,-0.23,-0.65,-0.06,-0.01,-0.38,-0.26,0,-0.65,-0.05,0,1815,1410,,,,,,,,
44,-118,-8.62,-0.32,0.51,-0.01,-0.24,-0.65,-0.05,-0.01,-0.36,-0.26,0,-0.65,-0.1,0,1815,1425,,,,,,,,
45,-54,-6.23,-0.22,0.42,-0.01,-0.15,-0.49,0.01,-0.01,-0.42,-0.26,0,-0.45,-0.1,0,1815,1430,,,,,,,,
46,-20,-3.87,-0.12,0.22,-0.02,-0.04,-0.19,0.15,-0.02,-0.32,-0.22,0,-0.25,-0.05,0,1815,1435,,,,,,,,
47,-14,-3.41,-0.11,0.12,0,-0.02,-0.14,0.18,-0.01,-0.26,-0.18,0,-0.2,-0.05,0,1815,1440,,,,,,,,
48,-6,-2.73,-0.12,0.11,-0.03,0.01,-0.13,0.22,-0.01,-0.22,-0.14,0,-0.05,0.05,0,1815,1445,,,,,,,,
49,18,-0.37,-0.02,0.02,-0.03,0.06,-0.08,0.23,-0.02,-0.06,-0.02,0,0.15,0.05,0,1815,1450,,,,,,,,
50,37,2.08,0.09,-0.08,-0.03,0.1,-0.05,0.23,-0.01,0.1,0.08,0,0.4,0.05,0,1815,1454,,,,,,,,
51,62,4.64,0.09,-0.18,-0.04,0.14,-0.02,0.24,-0.02,0.24,0.2,0,0.6,0.05,0,1815,1459,,,,,,,,
52,88,6.82,0.18,-0.39,0,0.21,0,0.24,-0.02,0.32,0.28,0,0.8,0.05,0,1815,1504,,,,,,,,
53,120,9.24,0.21,-0.49,0,0.25,0.01,0.26,0.01,0.4,0.46,0,1,0.1,0,1815,1509,,,,,,,,
54,148,11.46,0.21,-0.63,-0.01,0.3,0.01,0.27,0.01,0.54,0.54,0,1.2,0.1,0,1815,1514,,,,,,,,
55,170,13.63,0.3,-0.72,-0.01,0.34,0.03,0.28,0.02,0.78,0.7,0,1.45,0.15,0,1815,1518,,,,,,,,
56,189,15.78,0.31,-0.2,0,0.4,0.03,0.29,0.02,1.04,0.86,0,1.65,0.2,0,1815,1523,,,,,,,,
57,201,17.14,0.31,-0.82,-0.02,0.43,0.04,0.29,0.04,1.22,0.94,0,1.8,0.2,0,1815,1526,,,,,,,,
58,193,18,0.4,-0.79,-0.02,0.44,0.05,0.28,0.05,1.36,1.06,0,1.8,0.25,0,1815,1542,,,,,,,,
59,136,15.81,0.41,-0.83,-0.03,0.24,0.06,0.24,0.05,1.32,0.98,0,1.6,0.2,0,1815,1547,,,,,,,,
60,93,13.55,0.41,-0.68,-0.01,0.17,0.06,0.24,0.06,1.26,0.88,0,1.4,0.15,0,1815,1552,,,,,,,,
61,53,11.08,0.41,-0.59,-0.02,0.12,0.06,0.22,0.05,1.22,0.78,0,1.1,0.1,0,1815,1557,,,,,,,,
62,23,8.72,0.42,-0.57,0,0.08,0.04,0.23,0.06,1.18,0.66,0,0.9,0.05,0,1815,1601,,,,,,,,
63,-1,6.17,0.31,-0.38,0,0.05,0.03,0.21,0.06,1.06,0.54,0,0.65,0.05,0,1815,1606,,,,,,,,
64,-19,3.89,0.3,-0.28,-0.01,0.02,0.01,0.2,0.05,0.92,0.48,0,0.45,0,0,1815,1611,,,,,,,,
65,-25,2.67,0.2,-0.28,-0.02,0,-0.01,0.19,0.04,0.8,0.42,0,0.4,0,0,1815,1616,,,,,,,,
66,-28,1.8,0.2,-0.2,-0.02,-0.02,-0.02,0.16,0.03,0.64,0.38,0,0.35,0.05,0,1815,1620,,,,,,,,
67,-39,0.39,0.19,-0.17,-0.01,-0.03,-0.05,0.18,0.03,0.44,0.36,0,0.15,0,0,1815,1625,,,,,,,,
68,-44,-1.89,0.09,-0.08,-0.02,-0.04,-0.13,0.18,0.03,0.02,0.24,0,-0.05,-0.05,0,1815,1630,,,,,,,,
69,-65,-4.43,-0.01,0.12,-0.02,-0.09,-0.34,0.11,0,-0.2,-0.1,0,-0.3,-0.05,0,1815,1635,,,,,,,,
70,-93,-6.9,-0.15,0.32,0.01,-0.16,-0.53,0.05,0.01,-0.32,-0.26,0,-0.55,-0.15,0,1815,1640,,,,,,,,
71,-133,-9.37,-0.33,0.53,-0.02,-0.24,-0.64,-0.02,0,-0.34,-0.3,0,-0.75,-0.1,0,1815,1645,,,,,,,,
72,-164,-11.82,-0.42,0.73,0,-0.31,-0.71,-0.06,0,-0.22,-0.28,0,-1,-0.15,0,1815,1650,,,,,,,,
73,-193,-14.18,-0.53,0.83,-0.02,-0.38,-0.74,-0.07,0.03,0.16,0,0,-1.2,-0.2,0,1815,1655,,,,,,,,
74,-202,-15.12,-0.63,0.82,-0.01,-0.4,-0.74,-0.09,0.02,0.34,0.22,0,-1.3,-0.2,0,1815,1657,,,,,,,,
75,-197,-15.7,-0.65,0.82,-0.04,-0.44,-0.76,-0.11,0.03,0.4,0.26,0,-1.3,-0.15,0,1815,1715,,,,,,,,
76,-144,-13.81,-0.54,0.82,-0.04,-0.39,-0.76,-0.08,0.04,-0.08,-0.04,0,-1.05,-0.05,0,1815,1719,,,,,,,,
77,-98,-11.64,-0.54,0.82,-0.03,-0.35,-0.72,-0.04,0.03,-0.4,-0.24,0,-0.85,0,0,1815,1723,,,,,,,,
78,-57,-9.27,-0.44,0.62,-0.03,-0.26,-0.61,0.06,-0.01,-0.5,-0.34,0,-0.65,-0.1,0,1815,1728,,,,,,,,
79,-29,-6.99,-0.32,0.42,-0.04,-0.16,-0.38,0.2,-0.02,-0.46,-0.32,0,-0.4,0,0,1815,1732,,,,,,,,
80,-19,-5.37,-0.22,0.12,-0.04,-0.07,-0.3,0.3,-0.01,-0.36,-0.34,0,-0.3,-0.05,0,1815,1736,,,,,,,,
81,-14,-4.8,-0.22,0.02,-0.02,-0.04,-0.27,0.31,-0.02,-0.32,-0.32,0,-0.4,-0.05,0,1815,1741,,,,,,,,
82,-7,-4.07,-0.15,0.02,-0.01,-0.01,-0.25,0.32,-0.02,-0.28,-0.36,0,-0.25,-0.05,0,1815,1746,,,,,,,,
83,9,-1.78,-0.12,-0.08,-0.01,0.02,-0.21,0.31,-0.02,-0.14,-0.2,0,0.1,0.05,0,1815,1750,,,,,,,,
84,22,0.66,-0.01,-0.18,-0.01,0.06,-0.17,0.29,-0.02,0.14,-0.04,0,0.2,0.05,0,1815,1755,,,,,,,,
85,39,3.22,0.11,-0.17,0,0.1,-0.14,0.3,-0.02,0.38,0.1,0,0.45,0,0,1815,1800,,,,,,,,
86,58,5.64,0.1,-0.27,0,0.15,-0.13,0.3,-0.02,0.6,0.24,0,0.7,0.1,0,1815,1805,,,,,,,,
87,80,8.18,0.21,-0.41,-0.01,0.2,-0.11,0.29,-0.02,0.78,0.36,0,0.95,0.1,0,1815,1810,,,,,,,,
88,103,10.6,0.21,-0.48,0,0.25,-0.1,0.33,0,0.96,0.52,0,1.15,0.15,0,1815,1815,,,,,,,,
89,132,12.97,0.3,-0.58,-0.02,0.31,-0.09,0.33,0,1.08,0.64,0,1.4,0.2,0,1815,1820,,,,,,,,
90,161,15.22,0.3,-0.68,-0.02,0.36,-0.09,0.33,0.03,1.2,0.78,0,1.6,0.2,0,1815,1824,,,,,,,,
91,194,17.6,0.3,-0.83,-0.04,0.43,-0.08,0.33,0.03,1.34,0.88,0,1.95,0.25,0,1815,1829,,,,,,,,
92,208,18.67,0.3,-0.83,-0.04,0.46,-0.08,0.34,0.03,1.42,0.94,0,1.95,0.35,0,1815,1832,,,,,,,,
93,199,18.73,0.41,-0.82,0,0.47,-0.06,0.35,0.04,1.48,0.98,0,1.85,0.3,0,1815,1845,,,,,,,,
94,180,18.1,0.41,-0.82,0,0.37,-0.05,0.33,0.04,1.48,0.98,0,1.8,0.2,0,1815,1848,,,,,,,,
95,146,16.76,0.41,-0.78,-0.01,0.29,-0.04,0.29,0.04,1.42,0.92,0,1.65,0.15,0,1815,1850,,,,,,,,
96,97,14.4,0.41,-0.81,-0.01,0.18,-0.05,0.28,0.04,1.38,0.76,0,1.5,0.15,0,1815,1855,,,,,,,,
97,53,11.84,0.41,-0.77,0,0.12,-0.07,0.28,0.04,1.28,0.64,0,1.15,0.1,0,1815,1900,,,,,,,,
98,23,9.38,0.41,-0.68,0.01,0.06,-0.1,0.27,0.04,1.28,0.52,0,1,0.05,0,1815,1905,,,,,,,,
99,2,7.21,0.31,-0.57,-0.02,0.02,-0.11,0.26,0.04,1.16,0.44,0,0.75,0.05,0,1815,1909,,,,,,,,
