ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,γ1-2,PS1C1,,,AS1C1,,変位計1
199,23.8,6.84,0.21,0,-0.03,0.06,-0.01,-0.1,-0.01,0,0,0,7,0,0,1816,5258,,0.00345679,0.002734021,23.8,,0.008395062,41,,6.84
200,27.2,7.78,0.23,0,-0.04,0.08,-0.01,-0.09,0.01,0,0,0,7,0,0,1816,5300,,0.00345679,0.003113402,27.2,,0.005432099,19,,7.78
201,30,8.66,0.29,0.01,-0.04,0.12,0,-0.09,0.02,0,0,0,8,0.5,0,1816,5301,,0.003703704,0.003451546,30,,0.003209877,11,,8.66
202,29.8,9.03,0.37,0.02,-0.03,0.11,-0.01,-0.1,0.02,0,0,0,8,0.5,0,1816,5320,,0.003703704,0.003571134,29.8,,0.001234568,1,,9.03
203,26.2,8.45,0.34,0.02,-0.02,0.12,0,-0.1,0.02,0,0,0,6.5,0,0,1816,5322,,0.003209877,0.00334433,26.2,,0.000740741,3,,8.45
204,22.2,7.48,0.25,0.02,-0.02,0.11,-0.01,-0.09,0.01,0,0,0,6,-0.5,0,1816,5323,,0.003209877,0.002981443,22.2,,0.002222222,21,,7.48
205,19.2,6.72,0.21,0,-0.03,0.12,0,-0.08,0.01,0,0,0,5,0,0,1816,5325,,0.002469136,0.002684536,19.2,,0.004444444,41,,6.72
206,17,5.86,0.21,0,-0.04,0.11,0,-0.08,0.01,0,0,0,5,0.5,0,1816,5326,,0.002222222,0.002329897,17,,0.007160494,63,,5.86
207,15,5.03,0.21,0,-0.04,0.11,-0.01,-0.07,0.01,0,0,0,4,-0.5,0,1816,5327,,0.002222222,0.001987629,15,,0.008148148,81,,5.03
208,11.8,4.18,0.21,0,-0.05,0.1,-0.01,-0.06,0,0,0,0,3,0,0,1816,5329,,0.001481481,0.001637113,11.8,,0.00962963,100,,4.18
209,9,3.36,0.11,0,-0.04,0.11,-0.01,-0.05,-0.01,0,0,0,2,-0.5,0,1816,5330,,0.001234568,0.001340206,9,,0.010617284,122,,3.36
210,6,2.5,0.1,0,-0.05,0.11,-0.01,-0.04,0,0,0,0,2,-0.5,0,1816,5331,,0.001234568,0.000989691,6,,0.011111111,143,,2.5
211,3,1.64,0.1,-0.01,-0.05,0.1,-0.02,-0.04,-0.01,0,0,0,0.5,-0.5,0,1816,5333,,0.000493827,0.000635052,3,,0.011604938,162,,1.64
212,-0.2,0.94,0.11,0,-0.04,0.09,-0.02,-0.02,0,0,0,0,0,-0.5,0,1816,5334,,0.000246914,0.000342268,-0.2,,0.012592593,181,,0.94
213,1.4,0.84,0.14,0.01,-0.02,0.08,0,0,-0.01,0,0,0,0.5,-0.5,0,1816,5358,,0.000493827,0.00028866,1.4,,0.013333333,203,,0.84
214,5.6,1.54,0.12,0,-0.03,0.09,0,-0.03,0,0,0,0,1.5,0,0,1816,5400,,0.000740741,0.000585567,5.6,,0.01382716,222,,1.54
215,9.4,2.4,0.14,0.01,-0.04,0.09,0,-0.05,-0.01,0,0,0,3,0,0,1816,5401,,0.001481481,0.000931959,9.4,,0.014814815,241,,2.4
216,13.2,3.36,0.12,0.01,-0.03,0.09,0,-0.05,0,0,0,0,3,0.5,0,1816,5403,,0.001234568,0.001336082,13.2,,0.016049383,260,,3.36
217,16,4.23,0.14,0.01,-0.03,0.09,0,-0.07,-0.01,0,0,0,4,0.5,0,1816,5404,,0.001728395,0.001686598,16,,0.017777778,282,,4.23
218,19,5.1,0.22,0.01,-0.03,0.08,0,-0.08,-0.01,0,0,0,5,0.5,0,1816,5405,,0.002222222,0.002012371,19,,0.018271605,299,,5.1
219,21,5.86,0.21,0,-0.04,0.08,0,-0.09,0,0,0,0,5.5,1,0,1816,5407,,0.002222222,0.002329897,21,,0.019259259,279,,5.86
