ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,,,,,,,,,,,,,,,,,,,,,,,,
38,463,59.7,0.96,0,-0.01,0.66,-0.16,-0.5,0.05,4,3.34,7.2,55.5,7,1135,1917,2635,,,,,,,,,,,,,,,,,,,,
39,480,60.27,0.96,0,-0.02,0.67,-0.19,-0.51,0.05,4.02,3.38,7.24,57,7,1200,1917,2641,,,,,,,,,,,,,,,,,,,,
40,512,62.21,0.96,-0.01,-0.01,0.69,-0.19,-0.53,0.07,4.16,3.52,7.3,58,7,1288,1917,2647,,,,,,,,,,,,,,,,,,,,
41,531,64.27,1.05,0,-0.01,0.72,-0.17,-0.52,0.12,4.36,3.74,7.38,60.5,7,1333,1917,2653,,,,,,,,,,,,,,,,,,,,
42,544,65.94,1.04,-0.01,-0.01,0.76,-0.17,-0.53,0.11,4.56,3.96,7.44,62,7.5,1355,1917,2658,,,,,,,,,,,,,,,,,,,,
43,555,67.98,1.05,0,-0.01,0.78,-0.19,-0.55,0.15,4.82,4.2,7.48,63.5,7.5,1385,1917,2705,,,,,,,,,,,,,,,,,,,,
44,572,70.21,1.04,-0.01,-0.02,0.83,-0.19,-0.54,0.17,5.06,4.46,7.54,66,8,1420,1917,2712,,,,,,,,,,,,,,,,,,,,
45,561,71.85,1.13,-0.12,-0.03,0.88,-0.17,-0.57,0.2,5.18,5,7.6,67.5,8.5,1383,1917,2717,,,,,,,,,,,,,,,,,,,,
46,579,73.88,1.13,-0.13,-0.03,0.89,-0.18,-0.58,0.22,5.3,5.36,7.62,69.5,8.5,1430,1917,2723,,,,,,,,,,,,,,,,,,,,
47,591,75.5,1.13,-0.12,-0.03,0.91,-0.18,-0.59,0.23,5.46,5.58,7.68,71,9,1458,1917,2729,,,,,,,,,,,,,,,,,,,,
48,601,77.15,1.24,-0.11,-0.03,0.94,-0.21,-0.6,0.25,5.64,5.78,7.72,72.5,9.5,1485,1917,2734,,,,,,,,,,,,,,,,,,,,
49,562,77.73,1.27,-0.09,-0.03,0.94,-0.18,-0.6,0.26,5.84,6,7.76,73,9.5,1368,1917,2821,,,,,,,,,,,,,,,,,,,,
50,589,78.89,1.28,-0.09,-0.02,0.95,-0.21,-0.62,0.26,5.92,6.08,7.78,73.5,9.5,1463,1917,2828,,,,,,,,,,,,,,,,,,,,
51,614,80.34,1.26,-0.09,-0.02,0.97,-0.21,-0.62,0.28,6.08,6.22,7.84,75.5,9,1520,1917,2832,,,,,,,,,,,,,,,,,,,,
52,629,82.38,1.36,-0.1,-0.03,1,-0.21,-0.63,0.28,6.3,6.44,7.88,77.5,9.5,1560,1917,2839,,,,,,,,,,,,,,,,,,,,
53,640,84.31,1.35,-0.11,-0.03,1.03,-0.22,-0.64,0.29,6.52,6.7,7.94,79.5,9.5,1580,1917,2845,,,,,,,,,,,,,,,,,,,,
54,298,87.4,2.74,-0.31,0.08,1.54,-0.11,-0.7,0.87,6.08,10.78,7.32,82,11.5,493,1917,2852,,,,,,,,,,,,,,,,,,,,
55,297,88.58,2.76,-0.31,0.09,1.56,-0.1,-0.69,0.87,6.08,11.18,7.32,83,11.5,473,1917,2908,,,,,,,,,,,,,,,,,,,,
56,286,88.58,2.84,-0.32,0.09,1.52,-0.14,-0.72,0.88,6.06,11.36,7.28,82.5,11,445,1917,3204,,,,,,,,,,,,,,,,,,,,
57,300,89.07,2.82,-0.32,0.08,1.51,-0.15,-0.71,0.88,6.06,11.48,7.28,84,11.5,488,1917,3242,,,,,,,,,,,,,,,,,,,,
58,312,91.41,2.85,-0.29,0.08,1.56,-0.15,-0.71,0.91,6.08,12.26,7.28,86,12,493,1917,3249,,,,,,,,,,,,,,,,,,,,
59,314,94.22,2.84,-0.3,0.08,1.65,-0.15,-0.71,0.98,6.1,13.3,7.24,88.5,12,480,1917,3256,,,,,,,,,,,,,,,,,,,,
60,315,97.72,2.94,-0.31,0.09,1.76,-0.15,-0.72,1.05,6.12,14.74,7.26,91.5,12.5,458,1917,3306,,,,,,,,,,,,,,,,,,,,
61,315,100.25,2.95,-0.3,0.08,1.85,-0.14,-0.72,1.11,6.14,15.72,7.24,94,13,438,1917,3313,,,,,,,,,,,,,,,,,,,,
62,312,103.27,2.94,-0.29,0.11,1.95,-0.14,-0.73,1.18,6.12,16.86,7.18,98,13,420,1917,3321,,,,,,,,,,,,,,,,,,,,
63,312,105.26,2.96,-0.31,0.07,2.02,-0.12,-0.73,1.21,6.16,17.62,7.14,99,13.5,405,1917,3327,,,,,,,,,,,,,,,,,,,,
64,312,107.97,3.07,-0.3,0.08,2.09,-0.12,-0.73,1.27,6.16,18.72,7.12,101.5,14,388,1917,3335,,,,,,,,,,,,,,,,,,,,
65,311,110.21,3.06,-0.31,0.08,2.16,-0.11,-0.74,1.32,6.16,19.62,7.08,104,14,375,1917,3341,,,,,,,,,,,,,,,,,,,,
66,310,112.68,3.07,-0.3,0.09,2.24,-0.11,-0.74,1.37,6.14,20.5,7.06,106.5,15,360,1917,3348,,,,,,,,,,,,,,,,,,,,
67,311,115.24,3.18,-0.29,0.09,2.32,-0.11,-0.73,1.41,6.14,21.48,7.06,108.5,15,348,1917,3355,,,,,,,,,,,,,,,,,,,,
68,310,117.3,3.17,-0.3,0.07,2.42,-0.08,-0.73,1.46,6.14,22.22,7.06,110.5,15.5,338,1917,3401,,,,,,,,,,,,,,,,,,,,
69,310,120.24,3.17,-0.3,0.07,2.5,-0.1,-0.73,1.51,6.12,23.3,7.08,114,15.5,323,1917,3409,,,,,,,,,,,,,,,,,,,,
70,292,120.93,3.26,-0.32,0.09,2.55,-0.01,-0.73,1.54,6.08,23.62,7.08,113.5,14.5,293,1917,3459,,,,,,,,,,,,,,,,,,,,
71,299,125.25,3.27,-0.31,0.09,2.65,0,-0.75,1.62,6.06,25.22,7.2,118,16.5,278,1917,3513,,,,,,,,,,,,,,,,,,,,
72,296,130.2,3.36,-0.31,0.08,2.78,0,-0.78,1.73,6,27.18,7.2,123,17.5,238,1917,3527,,,,,,,,,,,,,,,,,,,,
