ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,変位計1,,γ1-2,γ3-4,γreal,
157,234,140.56,6.32,0.83,-0.01,5.86,-0.4,0.73,2.92,0,0,0,132,19.5,0,915,4049,,140.56,,0.059006593,-0.000362069,0.058644524,234
158,236,141.55,6.42,0.82,0,5.9,-0.41,0.73,2.93,0,0,0,132.5,19.5,0,915,4053,,141.55,92.09,0.059397802,-0.000353448,0.059044354,236
159,228,141.55,6.54,0.83,0.01,5.89,-0.45,0.73,2.93,0,0,0,132,19,0,915,4134,,49.46,141.55,0.059345055,-0.000353448,0.058991607,228
160,227,141.59,6.54,0.66,-0.01,5.9,-0.46,0.72,2.94,0,0,0,132,19,0,915,4152,,49.5,141.59,0.059362637,-0.000288793,0.059073844,227
161,232,142.61,6.55,0.82,-0.01,5.91,-0.46,0.73,2.95,0,0,0,133.5,18.5,0,915,4155,,50.52,142.61,0.059806593,-0.000357759,0.059448835,232
162,236,145.01,6.65,0.83,0,6.04,-0.46,0.72,3,0,0,0,136,19,0,915,4200,,52.92,145.01,0.060817582,-0.000357759,0.060459824,236
163,240,146.64,6.76,0.82,-0.01,6.15,-0.46,0.73,3.03,0,0,0,137.5,19,0,915,4204,,54.55,146.64,0.061485714,-0.000357759,0.061127956,240
164,244,149.94,6.86,0.82,-0.01,6.3,-0.45,0.76,3.11,0,0,0,139.5,19.5,0,915,4211,,57.85,149.94,0.062892308,-0.000357759,0.062534549,244
165,253,153.85,7.08,0.93,-0.01,6.5,-0.45,0.78,3.19,0,0,0,143,20,0,915,4219,,61.76,153.85,0.064514286,-0.000405172,0.064109113,253
166,259,162.04,7.49,0.93,0.01,6.83,-0.49,0.79,3.37,0,0,0,150,21.5,0,915,4236,,69.95,162.04,0.067934066,-0.000396552,0.067537514,259
167,264,168.69,7.81,0.94,0,7.13,-0.53,0.79,3.5,0,0,0,156.5,22.5,0,915,4251,,76.6,168.69,0.070716484,-0.000405172,0.070311311,264
168,271,173.71,8.11,0.93,0,7.36,-0.56,0.81,3.61,0,0,0,161,23,0,915,4301,,81.62,173.71,0.072791209,-0.000400862,0.072390347,271
169,275,177.95,8.34,1.03,0,7.55,-0.58,0.81,3.71,0,0,0,163.5,24,0,915,4310,,85.86,177.95,0.074553846,-0.000443966,0.074109881,275
170,279,182.6,8.64,1.04,-0.01,7.74,-0.6,0.81,3.8,0,0,0,168.5,24.5,0,915,4320,,90.51,182.6,0.076465934,-0.000452586,0.076013348,279
171,280,183.57,8.63,1.03,0.01,7.76,-0.6,0.81,3.83,0,0,0,169,24,0,915,4323,,91.48,183.57,0.076896703,-0.000439655,0.076457048,280
172,266,183.66,8.85,1.02,-0.03,7.66,-0.68,0.76,3.83,0,0,0,168.5,24.5,0,915,4434,,91.57,183.66,0.07683956,-0.000452586,0.076386974,266
173,255,182.69,8.85,1.03,-0.02,7.63,-0.68,0.75,3.83,0,0,0,168,24,0,915,4436,,90.6,182.69,0.076413187,-0.000452586,0.075960601,255
174,252,181.63,8.77,1.03,-0.03,7.63,-0.69,0.76,3.81,0,0,0,166,24,0,915,4438,,89.54,181.63,0.075982418,-0.000456897,0.075525521,252
175,247,180.53,8.76,1.03,-0.01,7.6,-0.67,0.76,3.78,0,0,0,165.5,24,0,915,4441,,88.44,180.53,0.075503297,-0.000448276,0.075055021,247
176,242,179.13,8.67,1.03,-0.01,7.56,-0.68,0.76,3.75,0,0,0,164,23.5,0,915,4444,,87.04,179.13,0.074927473,-0.000448276,0.074479197,242
177,237,177.87,8.66,1.04,-0.01,7.52,-0.68,0.76,3.73,0,0,0,163,23,0,915,4446,,85.78,177.87,0.074378022,-0.000452586,0.073925436,237
178,232,176.49,8.65,1.03,-0.01,7.48,-0.68,0.75,3.69,0,0,0,162.5,22.5,0,915,4449,,84.4,176.49,0.073775824,-0.000448276,0.073327548,232
179,229,175.15,8.55,1.03,-0.01,7.43,-0.68,0.76,3.67,0,0,0,161,23.5,0,915,4451,,83.06,175.15,0.073230769,-0.000448276,0.072782493,229
180,221,173.32,8.55,1.03,-0.01,7.36,-0.68,0.75,3.63,0,0,0,159.5,22.5,0,915,4455,,81.23,173.32,0.072426374,-0.000448276,0.071978098,221
181,218,171.39,8.45,1.03,-0.01,7.28,-0.67,0.76,3.58,0,0,0,157.5,22,0,915,4459,,79.3,171.39,0.071621978,-0.000448276,0.071173702,218
182,212,170.03,8.43,1.04,-0.01,7.23,-0.68,0.75,3.55,0,0,0,156.5,22,0,915,4502,,77.94,170.03,0.071032967,-0.000452586,0.070580381,212
183,199,167.9,8.34,1.04,-0.01,7.19,-0.68,0.77,3.5,0,0,0,155,22,0,915,4506,,75.81,167.9,0.070136264,-0.000452586,0.069683678,199
184,190,166.08,8.24,1.04,-0.01,7.15,-0.68,0.77,3.45,0,0,0,153,22,0,915,4510,,73.99,166.08,0.06938022,-0.000452586,0.068927634,190
185,181,163.48,8.23,1.04,-0.01,7.05,-0.68,0.77,3.39,0,0,0,150.5,21.5,0,915,4515,,71.39,163.48,0.068241758,-0.000452586,0.067789172,181
186,173,161.36,8.12,1.05,0,6.95,-0.69,0.76,3.34,0,0,0,149,21,0,915,4519,,69.27,161.36,0.067358242,-0.000452586,0.066905656,173
187,171,160.4,8.13,1.04,0,6.9,-0.69,0.77,3.32,0,0,0,148,21.5,0,915,4521,,68.31,160.4,0.066931868,-0.000448276,0.066483592,171
188,164,156.84,8.01,0.93,0,6.73,-0.68,0.76,3.24,0,0,0,145,20.5,0,915,4528,,64.75,156.84,0.06541978,-0.000400862,0.065018918,164
189,159,154.43,7.92,0.94,0,6.62,-0.68,0.76,3.19,0,0,0,143,20,0,915,4533,,62.34,154.43,0.0644,-0.000405172,0.063994828,159
190,152,151.6,7.8,0.95,0,6.46,-0.68,0.76,3.12,0,0,0,140.5,19.5,0,915,4538,,59.51,151.6,0.063208791,-0.000409483,0.062799308,152
191,145,145.78,7.61,0.92,-0.01,6.05,-0.69,0.74,3,0,0,0,135,19,0,915,4550,,53.69,145.78,0.060734066,-0.000400862,0.060333204,145
192,133,140.5,7.4,0.83,-0.01,5.8,-0.68,0.73,2.88,0,0,0,130.5,18,0,915,4600,,48.41,140.5,0.058505495,-0.000362069,0.058143426,133
193,122,136.08,7.17,0.83,-0.01,5.56,-0.68,0.73,2.78,0,0,0,127,18,0,915,4609,,43.99,136.08,0.056663736,-0.000362069,0.056301667,122
194,116,133.48,7.07,0.82,-0.01,5.44,-0.66,0.73,2.73,0,0,0,124.5,17.5,0,915,4614,,41.39,133.48,0.055564835,-0.000357759,0.055207077,116
195,108,130.59,6.97,0.8,0,5.3,-0.67,0.73,2.66,0,0,0,121.5,17,0,915,4619,,38.5,130.59,0.054338462,-0.000344828,0.053993634,108
196,105,128.96,6.85,0.72,0,5.2,-0.65,0.74,2.62,0,0,0,120,16.5,0,915,4623,,36.87,128.96,0.053674725,-0.000310345,0.05336438,105
197,100,126.49,6.75,0.72,-0.01,5.07,-0.65,0.73,2.56,0,0,0,117,16.5,0,915,4628,,34.4,126.49,0.052632967,-0.000314655,0.052318312,100
198,95,124.73,6.79,0.73,0,4.99,-0.64,0.73,2.53,0,0,0,115.5,16,0,915,4631,,32.64,124.73,0.051841758,-0.000314655,0.051527103,95
199,90,122.8,6.67,0.73,-0.01,4.9,-0.63,0.73,2.49,0,0,0,114,15.5,0,915,4635,,30.71,122.8,0.051046154,-0.000318966,0.050727188,90
200,87,121.27,6.56,0.72,-0.01,4.8,-0.65,0.72,2.45,0,0,0,112.5,16,0,915,4638,,29.18,121.27,0.050421978,-0.000314655,0.050107323,87
201,80,118.83,6.45,0.65,-0.01,4.69,-0.62,0.73,2.4,0,0,0,110.5,16,0,915,4643,,26.74,118.83,0.049397802,-0.000284483,0.049113319,80
202,81,116.06,6.34,0.62,-0.01,4.54,-0.6,0.71,2.33,0,0,0,107.5,14.5,0,915,4648,,23.97,116.06,0.048228571,-0.000271552,0.04795702,81
203,76,113.35,6.23,0.63,-0.01,4.41,-0.59,0.72,2.27,0,0,0,105.5,15,0,915,4653,,21.26,113.35,0.047085714,-0.000275862,0.046809852,76
204,71,110.65,6.12,0.62,-0.01,4.23,-0.58,0.7,2.21,0,0,0,103,14.5,0,915,4659,,18.56,110.65,0.045947253,-0.000271552,0.045675701,71
205,66,108.13,6.02,0.63,0,4.11,-0.56,0.7,2.16,0,0,0,101,14.5,0,915,4703,,16.04,108.13,0.044883516,-0.000271552,0.044611965,66
206,60,105.15,5.91,0.52,-0.01,3.97,-0.52,0.7,2.1,0,0,0,98,14,0,915,4709,,13.06,105.15,0.043621978,-0.000228448,0.04339353,60
207,50,101.47,5.71,0.51,-0.01,3.79,-0.47,0.7,2,0,0,0,94.5,13.5,0,915,4717,,9.38,101.47,0.042092308,-0.000224138,0.04186817,50
208,40,96.51,5.49,0.41,0,3.53,-0.41,0.69,1.89,0,0,0,90,12.5,0,915,4727,,4.42,96.51,0.040008791,-0.000176724,0.039832067,40
209,35,92.73,5.28,0.41,-0.01,3.34,-0.36,0.69,1.81,0,0,0,86.5,12,0,915,4734,,0.64,92.73,0.03843956,-0.000181034,0.038258526,35
210,32,90.78,5.17,0.41,0,3.25,-0.34,0.7,1.77,0,0,0,84.5,12,0,915,4738,,-1.31,90.78,0.037630769,-0.000176724,0.037454045,32
211,25,86.58,4.96,0.31,0,3.06,-0.26,0.69,1.68,0,0,0,80.5,11,0,915,4746,,-5.51,86.58,0.035876923,-0.000133621,0.035743302,25
212,20,82.79,4.75,0.31,-0.01,2.85,-0.19,0.67,1.57,0,0,0,77,11,0,915,4754,,-9.3,82.79,0.034303297,-0.000137931,0.034165366,20
213,11,73.92,4.33,0.19,-0.01,2.43,0,0.64,1.38,0,0,0,69.5,9.5,0,915,4811,,-18.17,73.92,0.030589011,-8.62069E-05,0.030502804,11
214,4,70.88,4.13,0.19,-0.02,2.29,0.08,0.62,1.31,0,0,0,66.5,9,0,915,4817,,-21.21,70.88,0.029340659,-9.05172E-05,0.029250142,4
215,-1,68.33,3.89,0.19,0,2.19,0.18,0.61,1.26,0,0,0,64,8.5,0,915,4822,,-23.76,68.33,0.028325275,-8.18966E-05,0.028243378,-1
,,,,,,,,,,,,,,,,,,,,,,,,
