ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,変位計1,,γ1-2,γ3-4,γreal,,,
38,105,8.36,0.67,0,-0.05,0.16,-0.24,-0.09,-0.29,0.2,0.08,2.88,-7.5,-1,90,914,1032,,8.36,,0.00338022,-2.15517E-05,0.003358668,105
39,44,7.31,0.66,0,-0.05,0.16,-0.22,-0.04,-0.25,0.18,0.1,2.64,-6,-1,18,914,1033,,7.31,,0.002923077,-2.15517E-05,0.002901525,44
40,22,6.59,0.56,0,-0.05,0.14,-0.21,-0.02,-0.22,0.18,0.16,2.14,-6,-0.5,10,914,1035,,6.59,,0.002650549,-2.15517E-05,0.002628998,22
41,16,6.02,0.55,0,-0.04,0.13,-0.2,-0.02,-0.2,0.22,0.18,1.74,-6,-0.5,8,914,1037,,6.02,,0.002404396,-1.72414E-05,0.002387154,16
42,25,5.34,0.54,0.01,-0.03,0.1,-0.19,-0.02,-0.19,0.22,0.16,1.4,-5.5,-1,3,914,1039,,5.34,,0.00210989,-1.72414E-05,0.002092649,25
43,8,4.76,0.54,0.02,-0.04,0.09,-0.18,-0.02,-0.17,0.22,0.16,0.9,-3.5,-1,3,914,1041,,4.76,,0.001854945,-2.58621E-05,0.001829083,8
44,2,3.79,0.44,0,-0.02,0.06,-0.18,-0.02,-0.15,0.24,0.18,0.56,-4,-0.5,0,914,1043,,3.79,,0.001472527,-8.62069E-06,0.001463907,2
45,2,3.68,0.43,0.12,-0.03,0.06,-0.17,-0.02,-0.15,0.22,0.18,0.58,-4,-0.5,3,914,1105,,3.68,,0.001428571,-6.46552E-05,0.001363916,2
46,15,4.46,0.44,0.02,-0.03,0.06,-0.17,-0.01,-0.16,0.24,0.18,1.14,-5.5,-1,8,914,1107,,4.46,,0.001767033,-2.15517E-05,0.001745481,15
47,26,5.24,0.45,0.02,-0.04,0.07,-0.18,0,-0.18,0.24,0.16,1.56,-6,-1,15,914,1109,,5.24,,0.002105495,-2.58621E-05,0.002079632,26
48,40,6.11,0.54,0.03,-0.03,0.08,-0.18,0.02,-0.19,0.18,0.16,1.88,-6.5,-1.5,60,914,1110,,6.11,,0.002448352,-2.58621E-05,0.00242249,40
49,93,6.98,0.55,0.02,-0.03,0.1,-0.18,0,-0.24,0.1,0.12,1.94,-7.5,-2,165,914,1112,,6.98,,0.002826374,-2.15517E-05,0.002804822,93
50,142,7.76,0.55,0.02,-0.03,0.11,-0.2,-0.03,-0.25,-0.1,-0.04,2.72,-8.5,-1,230,914,1114,,7.76,,0.003169231,-2.15517E-05,0.003147679,142
51,185,8.64,0.66,0.01,-0.04,0.14,-0.2,-0.06,-0.3,-0.36,-0.3,3.92,-9,-1.5,305,914,1115,,8.64,,0.003507692,-2.15517E-05,0.003486141,185
52,235,9.57,0.65,0.01,-0.04,0.15,-0.23,-0.09,-0.33,-0.56,-0.54,5.04,-10,-1.5,390,914,1117,,9.57,,0.003920879,-2.15517E-05,0.003899327,235
53,286,10.39,0.72,0,-0.04,0.16,-0.26,-0.12,-0.36,-0.72,-0.78,6.1,-10.5,-2,475,914,1119,,10.39,,0.004250549,-1.72414E-05,0.004233308,286
54,339,11.36,0.77,0,-0.05,0.17,-0.3,-0.13,-0.39,-0.88,-1,7.1,-11.5,-2,558,914,1120,,11.36,,0.004654945,-2.15517E-05,0.004633393,339
55,389,12.23,0.77,0,-0.05,0.19,-0.35,-0.15,-0.43,-0.98,-1.16,7.82,-12.5,-2,635,914,1122,,12.23,,0.005037363,-2.15517E-05,0.005015811,389
56,428,13,0.76,0.01,-0.14,0.19,-0.39,-0.16,-0.46,-1.02,-1.2,8.38,-13,-2,688,914,1124,,13,,0.00538022,-6.46552E-05,0.005315565,428
