ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,変位計1,,γ1-2,γ3-4,γreal,,,
139,1208,50.07,3.3,4.71,-0.25,0.59,-1.17,-0.29,-2.19,1.04,1.08,13.7,-36,-6.5,1728,914,1426,,50.07,,0.020558242,-0.002137931,0.018420311,1208
140,1221,50.75,3.4,4.82,-0.25,0.6,-1.18,-0.3,-2.2,1.12,1.16,13.76,-36,-7,1743,914,1428,,50.75,,0.020813187,-0.002185345,0.018627842,1221
141,1233,51.53,3.4,4.95,-0.25,0.6,-1.18,-0.3,-2.21,1.16,1.28,13.82,-37,-7.5,1758,914,1430,,51.53,,0.021156044,-0.002241379,0.018914665,1233
142,1246,52.3,3.41,5.13,-0.25,0.6,-1.19,-0.3,-2.23,1.22,1.38,13.92,-37,-8,1775,914,1431,,52.3,,0.02149011,-0.002318966,0.019171144,1246
143,1260,53.06,3.52,5.25,-0.25,0.6,-1.2,-0.31,-2.24,1.3,1.5,14.04,-38,-7,1788,914,1433,,53.06,,0.021775824,-0.00237069,0.019405135,1260
144,1279,53.83,3.51,5.35,-0.25,0.6,-1.21,-0.32,-2.26,1.36,1.6,14.12,-38,-7,1803,914,1435,,53.83,,0.022118681,-0.002413793,0.019704888,1279
145,1291,54.61,3.51,5.46,-0.25,0.61,-1.21,-0.31,-2.3,1.42,1.72,14.18,-38,-7,1815,914,1437,,54.61,,0.022461538,-0.002461207,0.020000332,1291
146,1301,55.28,3.49,5.57,-0.24,0.62,-1.23,-0.33,-2.32,1.46,1.84,14.3,-38.5,-7,1828,914,1439,,55.28,,0.022764835,-0.00250431,0.020260525,1301
147,1319,56.14,3.61,5.78,-0.24,0.62,-1.23,-0.33,-2.33,1.52,1.96,14.4,-39,-7.5,1840,914,1441,,56.14,,0.02309011,-0.002594828,0.020495282,1319
148,1333,56.9,3.62,5.99,-0.25,0.62,-1.23,-0.33,-2.34,1.6,2.1,14.5,-39,-8,1853,914,1443,,56.9,,0.02341978,-0.002689655,0.020730125,1333
149,1345,57.57,3.61,6.09,-0.25,0.62,-1.24,-0.33,-2.35,1.64,2.2,14.56,-39.5,-8,1865,914,1444,,57.57,,0.023718681,-0.002732759,0.020985923,1345
150,1361,58.35,3.72,6.29,-0.26,0.63,-1.24,-0.34,-2.36,1.68,2.3,14.62,-40,-8,1873,914,1446,,58.35,,0.024013187,-0.002823276,0.021189911,1361
151,1377,59.02,3.72,6.4,-0.25,0.62,-1.24,-0.34,-2.41,1.72,2.42,14.7,-40.5,-7.5,1885,914,1448,,59.02,,0.024307692,-0.002866379,0.021441313,1377
152,1393,59.68,3.73,6.51,-0.25,0.63,-1.24,-0.34,-2.42,1.78,2.52,14.78,-41,-8,1898,914,1449,,59.68,,0.024593407,-0.002913793,0.021679613,1393
153,1402,60.38,3.72,6.6,-0.26,0.62,-1.24,-0.34,-2.44,1.8,2.66,14.86,-40.5,-7.5,1913,914,1451,,60.38,,0.024905495,-0.002956897,0.021948598,1402
154,1417,61.04,3.83,6.71,-0.24,0.62,-1.25,-0.35,-2.44,1.86,2.78,14.92,-41.5,-8,1920,914,1453,,61.04,,0.025147253,-0.00299569,0.022151563,1417
155,1429,61.71,3.82,6.82,-0.24,0.62,-1.26,-0.36,-2.46,1.9,2.9,15,-41.5,-8,1933,914,1455,,61.71,,0.025446154,-0.003043103,0.02240305,1429
156,1440,62.39,3.82,6.93,-0.25,0.62,-1.25,-0.36,-2.47,1.96,3.02,15.06,-42,-8.5,1943,914,1456,,62.39,,0.025745055,-0.003094828,0.022650227,1440
157,1461,62.97,3.84,7.02,-0.25,0.62,-1.25,-0.36,-2.52,1.98,3.2,15.3,-42,-8,1943,914,1458,,62.97,,0.025991209,-0.003133621,0.022857588,1461
158,1459,63.46,3.82,7.14,-0.26,0.65,-1.27,-0.41,-2.53,2.04,3.26,15.34,-42.5,-8.5,1958,914,1459,,63.46,,0.026215385,-0.003189655,0.023025729,1459
159,1481,64.02,3.83,7.13,-0.25,0.66,-1.27,-0.41,-2.54,2.08,3.38,15.36,-42.5,-8.5,1973,914,1501,,64.02,,0.026457143,-0.003181034,0.023276108,1481
160,1498,64.7,3.88,7.24,-0.25,0.68,-1.28,-0.42,-2.54,2.14,3.52,15.42,-43,-9,1985,914,1503,,64.7,,0.026734066,-0.003228448,0.023505618,1498
161,1512,65.38,3.94,7.35,-0.26,0.68,-1.28,-0.43,-2.55,2.2,3.66,15.46,-43.5,-9,2000,914,1504,,65.38,,0.027006593,-0.003280172,0.023726421,1512
162,1527,65.95,3.93,7.45,-0.26,0.67,-1.29,-0.43,-2.56,2.28,3.82,15.52,-43.5,-9,2010,914,1506,,65.95,,0.027261538,-0.003323276,0.023938263,1527
163,1549,66.72,3.93,7.54,-0.25,0.69,-1.29,-0.45,-2.57,2.36,3.98,15.58,-43.5,-9,2020,914,1508,,66.72,,0.0276,-0.003357759,0.024242241,1549
164,1553,67.4,3.93,7.55,-0.25,0.69,-1.29,-0.45,-2.57,2.4,4.18,15.62,-44.5,-8.5,2025,914,1510,,67.4,,0.027898901,-0.003362069,0.024536832,1553
165,1568,68.07,3.93,7.66,-0.25,0.71,-1.3,-0.45,-2.57,2.46,4.36,15.68,-45,-8.5,2035,914,1511,,68.07,,0.028193407,-0.003409483,0.024783924,1568
166,1580,68.73,4.04,7.77,-0.24,0.7,-1.3,-0.46,-2.56,2.52,4.56,15.76,-45.5,-9,2040,914,1513,,68.73,,0.028435165,-0.003452586,0.024982579,1580
167,1599,69.41,4.02,7.87,-0.24,0.71,-1.32,-0.47,-2.57,2.58,4.72,15.82,-46,-9.5,2048,914,1515,,69.41,,0.028742857,-0.00349569,0.025247167,1599
168,1608,70,4.03,7.96,-0.23,0.72,-1.31,-0.48,-2.6,2.82,4.92,15.84,-46,-9.5,2058,914,1516,,70,,0.028997802,-0.003530172,0.02546763,1608
169,1625,70.66,4.02,8.08,-0.25,0.72,-1.31,-0.49,-2.6,2.88,5.06,15.92,-46.5,-10,2063,914,1518,,70.66,,0.029292308,-0.003590517,0.02570179,1625
170,1633,71.3,4.04,8.18,-0.25,0.74,-1.33,-0.49,-2.59,2.98,5.26,15.98,-47.5,-10,2070,914,1519,,71.3,,0.029564835,-0.003633621,0.025931214,1633
171,1646,71.91,4.13,8.29,-0.24,0.74,-1.32,-0.49,-2.59,3.1,5.46,16.04,-48,-10,2075,914,1521,,71.91,,0.029793407,-0.003676724,0.026116682,1646
172,1662,72.69,4.13,8.39,-0.24,0.76,-1.33,-0.51,-2.6,3.2,5.68,16.12,-48,-9.5,2080,914,1523,,72.69,,0.030136264,-0.003719828,0.026416436,1662
173,1664,73.28,4.14,8.6,-0.25,0.77,-1.33,-0.51,-2.59,3.28,5.92,16.16,-49.5,-9.5,2080,914,1525,,73.28,,0.030391209,-0.003814655,0.026576554,1664
174,1669,73.95,4.24,8.7,-0.24,0.77,-1.33,-0.52,-2.59,3.36,6.2,16.22,-49.5,-10,2075,914,1526,,73.95,,0.030641758,-0.003853448,0.02678831,1669
175,1677,74.61,4.25,8.81,-0.26,0.77,-1.35,-0.52,-2.59,3.4,6.52,16.24,-50,-10,2058,914,1528,,74.61,,0.030927473,-0.003909483,0.02701799,1677
176,1673,75.38,4.24,8.92,-0.25,0.78,-1.32,-0.51,-2.6,3.42,6.94,16.26,-50.5,-10,2038,914,1530,,75.38,,0.03127033,-0.003952586,0.027317743,1673
177,1660,76.06,4.35,9.02,-0.24,0.79,-1.32,-0.52,-2.59,3.44,7.36,16.26,-51,-10,2023,914,1531,,76.06,,0.031520879,-0.003991379,0.0275295,1660
178,1650,76.74,4.36,9.02,-0.26,0.78,-1.3,-0.51,-2.59,3.46,7.76,16.28,-51.5,-10,2005,914,1533,,76.74,,0.031815385,-0.004,0.027815385,1650
179,1643,77.42,4.38,9.13,-0.25,0.79,-1.29,-0.51,-2.59,3.48,8.2,16.26,-52.5,-9.5,1943,914,1535,,77.42,,0.032105495,-0.004043103,0.028062391,1643
180,539,80.11,5.8,9.22,-0.46,0.66,-0.92,-0.35,-1.81,4.32,16.86,41.18,-64.5,-11,850,914,1536,,80.11,,0.032663736,-0.004172414,0.028491322,539
181,627,80.61,5.83,9.23,-0.46,0.69,-0.91,-0.34,-1.83,4.1,16.98,41.18,-63.5,-12,883,914,1537,,80.61,,0.03287033,-0.004176724,0.028693606,627
182,659,81.26,5.83,9.23,-0.45,0.7,-0.9,-0.32,-1.88,4.06,17.06,41.16,-63,-12,908,914,1539,,81.26,,0.033156044,-0.004172414,0.02898363,659
183,675,81.91,5.83,9.23,-0.44,0.7,-0.89,-0.31,-1.92,3.98,17.24,41.14,-63.5,-12.5,930,914,1540,,81.91,,0.033441758,-0.004168103,0.029273655,675
184,685,82.64,5.83,9.22,-0.46,0.7,-0.87,-0.31,-1.92,4,17.7,41.18,-65,-12,845,914,1542,,82.64,,0.033762637,-0.004172414,0.029590224,685
185,467,83.58,6.27,9.02,-0.45,1.15,-0.54,-0.2,-0.36,6.3,29.34,41.16,-78.5,-14,153,914,1544,,83.58,,0.033982418,-0.004081897,0.029900521,467
186,225,85.72,6.36,9.02,-0.45,1.19,-0.53,-0.19,-0.34,6.24,29.9,41.18,-80,-14,150,914,1546,,85.72,,0.034883516,-0.004081897,0.03080162,225
187,217,86.6,6.38,8.91,-0.45,1.23,-0.51,-0.2,-0.31,6.28,30.78,41.18,-80.5,-14,140,914,1547,,86.6,,0.035261538,-0.004034483,0.031227056,217
188,216,87.47,6.46,8.91,-0.46,1.27,-0.48,-0.18,-0.28,6.3,31.48,41.18,-81,-14.5,130,914,1549,,87.47,,0.035608791,-0.004038793,0.031569998,216
189,213,88.33,6.53,8.91,-0.46,1.32,-0.47,-0.16,-0.25,6.3,32.12,41.18,-82.5,-15,130,914,1551,,88.33,,0.035956044,-0.004038793,0.031917251,213
190,216,89.29,6.55,8.92,-0.45,1.37,-0.45,-0.15,-0.22,6.3,32.74,41.16,-83,-14.5,125,914,1552,,89.29,,0.036369231,-0.004038793,0.032330438,216
191,217,90.46,6.6,8.91,-0.46,1.42,-0.43,-0.13,-0.17,6.3,33.6,41.16,-84.5,-15,118,914,1555,,90.46,,0.036861538,-0.004038793,0.032822745,217
192,209,91.82,6.67,8.92,-0.45,1.47,-0.4,-0.11,-0.13,6.28,34.64,41.18,-86,-15.5,0,914,1557,,91.82,,0.037428571,-0.004038793,0.033389778,209
193,153,92.88,6.78,8.81,-0.45,1.51,-0.31,-0.05,0,5.76,64.2,41.18,-86.5,-15.5,0,914,1559,,92.88,,0.037846154,-0.003991379,0.033854775,153
194,157,93.86,6.88,8.81,-0.45,1.54,-0.3,-0.04,0.04,5.76,64.42,41.18,-87,-15,3,914,1601,,93.86,,0.038232967,-0.003991379,0.034241588,157
195,157,94.77,6.88,8.8,-0.45,1.59,-0.28,-0.03,0.06,5.76,64.68,41.18,-88,-15.5,3,914,1602,,94.77,,0.038632967,-0.003987069,0.034645898,157
196,158,95.69,6.94,8.8,-0.45,1.62,-0.27,-0.02,0.09,5.74,65.1,41.14,-89,-16,3,914,1604,,95.69,,0.039010989,-0.003987069,0.03502392,158
197,161,96.56,6.98,8.81,-0.46,1.65,-0.26,-0.02,0.11,5.74,65.6,41.16,-90.5,-16,5,914,1606,,96.56,,0.039375824,-0.00399569,0.035380135,161
198,164,97.54,6.98,8.81,-0.45,1.68,-0.25,-0.01,0.14,5.74,66.18,41.18,-92,-16.5,3,914,1607,,97.54,,0.039806593,-0.003991379,0.035815214,164
199,165,98.42,7.09,8.81,-0.46,1.72,-0.24,-0.01,0.18,5.74,66.72,41.18,-91.5,-16,0,914,1609,,98.42,,0.040145055,-0.00399569,0.036149365,165
200,167,99.48,7.09,8.8,-0.45,1.76,-0.22,0,0.21,5.74,67.18,41.18,-92.5,-16,3,914,1611,,99.48,,0.040610989,-0.003987069,0.03662392,167
201,171,100.75,7.19,8.81,-0.46,1.8,-0.22,0.01,0.25,5.74,67.94,41.16,-94,-16,3,914,1613,,100.75,,0.041125275,-0.00399569,0.037129585,171
202,173,102.1,7.19,8.81,-0.45,1.85,-0.21,0.01,0.28,5.76,69.08,41.18,-95.5,-16.5,3,914,1616,,102.1,,0.041718681,-0.003991379,0.037727302,173
203,173,103,7.3,8.81,-0.46,1.88,-0.2,0.01,0.31,5.74,69.58,41.18,-96,-16.5,0,914,1617,,103,,0.042065934,-0.00399569,0.038070244,173
204,176,103.86,7.29,8.81,-0.45,1.91,-0.19,0.03,0.34,5.76,70.16,41.2,-97,-16.5,3,914,1619,,103.86,,0.042448352,-0.003991379,0.038456972,176
205,178,104.73,7.31,8.81,-0.45,1.95,-0.18,0.04,0.37,5.74,70.96,41.16,-97.5,-16.5,0,914,1621,,104.73,,0.042821978,-0.003991379,0.038830599,178
206,178,105.73,7.4,8.81,-0.45,1.99,-0.16,0.04,0.4,5.74,71.46,41.16,-98.5,-17.5,0,914,1622,,105.73,,0.043221978,-0.003991379,0.039230599,178
207,183,106.59,7.4,8.81,-0.44,2.03,-0.16,0.05,0.42,5.74,72.14,33.28,-99,-17.5,3,914,1624,,106.59,,0.0436,-0.003987069,0.039612931,183
208,184,107.56,7.5,8.81,-0.47,2.06,-0.15,0.05,0.45,5.74,72.32,16.5,-100.5,-16.5,3,914,1626,,107.56,,0.043982418,-0.004,0.039982418,184
209,185,108.57,7.51,8.81,-0.45,2.11,-0.14,0.07,0.48,5.74,72.32,38.4,-101.5,-17.5,5,914,1628,,108.57,,0.044421978,-0.003991379,0.040430599,185
210,189,109.63,7.61,8.81,-0.46,2.17,-0.14,0.08,0.51,5.74,72.3,41.2,-102,-18,3,914,1629,,109.63,,0.044843956,-0.00399569,0.040848266,189
211,190,110.58,7.61,8.81,-0.46,2.22,-0.12,0.08,0.55,5.74,72.3,41.18,-103,-18,5,914,1631,,110.58,,0.045261538,-0.00399569,0.041265849,190
212,192,111.56,7.67,8.83,-0.45,2.26,-0.12,0.08,0.57,5.76,72.3,41.18,-104,-17.5,8,914,1633,,111.56,,0.045665934,-0.004,0.041665934,192
213,195,112.74,7.72,8.8,-0.45,2.31,-0.11,0.09,0.6,5.74,72.26,41.16,-105.5,-18,5,914,1635,,112.74,,0.046162637,-0.003987069,0.042175568,195
214,198,113.71,7.76,8.82,-0.45,2.35,-0.11,0.11,0.63,5.76,72.28,41.18,-106,-17.5,8,914,1637,,113.71,,0.046571429,-0.00399569,0.042575739,198
215,201,114.61,7.82,8.81,-0.45,2.4,-0.09,0.11,0.66,5.78,72.3,41.2,-106.5,-18,13,914,1639,,114.61,,0.046940659,-0.003991379,0.04294928,201
216,204,115.58,7.83,8.8,-0.45,2.45,-0.08,0.1,0.68,5.76,72.28,41.18,-108,-18.5,13,914,1640,,115.58,,0.047362637,-0.003987069,0.043375568,204
217,206,116.55,7.92,8.81,-0.46,2.5,-0.09,0.12,0.71,5.76,72.28,41.18,-108.5,-18,13,914,1642,,116.55,,0.047749451,-0.00399569,0.043753761,206
218,210,117.53,7.93,8.81,-0.46,2.56,-0.07,0.12,0.74,5.76,72.28,41.18,-109.5,-18,15,914,1644,,117.53,,0.048175824,-0.00399569,0.044180135,210
219,211,118.41,7.96,8.81,-0.46,2.59,-0.08,0.13,0.76,5.76,72.28,41.18,-110.5,-18.5,13,914,1645,,118.41,,0.048549451,-0.00399569,0.044553761,211
220,211,119.41,8.04,8.81,-0.46,2.64,-0.06,0.14,0.78,5.78,72.28,41.18,-111,-18.5,13,914,1647,,119.41,,0.048953846,-0.00399569,0.044958156,211
221,213,120.09,8.03,8.8,-0.45,2.66,-0.05,0.14,0.81,5.76,72.28,41.2,-111.5,-18.5,13,914,1648,,120.09,,0.049257143,-0.003987069,0.045270074,213
222,216,121.46,8.15,8.81,-0.47,2.73,-0.04,0.15,0.85,5.78,72.3,41.16,-112.5,-19,13,914,1651,,121.46,,0.049806593,-0.004,0.045806593,216
223,217,122.45,8.13,8.81,-0.46,2.78,-0.03,0.16,0.87,5.78,72.28,41.18,-114,-19,13,914,1653,,122.45,,0.050250549,-0.00399569,0.04625486,217
224,219,123.52,8.25,8.81,-0.46,2.82,-0.02,0.16,0.9,5.76,72.3,41.16,-114.5,-19,15,914,1655,,123.52,,0.050668132,-0.00399569,0.046672442,219
225,221,124.41,8.25,8.81,-0.45,2.86,-0.02,0.17,0.93,5.76,72.32,41.18,-115.5,-19,13,914,1656,,124.41,,0.051059341,-0.003991379,0.047067961,221
226,222,125.9,8.35,8.81,-0.46,2.91,-0.01,0.18,0.97,5.78,72.28,41.16,-117.5,-19,13,914,1659,,125.9,,0.05167033,-0.00399569,0.04767464,222
227,224,126.88,8.34,8.81,-0.45,2.95,0,0.18,1,5.78,72.28,41.18,-118,-18.5,13,914,1701,,126.88,,0.052105495,-0.003991379,0.048114115,224
228,227,127.75,8.35,8.8,-0.45,2.98,0.01,0.19,1.03,5.78,72.26,41.14,-118.5,-19,13,914,1702,,127.75,,0.052483516,-0.003987069,0.048496448,227
229,228,128.75,8.44,8.81,-0.44,3.02,0.01,0.19,1.05,5.78,72.28,41.18,-119.5,-20,5,914,1704,,128.75,,0.052883516,-0.003987069,0.048896448,228
230,225,129.62,8.45,8.8,-0.45,3.06,0.02,0.19,1.08,5.82,72.28,41.18,-120,-19.5,3,914,1706,,129.62,,0.053261538,-0.003987069,0.049274469,225
231,226,130.56,8.49,8.81,-0.44,3.1,0.03,0.19,1.1,5.84,72.28,41.18,-121.5,-20,0,914,1707,,130.56,,0.053657143,-0.003987069,0.049670074,226
232,226,131.51,8.56,8.81,-0.45,3.15,0.03,0.2,1.11,5.84,72.26,41.18,-121.5,-20,3,914,1709,,131.51,,0.054043956,-0.003991379,0.050052577,226
233,230,132.5,8.56,8.85,-0.47,3.18,0.04,0.2,1.14,5.82,72.26,41.2,-123,-20.5,0,914,1711,,132.5,,0.054479121,-0.004017241,0.050461879,230
234,231,133.48,8.64,8.88,-0.45,3.21,0.05,0.21,1.18,5.82,72.26,41.18,-124,-20.5,0,914,1713,,133.48,,0.054874725,-0.004021552,0.050853174,231
235,231,134.37,8.65,8.87,-0.43,3.23,0.04,0.21,1.19,5.84,72.26,41.18,-124,-21,0,914,1714,,134.37,,0.055261538,-0.004008621,0.051252918,231
236,221,134.35,8.65,8.9,-0.43,3.26,0.05,0.21,1.19,5.84,72.3,41.18,-124,-20,5,914,1905,,134.35,84.28,0.055252747,-0.004021552,0.051231196,221
237,221,134.35,8.66,8.89,-0.43,3.26,0.06,0.21,1.19,5.84,72.32,41.16,-124,-20.5,5,914,2014,,50.07,134.35,0.055248352,-0.004017241,0.05123111,221
238,220,134.36,8.66,8.9,-0.43,3.27,0.03,0.21,1.19,5.84,72.3,41.18,-123.5,-20,8,914,2031,,50.08,134.36,0.055252747,-0.004021552,0.051231196,220
239,231,135.22,8.79,8.91,-0.46,3.27,0.06,0.22,1.21,5.88,72.32,41.18,-124.5,-21,15,914,2033,,50.94,135.22,0.055573626,-0.004038793,0.051534833,231
240,241,137.71,8.78,8.91,-0.45,3.34,0.07,0.22,1.25,5.84,72.3,41.18,-127.5,-21,13,914,2037,,53.43,137.71,0.056672527,-0.004034483,0.052638045,241
241,248,140.13,8.88,8.91,-0.45,3.4,0.08,0.22,1.33,5.86,72.32,41.18,-130.5,-20.5,13,914,2041,,55.85,140.13,0.057692308,-0.004034483,0.053657825,248
242,254,141.85,9,8.92,-0.45,3.47,0.09,0.23,1.37,5.84,72.32,41.16,-131.5,-20.5,13,914,2044,,57.57,141.85,0.058395604,-0.004038793,0.054356811,254
243,254,143.29,8.88,8.9,-0.45,3.52,0.09,0.22,1.4,5.84,72.3,41.18,-133,-21,13,914,2047,,59.01,143.29,0.059081319,-0.004030172,0.055051146,254
244,260,147.92,8.99,8.91,-0.44,3.71,0.12,0.25,1.51,5.84,72.32,41.16,-137,-22,15,914,2055,,63.64,147.92,0.061068132,-0.004030172,0.057037959,260
245,270,152.25,9.09,8.9,-0.46,3.85,0.14,0.28,1.62,5.86,72.32,41.18,-141,-23,13,914,2103,,67.97,152.25,0.062927473,-0.004034483,0.05889299,270
246,277,156.68,9.23,8.91,-0.45,4.06,0.16,0.29,1.72,5.88,72.34,41.18,-144,-23,15,914,2111,,72.4,156.68,0.064813187,-0.004034483,0.060778704,277
247,280,160.03,9.31,8.91,-0.45,4.17,0.17,0.3,1.81,5.88,72.3,41.16,-147.5,-23,15,914,2117,,75.75,160.03,0.066250549,-0.004034483,0.062216067,280
248,290,167.96,9.62,8.9,-0.44,4.55,0.21,0.34,2,5.9,72.34,41.16,-154.5,-24,15,914,2131,,83.68,167.96,0.0696,-0.004025862,0.065574138,290
249,295,171.36,9.73,8.92,-0.46,4.69,0.22,0.36,2.07,5.92,72.32,41.18,-156.5,-25,13,914,2137,,87.08,171.36,0.071046154,-0.004043103,0.06700305,295
250,301,175.8,9.83,8.93,-0.45,4.9,0.24,0.37,2.17,5.94,72.32,41.16,-161,-26,15,914,2145,,91.52,175.8,0.072953846,-0.004043103,0.068910743,301
251,311,183.18,10.04,9.02,-0.46,5.28,0.26,0.41,2.35,5.96,72.3,41.16,-167,-27,13,914,2158,,98.9,183.18,0.076105495,-0.004086207,0.072019288,311
252,320,191.65,10.35,9.02,-0.45,5.7,0.28,0.47,2.55,6.02,72.32,41.16,-173.5,-28,13,914,2214,,107.37,191.65,0.079692308,-0.004081897,0.075610411,320
253,324,197.25,10.56,9.02,-0.44,5.98,0.3,0.5,2.68,6.04,72.32,41.16,-178.5,-28.5,15,914,2224,,112.97,197.25,0.082061538,-0.004077586,0.077983952,324
254,324,199.06,10.65,9,-0.43,6.05,0.3,0.5,2.72,6.02,72.32,41.16,-179,-29,13,914,2228,,114.78,199.06,0.082817582,-0.004064655,0.078752927,324
255,307,199.16,10.71,9.01,-0.46,6.05,0.28,0.51,2.73,6.02,72.32,41.16,-179,-29,13,914,2438,,114.88,199.16,0.082835165,-0.004081897,0.078753268,307
256,286,197.21,10.68,9.01,-0.45,5.95,0.26,0.49,2.7,6.04,72.32,41.16,-177,-28.5,8,914,2441,,112.93,197.21,0.081991209,-0.004077586,0.077913623,286
257,274,195.25,10.5,9.02,-0.46,5.89,0.26,0.47,2.67,6.02,72.32,41.18,-174.5,-28,0,914,2445,,110.97,195.25,0.081208791,-0.004086207,0.077122584,274
258,261,192.33,10.46,9.01,-0.46,5.86,0.23,0.44,2.6,6.18,72.3,41.16,-174,-27,0,914,2450,,108.05,192.33,0.079942857,-0.004081897,0.075860961,261
259,250,189.21,10.35,9.01,-0.45,5.77,0.23,0.41,2.52,6.16,72.32,41.14,-171,-27.5,3,914,2455,,104.93,189.21,0.07861978,-0.004077586,0.074542194,250
260,240,186.57,10.25,9.01,-0.46,5.71,0.22,0.41,2.47,6.18,72.32,41.16,-168.5,-27,-3,914,2500,,102.29,186.57,0.077503297,-0.004081897,0.0734214,240
261,230,182.09,10.15,9.01,-0.46,5.62,0.18,0.37,2.33,6.16,72.32,41.16,-164.5,-26.5,0,914,2507,,97.81,182.09,0.075578022,-0.004081897,0.071496125,230
262,215,176.67,9.93,9.02,-0.46,5.49,0.15,0.35,2.2,6.16,72.34,41.16,-160,-26,0,914,2517,,92.39,176.67,0.073292308,-0.004086207,0.069206101,215
263,204,172.9,9.82,9.01,-0.46,5.32,0.15,0.33,2.09,6.12,72.32,41.16,-157,-25,-3,914,2523,,88.62,172.9,0.071683516,-0.004081897,0.06760162,204
264,197,169.62,9.62,9.03,-0.45,5.19,0.14,0.31,2.01,6.08,72.32,41.16,-154.5,-24.5,-3,914,2529,,85.34,169.62,0.07032967,-0.004086207,0.066243463,197
265,186,165.55,9.52,8.91,-0.46,5.04,0.11,0.3,1.89,6.08,72.32,41.18,-150.5,-24,0,914,2536,,81.27,165.55,0.068584615,-0.004038793,0.064545822,186
266,165,156.27,9.09,8.91,-0.46,4.52,0.06,0.27,1.61,5.98,72.32,41.16,-142.5,-23,0,914,2551,,71.99,156.27,0.064694505,-0.004038793,0.060655712,165
267,157,151.95,8.88,8.91,-0.47,4.3,0.03,0.26,1.48,5.96,72.32,41.16,-139.5,-22.5,0,914,2558,,67.67,151.95,0.062887912,-0.004043103,0.058844809,157
268,140,143.47,8.57,8.82,-0.44,3.82,-0.01,0.24,1.22,5.9,72.32,41.14,-131.5,-21.5,-3,914,2612,,59.19,143.47,0.059296703,-0.003991379,0.055305324,140
269,129,137.8,8.34,8.81,-0.45,3.5,-0.05,0.22,1.04,5.86,72.32,41.18,-125.5,-20,-3,914,2622,,53.52,137.8,0.056905495,-0.003991379,0.052914115,129
270,109,127.23,7.83,8.7,-0.45,2.94,-0.11,0.21,0.73,5.8,72.32,41.16,-116.5,-19.5,0,914,2640,,42.95,127.23,0.052483516,-0.003943966,0.048539551,109
271,98,120.89,7.52,8.7,-0.45,2.59,-0.13,0.21,0.56,5.76,72.3,41.16,-111,-18,-3,914,2650,,36.61,120.89,0.049832967,-0.003943966,0.045889002,98
272,85,113.57,7.2,8.69,-0.45,2.27,-0.16,0.2,0.39,5.7,72.32,41.14,-104.5,-18,-3,914,2702,,29.29,113.57,0.046756044,-0.003939655,0.042816389,85
273,79,110.4,7.1,8.59,-0.45,2.17,-0.18,0.2,0.31,5.66,72.34,41.16,-101.5,-17,-3,914,2708,,26.12,110.4,0.045406593,-0.003896552,0.041510042,79
274,71,105.29,6.89,8.6,-0.46,2,-0.21,0.2,0.19,5.64,72.34,41.14,-96.5,-16.5,-5,914,2716,,21.01,105.29,0.043252747,-0.003905172,0.039347575,71
275,62,99.59,6.56,8.6,-0.45,1.89,-0.24,0.2,0.07,5.6,72.3,41.16,-92,-15.5,0,914,2726,,15.31,99.59,0.040892308,-0.003900862,0.036991446,62
276,54,95.71,6.36,8.5,-0.45,1.8,-0.27,0.2,-0.01,5.56,72.32,41.16,-88,-15.5,-3,914,2732,,11.43,95.71,0.039274725,-0.003857759,0.035416967,54
277,49,92.42,6.25,8.48,-0.45,1.7,-0.3,0.19,-0.08,5.52,72.3,41.16,-85.5,-15,-3,914,2738,,8.14,92.42,0.037876923,-0.003849138,0.034027785,49
278,42,88.34,6.05,8.48,-0.45,1.6,-0.32,0.19,-0.16,5.48,72.3,41.14,-81.5,-14.5,0,914,2744,,4.06,88.34,0.036171429,-0.003849138,0.032322291,42
279,30,82.79,5.73,8.39,-0.46,1.48,-0.36,0.18,-0.28,5.44,72.32,41.16,-76,-13.5,-3,914,2754,,-1.49,82.79,0.033872527,-0.003814655,0.030057872,30
280,21,74.78,5.41,8.39,-0.45,1.28,-0.4,0.16,-0.46,5.36,72.36,41.16,-68.5,-12.5,-3,914,2807,,-9.5,74.78,0.030492308,-0.003810345,0.026681963,21
281,14,69.84,5.2,8.29,-0.44,1.14,-0.43,0.14,-0.56,5.28,72.28,41.14,-64,-11.5,-3,914,2816,,-14.44,69.84,0.028413187,-0.003762931,0.024650256,14
282,8,66.91,5.11,8.29,-0.45,1.08,-0.44,0.13,-0.6,5.22,72.32,41.16,-61.5,-11.5,-3,914,2821,,-17.37,66.91,0.027164835,-0.003767241,0.023397594,8
283,0,61.03,4.88,8.27,-0.44,0.91,-0.49,0.09,-0.66,5.14,72.34,41.16,-56.5,-11,0,914,2831,,-23.25,61.03,0.024681319,-0.00375431,0.020927008,0
,,,,,,,,,,,,,,,,,,,,,,,,
