#   T,  MAXX-1 ,   MAXY-1 ,   MAXA-1
     4.675    15.982    38.114   326.469
     4.700    16.010    37.818   326.625
     4.725    16.375    37.522   326.779
     4.750    16.719    37.227   326.931
     4.775    17.035    36.933   327.082
     4.800    17.316    36.641   327.230
     4.825    17.570    36.350   327.377
     4.850    17.840    36.061   327.522
     4.875    18.075    35.775   327.665
     4.900    18.267    35.490   327.806
     4.925    18.419    35.209   327.945
     4.950    18.534    34.952   328.083
     4.975    18.614    35.017   328.219
     5.000    18.662    35.080   328.353
