#   T,  MAXX-1 ,   MAXY-1 ,   MAXA-1
     4.550    61.359   156.236   673.508
     4.575    61.113   156.244   673.145
     4.600    60.832   156.243   672.789
     4.625    60.516   156.239   672.438
     4.650    60.169   156.229   672.092
     4.675    59.791   156.211   671.750
     4.700    59.386   156.185   671.412
     4.725    58.957   156.152   671.077
     4.750    58.509   156.110   670.746
     4.775    58.041   156.062   670.417
     4.800    57.560   156.005   670.090
     4.825    57.064   155.942   669.766
     4.850    56.558   155.871   669.443
     4.875    56.039   155.794   669.122
     4.900    55.509   155.710   668.802
     4.925    54.965   155.620   668.483
     4.950    54.408   155.523   668.165
     4.975    53.836   155.420   667.848
     5.000    53.250   155.311   667.531
