#   T,  MAXX-1 ,   MAXY-1 ,   MAXA-1
     4.575    29.528    83.106   846.407
     4.600    29.476    83.011   846.274
     4.625    29.422    82.915   846.140
     4.650    29.365    82.818   846.006
     4.675    29.306    82.721   845.872
     4.700    29.246    82.624   845.738
     4.725    29.183    82.525   845.603
     4.750    29.119    82.426   845.469
     4.775    29.053    82.327   845.334
     4.800    28.985    82.227   845.200
     4.825    28.919    82.127   845.065
     4.850    28.853    82.027   844.930
     4.875    28.786    81.926   844.796
     4.900    28.717    81.825   844.661
     4.925    28.646    81.723   844.527
     4.950    28.574    81.622   844.392
     4.975    28.501    81.520   844.258
     5.000    28.427    81.532   844.124
