#   T,  MAXX-1 ,   MAXY-1 ,   MAXA-1
     4.650    14.820    44.532   492.667
     4.675    14.729    44.642   492.616
     4.700    14.633    44.755   492.563
     4.725    14.532    44.862   492.507
     4.750    14.427    44.963   492.448
     4.775    14.317    45.058   492.387
     4.800    14.201    45.147   492.322
     4.825    14.081    45.243   492.255
     4.850    13.956    45.354   492.185
     4.875    13.828    45.467   492.113
     4.900    13.697    45.581   492.037
     4.925    13.655    45.697   491.958
     4.950    13.740    45.815   491.877
     4.975    13.824    45.933   491.793
     5.000    13.905    46.053   491.706
