#   T,  MAXX-1 ,   MAXY-1 ,   MAXA-1
     4.625    29.272    90.033   707.915
     4.650    29.016    89.760   708.445
     4.675    28.760    89.486   708.913
     4.700    28.504    89.211   709.322
     4.725    28.248    88.936   709.675
     4.750    28.038    88.661   709.974
     4.775    27.915    88.386   710.223
     4.800    27.787    88.110   710.423
     4.825    27.654    87.835   710.579
     4.850    27.520    87.560   710.691
     4.875    27.383    87.286   710.763
     4.900    27.242    87.012   710.797
     4.925    27.096    86.739   710.794
     4.950    26.947    86.466   710.759
     4.975    26.823    86.194   710.692
     5.000    26.735    85.923   710.595
