#   T,  MAXX-1 ,   MAXY-1 ,   MAXA-1
     4.675    21.789    37.497   263.260
     4.700    21.793    37.619   262.906
     4.725    21.797    37.738   262.554
     4.750    21.800    37.852   262.203
     4.775    21.801    37.963   261.854
     4.800    21.801    38.069   261.506
     4.825    21.799    38.172   261.161
     4.850    21.795    38.271   260.818
     4.875    21.790    38.367   260.476
     4.900    21.784    38.459   260.138
     4.925    21.776    38.548   259.801
     4.950    21.768    38.634   259.467
     4.975    21.758    38.717   259.136
     5.000    21.746    38.796   258.808
