#   T,  MAXX-1 ,   MAXY-1 ,   MAXA-1
     4.600    39.148    89.073   706.580
     4.625    39.123    89.170   706.576
     4.650    39.093    89.262   706.569
     4.675    39.063    89.348   706.562
     4.700    39.029    89.430   706.552
     4.725    38.990    89.507   706.541
     4.750    38.948    89.580   706.528
     4.775    38.903    89.647   706.514
     4.800    38.857    89.710   706.498
     4.825    38.807    89.769   706.480
     4.850    38.753    89.823   706.460
     4.875    38.695    89.872   706.439
     4.900    38.637    89.918   706.416
     4.925    38.577    89.960   706.391
     4.950    38.513    89.997   706.365
     4.975    38.445    90.031   706.336
     5.000    38.375    90.060   706.307
