#CTIME	DISP1	GAMMA1	VEL1	FORCE1	FORCETRI1	FORCESLIP1	ENERGY1	DISP2	GAMMA2	VEL2	FORCE2	FORCETRI2	FORCESLIP2	ENERGY2
0.7	-0.04486	-0.00016313	0.10191	-0.34302	-0.55407	-0.20778	0.0097712	-0.054115	-0.00021646	-0.07981	-0.28218	-0.4568	-0.1713	0.0076375
0.72	-0.044406	-0.00016147	-0.010213	-0.33937	-0.54818	-0.20557	0.0097712	-0.052661	-0.00021064	0.21697	-0.27491	-0.44501	-0.16688	0.0076948
0.74	-0.043535	-0.00015831	0.13618	-0.33295	-0.53779	-0.20167	0.0097712	-0.045928	-0.00018371	0.44192	-0.24003	-0.38855	-0.14571	0.0076948
0.76	-0.038976	-0.00014173	0.28081	-0.29833	-0.48187	-0.1807	0.0097712	-0.035568	-0.00014227	0.57867	-0.18614	-0.30131	-0.11299	0.0076948
0.78	-0.033763	-0.00012277	0.20705	-0.25837	-0.41733	-0.1565	0.0097712	-0.023456	-9.3824e-05	0.61399	-0.123	-0.19909	-0.074661	0.0076948
0.8	-0.031751	-0.00011546	-0.025165	-0.24264	-0.39192	-0.14697	0.0097712	-0.011816	-4.7264e-05	0.52865	-0.062192	-0.10066	-0.03775	0.0076948
0.82	-0.035687	-0.00012977	-0.39461	-0.27215	-0.4396	-0.16485	0.0097712	-0.003185	-1.274e-05	0.31231	-0.016944	-0.027423	-0.010284	0.0076948
0.84	-0.047768	-0.0001737	-0.79971	-0.36386	-0.58774	-0.2204	0.0097712	-0.00018705	-7.482e-07	-0.032153	-0.00094384	-0.0015285	-0.00057319	0.0076948
0.86	-0.065802	-0.00023928	-0.92639	-0.50149	-0.81006	-0.30377	0.016547	-0.0050702	-2.0281e-05	-0.46363	-0.025959	-0.042032	-0.015762	0.0076948
0.88	-0.08208	-0.00029847	-0.64311	-0.62634	-1.0117	-0.3794	0.025746	-0.018594	-7.4375e-05	-0.87312	-0.096066	-0.15553	-0.058324	0.0076948
0.9	-0.090284	-0.0003283	-0.17282	-0.68977	-1.1142	-0.41781	0.031149	-0.038883	-0.00015553	-1.1174	-0.20164	-0.32643	-0.12241	0.0076948
0.92	-0.089545	-0.00032562	0.21653	-0.68473	-1.106	-0.41475	0.031603	-0.061476	-0.0002459	-1.0928	-0.31951	-0.51724	-0.19397	0.0098565
0.94	-0.08372	-0.00030444	0.29434	-0.64033	-1.0343	-0.38786	0.031603	-0.080704	-0.00032282	-0.78875	-0.42012	-0.6801	-0.25504	0.016986
0.96	-0.078675	-0.00028609	0.23632	-0.60168	-0.97186	-0.36445	0.031603	-0.091802	-0.00036721	-0.30139	-0.47853	-0.77464	-0.29049	0.02198
0.98	-0.070972	-0.00025808	0.66861	-0.54346	-0.87782	-0.32918	0.031603	-0.092326	-0.00036931	0.2548	-0.48185	-0.78	-0.2925	0.022785
1	-0.04905	-0.00017836	1.5329	-0.37725	-0.60931	-0.22849	0.031603	-0.081391	-0.00032556	0.84393	-0.42543	-0.68866	-0.25825	0.022785
1.02	-0.011036	-4.013e-05	2.1927	-0.087727	-0.14165	-0.053119	0.031603	-0.05843	-0.00023372	1.4516	-0.3063	-0.49581	-0.18593	0.022785
1.04	0.035628	0.00012956	2.3999	0.2686	0.43392	0.16272	0.031603	-0.023644	-9.4575e-05	2.0101	-0.12545	-0.20303	-0.076138	0.022785
1.06	0.082325	0.00029937	2.2129	0.6258	1.0109	0.37908	0.031603	0.02089	8.356e-05	2.4058	0.10643	0.17233	0.064624	0.022785
1.08	0.12238	0.00044503	1.7617	0.93266	1.5065	0.56495	0.057238	0.070718	0.00028287	2.5226	0.36621	0.59286	0.22233	0.022785
1.1	0.15227	0.00055371	1.2309	1.1619	1.8768	0.7038	0.088607	0.11944	0.00047775	2.2891	0.62058	1.0046	0.37674	0.037204
1.12	0.17331	0.00063023	0.95088	1.3232	2.1373	0.80149	0.11479	0.16003	0.00064012	1.7225	0.83291	1.3483	0.50563	0.066791
1.14	0.19246	0.00069987	0.99305	1.4695	2.3736	0.8901	0.14156	0.18702	0.00074806	0.95951	0.97447	1.5775	0.59157	0.091216
1.16	0.21274	0.0007736	0.99213	1.6244	2.6239	0.98397	0.17295	0.19842	0.00079368	0.19608	1.0348	1.6751	0.62816	0.10268
1.18	0.23003	0.00083646	0.67565	1.7571	2.8381	1.0643	0.20221	0.1959	0.00078359	-0.41492	1.0223	1.6548	0.62056	0.10326
1.2	0.237	0.00086182	-0.052269	1.8115	2.926	1.0973	0.21471	0.18323	0.00073291	-0.81933	0.95659	1.5485	0.58069	0.10326
1.22	0.22606	0.00082205	-1.0599	1.7294	2.7935	1.0476	0.21471	0.16417	0.00065667	-1.0688	0.85744	1.388	0.52051	0.10326
1.24	0.19566	0.00071147	-1.912	1.4983	2.4202	0.90756	0.21471	0.14083	0.00056333	-1.2625	0.73593	1.1913	0.44674	0.10326
1.26	0.15266	0.00055511	-2.3059	1.1703	1.8903	0.70886	0.21471	0.11364	0.00045454	-1.4584	0.59427	0.96197	0.36074	0.10326
1.28	0.10568	0.00038428	-2.3618	0.81134	1.3105	0.49143	0.21471	0.082555	0.00033022	-1.6448	0.43235	0.69985	0.26245	0.10326
1.3	0.059093	0.00021488	-2.2817	0.45517	0.73516	0.27569	0.21471	0.048189	0.00019276	-1.7794	0.25323	0.4099	0.15371	0.10326
1.32	0.014968	5.4428e-05	-2.1179	0.11767	0.19001	0.071256	0.21471	0.012005	4.8019e-05	-1.8206	0.064539	0.10444	0.039165	0.10326
1.34	-0.025368	-9.2249e-05	-1.9154	-0.19093	-0.30845	-0.11567	0.21471	-0.023828	-9.5314e-05	-1.7417	-0.12245	-0.19826	-0.074348	0.10326
1.36	-0.06136	-0.00022313	-1.6697	-0.4664	-0.75339	-0.28252	0.21471	-0.05685	-0.0002274	-1.5411	-0.29491	-0.47742	-0.17904	0.10326
1.38	-0.091503	-0.00033274	-1.3262	-0.69731	-1.1264	-0.42239	0.21471	-0.084766	-0.00033907	-1.2347	-0.44084	-0.71365	-0.26762	0.10326
1.4	-0.11337	-0.00041225	-0.82745	-0.86519	-1.3975	-0.52408	0.21471	-0.10568	-0.00042271	-0.84377	-0.55032	-0.89087	-0.33408	0.10326
1.42	-0.12309	-0.00044762	-0.10384	-0.94065	-1.5194	-0.56977	0.21471	-0.11804	-0.00047216	-0.38051	-0.6153	-0.99605	-0.37352	0.10326
1.44	-0.11738	-0.00042685	0.64176	-0.89815	-1.4507	-0.54403	0.21471	-0.12041	-0.00048163	0.15457	-0.62822	-1.0169	-0.38136	0.10326
