#CTIME	DISP1	GAMMA1	VEL1	FORCE1	FORCETRI1	FORCESLIP1	ENERGY1	DISP2	GAMMA2	VEL2	FORCE2	FORCETRI2	FORCESLIP2	ENERGY2
3.04	-0.44527	-0.0016192	-2.2592	-2.7294	-3.8158	-2.0593	0.79659	-0.32522	-0.0013009	-0.97937	-1.5083	-2.2768	-1.0292	0.28458
3.06	-0.48908	-0.0017785	-2.2611	-2.8788	-3.893	-2.2621	0.9195	-0.33825	-0.001353	-0.34707	-1.5389	-2.2927	-1.0708	0.30444
3.08	-0.53723	-0.0019536	-2.4922	-3.0429	-3.9779	-2.4848	1.0621	-0.34032	-0.0013613	0.10595	-1.5437	-2.2948	-1.0777	0.3081
3.1	-0.58245	-0.002118	-1.7797	-3.1976	-4.0578	-2.6948	1.2033	-0.33543	-0.0013417	0.35046	-1.5185	-2.254	-1.0624	0.3081
3.12	-0.60083	-0.0021849	0.069284	-3.2642	-4.0976	-2.7816	1.2628	-0.32716	-0.0013086	0.46741	-1.4754	-2.1843	-1.0362	0.3081
3.14	-0.57919	-0.0021062	1.9865	-3.1018	-3.8351	-2.6832	1.2628	-0.31654	-0.0012662	0.61763	-1.4202	-2.0949	-1.0027	0.3081
3.16	-0.52659	-0.0019149	3.1267	-2.7015	-3.1886	-2.4408	1.2628	-0.30103	-0.0012041	0.97538	-1.3396	-1.9645	-0.95379	0.3081
3.18	-0.45759	-0.001664	3.748	-2.1751	-2.3383	-2.1219	1.2628	-0.27597	-0.0011039	1.5637	-1.2096	-1.754	-0.87484	0.3081
3.2	-0.37741	-0.0013724	4.2589	-1.5631	-1.3497	-1.7512	1.2628	-0.23742	-0.0009497	2.3088	-1.0093	-1.4297	-0.75325	0.3081
3.22	-0.28975	-0.0010536	4.3959	-0.89331	-0.26786	-1.3455	1.2628	-0.18336	-0.00073345	3.0897	-0.72813	-0.97458	-0.58256	0.3081
3.24	-0.20736	-0.00075405	3.6693	-0.2625	0.75105	-0.9634	1.2628	-0.1149	-0.00045961	3.7076	-0.37169	-0.39756	-0.36618	0.3081
3.26	-0.15013	-0.00054594	1.8736	0.17767	1.462	-0.69679	1.2628	-0.038021	-0.00015209	3.88	0.02914	0.2513	-0.12285	0.3081
3.28	-0.1386	-0.00050399	-0.84777	0.27003	1.6111	-0.64087	1.2628	0.035269	0.00014108	3.301	0.41204	0.87111	0.10958	0.3081
3.3	-0.18655	-0.00067835	-3.9479	-0.091662	1.0268	-0.85998	1.2628	0.087509	0.00035003	1.7534	0.68615	1.3148	0.27597	0.3081
3.32	-0.29486	-0.0010722	-6.8056	-0.9151	-0.30332	-1.3588	1.2628	0.098887	0.00039555	-0.76222	0.74815	1.4151	0.31359	0.3081
3.34	-0.45597	-0.0016581	-9.2465	-2.1427	-2.2862	-2.1024	1.2628	0.052304	0.00020921	-3.9791	0.50856	1.0272	0.16813	0.3081
3.36	-0.66251	-0.0024091	-11.383	-3.4639	-4.1957	-3.0566	1.4703	-0.061891	-0.00024756	-7.4105	-0.083463	0.068797	-0.19129	0.3081
3.38	-0.91375	-0.0033227	-13.821	-4.319	-4.6379	-4.2175	2.4502	-0.23761	-0.00095046	-9.9399	-0.99738	-1.4107	-0.7461	0.3081
3.4	-1.2185	-0.0044308	-16.682	-5.3562	-5.1743	-5.6255	3.9276	-0.45065	-0.0018026	-11.243	-1.7946	-2.4257	-1.4198	0.49209
3.42	-1.5774	-0.0057359	-19.038	-6.5785	-5.8065	-7.2849	6.0738	-0.68672	-0.0027469	-12.363	-2.342	-2.7102	-2.1666	0.98166
3.44	-1.9668	-0.0071519	-19.424	-7.9063	-6.4931	-9.0873	8.8992	-0.94488	-0.0037795	-13.432	-2.9407	-3.0213	-2.9834	1.6651
3.46	-2.334	-0.0084872	-16.768	-9.0607	-7.1631	-10.609	12.035	-1.2221	-0.0048885	-14.21	-3.5838	-3.3556	-3.8608	2.5714
3.48	-2.6226	-0.0095366	-11.818	-9.3078	-7.8334	-10.609	14.686	-1.5054	-0.0060218	-13.869	-4.2416	-3.6974	-4.7581	3.6818
3.5	-2.7956	-0.010166	-5.1954	-9.4566	-8.2369	-10.609	16.309	-1.7669	-0.0070677	-12.037	-4.8494	-4.0132	-5.5872	4.872
3.52	-2.8162	-0.010241	3.5475	-9.4064	-8.1746	-10.57	16.628	-1.9777	-0.0079107	-8.8153	-5.3401	-4.2682	-6.2566	5.9468
3.54	-2.6431	-0.0096114	13.848	-8.0996	-6.0636	-9.7781	16.628	-2.1083	-0.0084334	-3.9072	-5.6033	-4.4362	-6.5967	6.6644
3.56	-2.2678	-0.0082464	23.323	-5.2453	-1.453	-8.0491	16.628	-2.1186	-0.0084744	3.3202	-5.5567	-4.3815	-6.5564	6.7975
3.58	-1.7223	-0.006263	31.053	-3.3177	-0.31143	-5.5311	16.628	-1.9662	-0.0078646	11.871	-4.7705	-3.1087	-6.0791	6.7975
3.6	-1.0312	-0.0037498	37.948	-0.96554	0.90504	-2.3379	16.628	-1.6508	-0.0066032	19.378	-3.1335	-0.45867	-5.0853	6.7975
3.62	-0.20938	-0.00076137	44.14	0.95616	2.3522	0	16.628	-1.1999	-0.0047994	25.605	-1.9581	0.41292	-3.6614	6.7975
3.64	0.73683	0.0026794	50.364	3.5972	4.0188	3.4057	16.628	-0.63609	-0.0025444	30.734	-0.65204	1.0917	-1.8795	6.7975
3.66	1.7976	0.0065368	55.494	7.2175	5.9036	8.3118	16.701	0.029414	0.00011766	35.813	0.75551	1.8933	0	6.7975
3.68	2.9358	0.010676	57.8	9.5665	8.5373	10.609	26.723	0.80667	0.0032267	42.071	1.0823	2.8293	0	6.7975
3.7	4.0876	0.014864	56.643	10.549	11.204	10.609	38.319	1.7104	0.0068417	48.212	1.4624	3.918	0	6.7975
3.72	5.1732	0.018811	51.235	11.476	13.719	10.609	50.285	2.7299	0.01092	53.546	1.9946	5.4046	0	6.7975
3.74	6.1164	0.022241	42.726	12.282	15.906	10.609	61.498	3.8429	0.015372	57.492	2.6307	7.1654	0	9.1387
3.76	6.8729	0.024992	32.815	12.929	17.662	10.609	71.04	5.0187	0.020075	59.804	3.303	9.0262	0	12.636
3.78	7.4252	0.027001	22.333	13.403	18.946	10.609	78.314	6.2234	0.024894	60.368	3.992	10.933	0	17.039
3.8	7.765	0.028236	11.667	13.694	19.737	10.609	82.919	7.4214	0.029686	59.138	4.6775	12.83	0	22.241
3.82	7.8957	0.028712	1.5553	13.808	20.044	10.609	84.716	8.5772	0.034309	56.188	5.1917	14.293	0	28.02
3.84	7.8312	0.028477	-7.8601	13.319	19.249	10.318	84.751	9.6653	0.038661	52.527	5.125	14.293	0	33.632
3.86	7.5914	0.027605	-15.764	11.499	16.308	9.2154	84.751	10.671	0.042682	47.722	5.0634	14.293	0	38.753
3.88	7.2189	0.02625	-20.99	9.0879	12.792	7.4956	84.751	11.561	0.046242	40.932	5.0089	14.293	0	43.235
3.9	6.7674	0.024609	-23.776	7.5502	11.997	5.4081	84.751	12.3	0.049202	32.919	4.9636	14.293	0	46.924
3.92	6.284	0.022851	-24.138	5.902	11.144	3.1706	84.751	12.872	0.051488	24.13	4.9285	14.293	0	49.752
3.94	5.8166	0.021151	-22.293	4.3067	10.319	1.005	84.751	13.262	0.053046	14.728	4.9047	14.293	0	51.667
3.96	5.399	0.019633	-19.507	3.4392	9.5819	0	84.751	13.459	0.053837	5.0947	4.8926	14.293	0	52.635
3.98	5.03	0.018291	-17.596	3.2055	8.9305	0	84.751	13.47	0.053881	-3.8608	4.8464	14.179	0	52.773
4	4.6867	0.017042	-16.965	2.9882	8.3247	0	84.751	13.313	0.053252	-11.566	4.3304	12.865	0	52.773
4.02	4.3413	0.015787	-17.845	2.7699	7.7159	0	84.751	13.022	0.052088	-17.144	3.3685	10.416	0	52.773
4.04	3.964	0.014415	-19.992	2.5315	7.0512	0	84.751	12.64	0.050561	-20.934	3.034	9.5212	0	52.773
4.06	3.5384	0.012867	-22.641	2.2627	6.3015	0	84.751	12.187	0.048748	-24.347	2.8434	8.9751	0	52.773
4.08	3.0561	0.011113	-25.63	1.9043	5.3177	0	84.751	11.668	0.046674	-27.453	2.6253	8.3505	0	52.773
4.1	2.5122	0.0091354	-28.767	1.441	4.0604	0	84.751	11.09	0.04436	-30.352	2.382	7.6535	0	52.773
4.12	1.9041	0.0069239	-32.101	0.92283	2.6541	0	84.751	10.456	0.041822	-33.08	2.1149	6.8887	0	52.773
4.14	1.2247	0.0044534	-35.96	0.34404	1.0833	0	84.751	9.7678	0.039071	-35.677	1.8255	6.0597	0	52.773
4.16	0.46006	0.001673	-40.664	-0.30733	-0.68446	0	84.751	9.0289	0.036116	-38.192	1.4721	5.0633	0	52.773
4.18	-0.40744	-0.0014816	-46.196	-1.0463	-2.69	0	84.751	8.2414	0.032966	-40.526	1.022	3.8173	0	52.773
4.2	-1.3838	-0.0050321	-51.013	-4.2289	-4.9479	-3.9177	84.751	7.4033	0.029613	-43.669	0.54292	2.4912	0	52.773
4.22	-2.4282	-0.00883	-52.901	-8.0194	-7.3646	-8.7511	84.751	6.4795	0.025918	-49.059	0.015203	1.0305	0	52.773
4.24	-3.4819	-0.012661	-52.3	-10.033	-9.8038	-10.609	84.751	5.4307	0.021723	-55.781	-0.58392	-0.62799	0	52.773
4.26	-4.5202	-0.016437	-51.559	-10.919	-12.208	-10.609	88.084	4.2559	0.017024	-61.485	-1.2552	-2.486	0	52.773
4.28	-5.5454	-0.020165	-50.988	-11.794	-14.581	-10.609	99.736	2.9796	0.011918	-65.941	-1.9847	-4.5054	0	52.773
4.3	-6.5572	-0.023844	-50.051	-12.657	-16.924	-10.609	112.12	1.6267	0.0065066	-69.141	-2.7582	-6.6463	0	52.773
4.32	-7.5366	-0.027406	-47.496	-13.493	-19.192	-10.609	124.93	0.22254	0.00089017	-71.048	-3.5611	-8.8687	0	52.773
4.34	-8.4433	-0.030703	-43.026	-14.267	-21.293	-10.609	137.52	-1.1954	-0.0047816	-69.624	-6.5292	-11.114	-3.5947	57.613
4.36	-9.252	-0.033644	-37.591	-14.886	-22.987	-10.609	149.34	-2.5174	-0.01007	-61.733	-9.0877	-13.21	-6.5967	68.308
4.38	-9.9313	-0.036114	-29.933	-14.836	-22.987	-10.609	159.44	-3.653	-0.014612	-51.755	-9.4514	-14.293	-6.5967	78.937
4.4	-10.435	-0.037945	-20.175	-14.8	-22.987	-10.609	166.9	-4.59	-0.01836	-42.024	-9.394	-14.293	-6.5967	87.767
4.42	-10.73	-0.039019	-9.2192	-14.778	-22.987	-10.609	171.27	-5.3364	-0.021346	-32.662	-9.3483	-14.293	-6.5967	94.761
4.44	-10.799	-0.039268	2.5017	-14.77	-22.983	-10.606	172.36	-5.8983	-0.023593	-23.575	-9.3138	-14.293	-6.5967	100
4.46	-10.629	-0.03865	14.406	-13.488	-20.913	-9.8301	172.36	-6.2779	-0.025111	-14.204	-9.2906	-14.293	-6.5967	103.54
4.48	-10.231	-0.037202	25.1	-10.462	-16.025	-7.9972	172.36	-6.4543	-0.025817	-3.0143	-9.2798	-14.293	-6.5967	105.17
4.5	-9.6324	-0.035027	34.711	-8.3917	-14.88	-5.2367	172.36	-6.3855	-0.025542	9.9761	-8.907	-13.701	-6.3634	105.24
4.52	-8.8401	-0.032146	44.614	-5.6968	-13.486	-1.5781	172.36	-6.0597	-0.024239	22.307	-7.2206	-10.97	-5.3395	105.24
4.54	-7.842	-0.028517	55.458	-4.1201	-11.73	0	172.36	-5.5089	-0.022035	32.384	-5.5777	-9.3855	-3.6017	105.24
4.56	-6.6097	-0.024035	68.034	-3.3424	-9.5606	0	172.36	-4.7829	-0.019132	39.71	-3.8963	-8.5116	-1.3078	105.24
4.58	-5.1158	-0.018603	81.217	-2.1597	-6.3317	0	172.36	-3.9389	-0.015756	44.525	-2.7565	-7.4947	0	105.24
4.6	-3.3783	-0.012285	91.929	-0.67958	-2.3147	0	172.36	-2.9982	-0.011993	49.672	-2.3608	-6.3611	0	105.24
4.62	-1.4674	-0.005336	98.339	0.94923	2.1056	0	172.36	-1.9482	-0.0077927	55.385	-1.8694	-4.9719	0	105.24
4.64	0.52443	0.001907	100.11	2.648	6.7155	0	172.36	-0.78303	-0.0031321	61.082	-1.2036	-3.129	0	105.24
4.66	2.5118	0.0091338	98.192	4.3436	11.317	0	172.36	0.49107	0.0019643	65.926	0.44868	-1.1134	1.5402	105.24
4.68	4.4458	0.016167	95.132	5.9938	15.795	0	172.36	1.8175	0.0072701	65.725	3.7276	0.9867	5.7404	105.24
4.7	6.3106	0.022947	90.725	9.5086	20.113	3.2055	172.53	3.0928	0.012371	61.992	4.9713	3.0069	6.5967	105.24
4.72	8.035	0.029218	80.847	14.975	22.987	10.609	194.3	4.3237	0.017295	61.689	5.6755	4.9559	6.5967	105.24
4.74	9.5352	0.034673	69.258	14.865	22.987	10.609	216.68	5.5575	0.02223	61.294	6.3813	6.9093	6.5967	107.84
4.76	10.806	0.039296	57.82	14.773	22.987	10.609	235.52	6.7607	0.027043	58.676	7.0698	8.815	6.5967	115.94
4.78	11.846	0.043077	46.124	14.697	22.987	10.609	250.84	7.8916	0.031566	54.112	7.7173	10.607	6.5967	124.31
4.8	12.65	0.046002	34.289	14.638	22.987	10.609	262.63	8.9141	0.035656	47.892	8.303	12.228	6.5967	132.51
4.82	13.218	0.048065	22.466	14.597	22.987	10.609	270.93	9.7983	0.039193	40.334	8.8098	13.63	6.5967	140.08
4.84	13.551	0.049275	10.867	14.573	22.987	10.609	275.78	10.521	0.042084	31.871	9.0306	14.293	6.5967	146.57
4.86	13.656	0.049659	-0.1608	14.597	23.052	10.62	277.32	11.074	0.044296	23.45	8.9967	14.293	6.5967	151.55
4.88	13.552	0.049281	-9.9266	13.817	21.792	10.147	277.32	11.46	0.045838	15.021	8.9731	14.293	6.5967	155.02
4.9	13.276	0.048278	-17.123	11.721	18.405	8.8772	277.32	11.667	0.04667	5.5107	8.9604	14.293	6.5967	156.88
4.92	12.892	0.046882	-20.676	9.5697	15.62	7.1028	277.32	11.668	0.046672	-5.6358	8.8523	14.089	6.5527	157.13
4.94	12.467	0.045333	-21.563	8.1179	14.869	5.1319	277.32	11.447	0.045788	-16.106	7.7107	12.241	5.8597	157.13
4.96	12.039	0.043777	-21.07	6.6588	14.114	3.1512	277.32	11.045	0.04418	-23.534	5.9768	9.7475	4.5908	157.13
4.98	11.63	0.04229	-19.763	5.2628	13.392	1.256	277.32	10.52	0.042081	-28.597	4.7616	9.116	2.933	157.13
5	11.25	0.040908	-18.26	4.2686	12.722	0	277.32	9.9154	0.039662	-31.481	3.3589	8.3869	1.0193	157.13
5.02	10.895	0.039618	-17.26	4.044	12.096	0	277.32	9.2806	0.037123	-31.695	2.4799	7.6213	0	157.13
5.04	10.561	0.038403	-16.125	3.8325	11.506	0	277.32	8.6515	0.034606	-31.148	2.2149	6.8623	0	157.13
5.06	10.251	0.037275	-14.889	3.6361	10.958	0	277.32	8.0374	0.032149	-30.207	1.9561	6.1212	0	157.13
5.08	9.9661	0.03624	-13.52	3.456	10.456	0	277.32	7.4457	0.029783	-28.904	1.6958	5.38	0	157.13
5.1	9.7104	0.035311	-12.042	3.2941	10.005	0	277.32	6.8843	0.027537	-27.155	1.3745	4.4906	0	157.13
5.12	9.483	0.034484	-10.767	3.15	9.6034	0	277.32	6.3624	0.02545	-24.959	1.0757	3.6638	0	157.13
5.14	9.2752	0.033728	-10.174	3.0185	9.2367	0	277.32	5.8882	0.023553	-22.42	0.80411	2.9122	0	157.13
5.16	9.0669	0.032971	-10.95	2.8868	8.8696	0	277.32	5.467	0.021868	-19.685	0.56282	2.2444	0	157.13
5.18	8.8266	0.032097	-13.315	2.6828	8.3157	0	277.32	5.1007	0.020403	-16.962	0.35297	1.6637	0	157.13
5.2	8.5287	0.031013	-16.527	2.4293	7.6276	0	277.32	4.7871	0.019148	-14.449	0.17323	1.1663	0	157.13
5.22	8.164	0.029687	-19.964	2.1189	6.7851	0	277.32	4.5205	0.018082	-12.265	0.020504	0.74366	0	157.13
5.24	7.7301	0.028109	-23.41	1.7493	5.7821	0	277.32	4.2937	0.017175	-10.494	-0.10948	0.38395	0	157.13
5.26	7.2325	0.0263	-26.123	1.3254	4.6317	0	277.32	4.0977	0.016391	-9.1805	-0.22176	0.073227	0	157.13
5.28	6.6953	0.024346	-27.318	0.86735	3.3886	0	277.32	3.9237	0.015695	-8.287	-0.32143	-0.2026	0	157.13
5.3	6.149	0.02236	-27.135	0.40134	2.124	0	277.32	3.764	0.015056	-7.7283	-0.41283	-0.45556	0	157.13
5.32	5.614	0.020415	-26.33	-0.05515	0.88531	0	277.32	3.6128	0.014451	-7.4276	-0.49935	-0.695	0	157.13
5.34	5.0946	0.018526	-25.711	-0.49837	-0.31742	0	277.32	3.4654	0.013862	-7.3453	-0.58366	-0.92835	0	157.13
5.36	4.5812	0.016659	-25.744	-0.93625	-1.5057	0	277.32	3.3176	0.01327	-7.4816	-0.66824	-1.1625	0	157.13
5.38	4.0617	0.01477	-26.237	-1.3793	-2.7079	0	277.32	3.1646	0.012659	-7.8487	-0.75566	-1.4044	0	157.13
5.4	3.5309	0.01284	-26.848	-1.8319	-3.9363	0	277.32	3.0021	0.012008	-8.4389	-0.84855	-1.6616	0	157.13
5.42	2.9865	0.01086	-27.648	-2.2962	-5.1961	0	277.32	2.8257	0.011303	-9.2337	-0.94935	-1.9406	0	157.13
5.44	2.4222	0.0088079	-28.873	-2.7774	-6.5019	0	277.32	2.6315	0.010526	-10.226	-1.0604	-2.2478	0	157.13
5.46	1.8285	0.0066492	-30.563	-3.2834	-7.8753	0	277.32	2.4153	0.0096613	-11.421	-1.1838	-2.5896	0	157.13
5.48	1.1979	0.0043559	-32.522	-3.821	-9.3343	0	277.32	2.1733	0.008693	-12.818	-1.3221	-2.9724	0	157.13
5.5	0.52872	0.0019226	-34.32	-4.3915	-10.882	0	277.32	1.9014	0.0076054	-14.4	-1.4775	-3.4024	0	157.13
5.52	-0.17002	-0.00061824	-35.38	-4.9873	-12.499	0	277.32	1.5964	0.0063855	-16.113	-1.6517	-3.8847	0	157.13
5.54	-0.87887	-0.0031959	-35.299	-5.592	-14.14	0	277.32	1.2566	0.0050263	-17.863	-1.8458	-4.4221	0	157.13
5.56	-1.5744	-0.005725	-34.079	-6.1855	-15.751	0	277.32	0.88238	0.0035295	-19.534	-2.0597	-5.0141	0	157.13
5.58	-2.2354	-0.0081288	-31.87	-6.7498	-17.282	0	277.32	0.47649	0.001906	-21.013	-2.2917	-5.6562	0	157.13
5.6	-2.8428	-0.010338	-28.712	-7.2685	-18.689	0	277.32	0.043858	0.00017543	-22.191	-2.539	-6.3408	0	157.13
5.62	-3.3787	-0.012286	-24.765	-7.7263	-19.931	0	279.56	-0.40844	-0.0016338	-22.964	-2.7976	-7.0566	0	157.13
5.64	-3.8313	-0.013932	-20.492	-8.1132	-20.981	0	283.15	-0.87148	-0.0034859	-23.255	-3.0624	-7.7896	0	157.13
5.66	-4.1991	-0.01527	-16.338	-8.4277	-21.835	0	286.19	-1.3352	-0.0053408	-23.03	-3.3277	-8.5238	0	157.13
5.68	-4.4857	-0.016312	-12.317	-8.6729	-22.5	0	288.64	-1.7892	-0.0071568	-22.284	-3.5875	-9.2429	0	157.13
5.7	-4.6923	-0.017063	-8.366	-8.8499	-22.98	0	290.45	-2.2231	-0.0088925	-21.024	-3.8359	-9.9303	0	157.13
5.72	-4.8239	-0.017542	-4.9493	-8.8431	-22.987	0	291.62	-2.6265	-0.010506	-19.218	-4.0669	-10.569	0	157.13
5.74	-4.8959	-0.017803	-2.3751	-8.8379	-22.987	0	292.25	-2.9886	-0.011954	-16.926	-4.2743	-11.143	0	157.13
5.76	-4.9222	-0.017899	-0.30009	-8.836	-22.987	0	292.49	-3.3012	-0.013205	-14.293	-4.4535	-11.639	0	157.13
5.78	-4.9076	-0.017846	1.808	-8.766	-22.809	0	292.49	-3.5588	-0.014235	-11.414	-4.6011	-12.048	0	157.53
5.8	-4.8494	-0.017634	3.994	-8.4851	-22.097	0	292.49	-3.7557	-0.015023	-8.2226	-4.7142	-12.361	0	158.45
5.82	-4.7518	-0.017279	5.5895	-8.0117	-20.895	0	292.49	-3.8851	-0.01554	-4.6479	-4.7886	-12.567	0	159.06
5.84	-4.6328	-0.016847	6.1368	-7.4336	-19.428	0	292.49	-3.9393	-0.015757	-0.72447	-4.8201	-12.654	0	159.33
5.86	-4.5091	-0.016397	6.2737	-6.8318	-17.901	0	292.49	-3.9125	-0.01565	3.4032	-4.7405	-12.45	0	159.33
5.88	-4.3806	-0.015929	6.6085	-6.2066	-16.315	0	292.49	-3.8051	-0.01522	7.2506	-4.3868	-11.55	0	159.33
5.9	-4.2439	-0.015432	7.1116	-5.9832	-15.731	0	292.49	-3.6284	-0.014514	10.181	-3.8029	-10.063	0	159.33
5.92	-4.0882	-0.014866	8.7846	-5.8849	-15.457	0	292.49	-3.4083	-0.013633	11.563	-3.0898	-8.2465	0	159.33
5.94	-3.8797	-0.014108	12.383	-5.7536	-15.091	0	292.49	-3.1705	-0.012682	12.227	-2.9897	-7.9598	0	159.33
5.96	-3.5854	-0.013038	17.102	-5.5681	-14.574	0	292.49	-2.9185	-0.011674	13.004	-2.8836	-7.656	0	159.33
5.98	-3.1986	-0.011631	21.376	-5.324	-13.893	0	292.49	-2.6493	-0.010597	13.941	-2.7703	-7.3315	0	159.33
6	-2.7389	-0.0099595	24.372	-5.0336	-13.083	0	292.49	-2.36	-0.00944	15.002	-2.6485	-6.9828	0	159.33
6.02	-2.2306	-0.0081113	26.337	-4.7124	-12.188	0	292.49	-2.0488	-0.0081953	16.119	-2.5176	-6.6077	0	159.33
6.04	-1.6897	-0.0061444	27.653	-4.3704	-11.234	0	292.49	-1.7152	-0.0068606	17.246	-2.3771	-6.2055	0	159.33
6.06	-1.1292	-0.0041062	28.266	-4.016	-10.246	0	292.49	-1.3592	-0.0054368	18.34	-2.2273	-5.7764	0	159.33
6.08	-0.5623	-0.0020447	28.396	-3.6574	-9.2459	0	292.49	-0.98212	-0.0039285	19.352	-2.0685	-5.3218	0	159.33
6.1	0.0054156	1.9693e-05	28.333	-3.2236	-8.058	0	292.49	-0.58572	-0.0023429	20.281	-1.9017	-4.8438	0	159.33
6.12	0.56435	0.0020522	27.278	-2.7466	-6.7637	0	292.49	-0.17107	-0.00068428	21.172	-1.7271	-4.3439	0	159.33
6.14	1.084	0.0039419	24.346	-2.3028	-5.5595	0	292.49	0.26017	0.0010407	21.914	-1.5413	-3.8133	0	159.33
6.16	1.5283	0.0055574	19.923	-1.923	-4.529	0	292.49	0.70292	0.0028117	22.277	-1.2881	-3.1125	0	159.33
6.18	1.8797	0.0068353	15.312	-1.6224	-3.7134	0	292.49	1.1477	0.0045906	22.107	-1.0336	-2.4083	0	159.33
6.2	2.148	0.0078109	11.782	-1.3929	-3.0908	0	292.49	1.5837	0.0063347	21.415	-0.78414	-1.7178	0	159.33
6.22	2.3613	0.0085866	9.7993	-1.2106	-2.5961	0	292.49	2.0014	0.0080054	20.29	-0.54508	-1.0562	0	159.33
6.24	2.5494	0.0092706	9.2362	-1.05	-2.1604	0	292.49	2.3932	0.0095729	18.855	-0.32074	-0.43529	0	159.33
6.26	2.7398	0.0099629	10.03	-0.88775	-1.72	0	292.49	2.7544	0.011018	17.243	-0.11395	0.13701	0	159.33
6.28	2.9608	0.010766	12.346	-0.69968	-1.2096	0	292.49	3.0828	0.012331	15.604	0.074095	0.65741	0	159.33
6.3	3.2457	0.011803	16.473	-0.45739	-0.55194	0	292.49	3.3795	0.013518	14.113	0.24404	1.1277	0	159.33
6.32	3.6318	0.013206	22.41	-0.12919	0.33892	0	292.49	3.6496	0.014598	12.968	0.39867	1.5557	0	159.33
6.34	4.151	0.015095	29.685	0.31239	1.5375	0	292.49	3.9018	0.015607	12.35	0.54299	1.9551	0	159.33
6.36	4.824	0.017542	37.697	0.88501	3.0917	0	292.49	4.1481	0.016592	12.4	0.68387	2.345	0	159.33
6.38	5.6615	0.020587	46.106	1.5978	5.0264	0	292.49	4.4029	0.017611	13.214	0.82953	2.7482	0	159.33
6.4	6.671	0.024258	54.92	2.4573	7.359	0	292.49	4.6821	0.018729	14.857	0.98908	3.1898	0	159.33
6.42	7.8602	0.028583	64.022	3.47	10.108	0	292.49	5.003	0.020012	17.376	1.1723	3.697	0	159.33
6.44	9.2259	0.033549	72.241	4.6335	13.265	0	292.49	5.383	0.021532	20.762	1.3892	4.2976	0	159.33
6.46	10.728	0.039012	77.216	5.914	16.74	0	292.49	5.8383	0.023353	24.863	1.6492	5.0171	0	159.33
6.48	12.275	0.044638	76.042	9.7257	20.322	4.1528	293.77	6.3829	0.025531	30.046	1.96	5.8776	0	159.33
6.5	13.705	0.049835	65.338	14.561	22.987	10.609	311.41	7.063	0.028252	38.396	2.348	6.9518	0	159.33
6.52	14.856	0.054021	49.446	14.477	22.987	10.609	328.13	7.9134	0.031654	46.166	2.8335	8.2957	0	159.33
6.54	15.681	0.05702	33.257	14.417	22.987	10.609	340.04	8.8906	0.035562	51.09	3.3918	9.8412	0	159.33
6.56	16.194	0.058888	18.334	14.38	22.987	10.609	347.44	9.9389	0.039756	53.152	4.5981	11.5	1.0116	160.74
6.58	16.425	0.059727	4.8882	14.363	22.987	10.609	350.75	10.977	0.043907	49.578	7.1652	13.144	4.2999	166.87
6.6	16.403	0.059647	-6.5957	14.102	22.503	10.494	351.03	11.885	0.047538	40.464	8.9471	14.293	6.5967	174.37
6.62	16.182	0.058844	-14.739	12.428	19.799	9.4803	351.03	12.584	0.050338	29.367	8.9042	14.293	6.5967	180.62
6.64	15.844	0.057614	-18.336	9.9459	15.877	7.9168	351.03	13.05	0.052201	16.971	8.8757	14.293	6.5967	184.76
6.66	15.474	0.05627	-18.072	8.6857	15.226	6.2061	351.03	13.259	0.053037	3.934	8.8629	14.293	6.5967	186.61
6.68	15.143	0.055065	-14.557	7.553	14.64	4.6684	351.03	13.209	0.052837	-8.7724	8.5587	13.794	6.4171	186.72
6.7	14.905	0.0542	-9.0709	6.7383	14.218	3.5626	351.03	12.925	0.0517	-19.014	7.0864	11.411	5.5233	186.72
6.72	14.778	0.05374	-3.7188	6.3024	13.993	2.971	351.03	12.48	0.049919	-24.871	5.5375	9.5795	4.1171	186.72
6.74	14.749	0.053635	0.55382	6.1995	13.937	2.8333	351.03	11.951	0.047804	-27.461	4.3117	8.9425	2.4448	186.72
6.76	14.784	0.053762	2.4215	6.4638	14.364	2.9934	351.03	11.403	0.045611	-26.832	3.0388	8.281	0.70841	186.72
6.78	14.823	0.053903	0.93056	6.7637	14.848	3.175	351.03	10.896	0.043584	-23.65	2.4	7.6688	0	186.72
6.8	14.803	0.05383	-3.3633	6.6163	14.61	3.0857	351.03	10.458	0.041831	-20.227	2.215	7.1394	0	186.72
6.82	14.676	0.053366	-9.6896	5.9558	13.814	2.5002	351.03	10.082	0.040328	-17.502	2.0565	6.6855	0	186.72
6.84	14.406	0.052386	-17.393	5.043	13.342	1.2609	351.03	9.751	0.039004	-15.805	1.9169	6.2858	0	186.72
6.86	13.975	0.050817	-25.895	4.0147	12.584	0	351.03	9.4403	0.037761	-15.483	1.786	5.911	0	186.72
6.88	13.363	0.048594	-35.389	3.6292	11.509	0	351.03	9.1268	0.036507	-15.972	1.654	5.5329	0	186.72
6.9	12.557	0.04566	-45.291	3.1203	10.089	0	351.03	8.7974	0.03519	-17.062	1.4697	5.0218	0	186.72
6.92	11.552	0.042007	-55.157	2.4206	8.1569	0	351.03	8.4404	0.033762	-18.745	1.2657	4.4571	0	186.72
6.94	10.354	0.03765	-64.5	1.4004	5.3881	0	351.03	8.0424	0.03217	-21.195	1.0383	3.8277	0	186.72
