CB1 GMAX1 GMAX2 CEMAX1 CEMAX2
0.50000E-01 0.72729E+00 0.46707E+00 0.92500E+02 0.26447E+02
0.10000E+00 0.54081E-01 0.32447E-01 0.22931E+03 0.59112E+02
0.15000E+00 0.42250E-01 0.37971E-01 0.30591E+03 0.10746E+03
0.20000E+00 0.44678E-01 0.30775E-01 0.39502E+03 0.14361E+03
0.30000E+00 0.44231E-01 0.38971E-01 0.54079E+03 0.20422E+03
0.40000E+00 0.57969E-01 0.36115E-01 0.66499E+03 0.20822E+03
0.50000E+00 0.72949E-01 0.23407E-01 0.69306E+03 0.12938E+03
0.60000E+00 0.56687E-01 0.36157E-01 0.64606E+03 0.18485E+03
0.70000E+00 0.48974E-01 0.33231E-01 0.64721E+03 0.17330E+03
0.80000E+00 0.41236E-01 0.29970E-01 0.60847E+03 0.18895E+03
0.90000E+00 0.36926E-01 0.73974E-02 0.64153E+03 0.75926E+02
0.10000E+01 0.18667E-01 0.65626E-02 0.41281E+03 0.72929E+02
