CH_000	Def_Angle_1_14
1032	0.0053992673992674
1112	0.00572161172161172
1267	0.00635164835164835
1427	0.00697435897435897
1507	0.00728937728937729
1622	0.00783882783882784
1597	0.00786080586080586
1297	0.00782417582417583
981	0.00726007326007326
841	0.00696703296703297
601	0.00638095238095238
416	0.00579487179487179
341	0.00548717948717949
225	0.00487179487179487
145	0.00429304029304029
115	0.00399267399267399
65	0.0033992673992674
40	0.0030989010989011
5	0.0025054945054945
-25	0.00196336996336996
-50	0.00171428571428571
-105	0.00120879120879121
-160	0.000600732600732601
-190	0.000293040293040293
-245	-0.00032967032967033
-280	-0.000644688644688645
-361	-0.00125274725274725
-451	-0.00186080586080586
-506	-0.00216849816849817
-611	-0.00277655677655678
-726	-0.00337728937728938
-791	-0.00368498168498169
-926	-0.00430769230769231
-1077	-0.00491575091575092
-1157	-0.00523809523809524
-1317	-0.00585347985347985
-1402	-0.00616849816849817
-1562	-0.00677655677655678
-1602	-0.00706227106227106
-1527	-0.00706227106227106
-1217	-0.00679120879120879
-951	-0.00616849816849817
-831	-0.00586080586080586
-626	-0.00525274725274725
-536	-0.00495238095238095
-386	-0.00436630036630037
-260	-0.00377289377289377
-210	-0.00347252747252747
-130	-0.00287179487179487
-60	-0.00226373626373626
-35	-0.00197069597069597
-5	-0.00142857142857143
15	-0.00119413919413919
55	-0.000695970695970696
105	-0.000161172161172161
110	-3.66300366300366e-05
170	0.000461538461538462
275	0.00168498168498169
351	0.00234432234432234
556	0.00364102564102564
836	0.00491575091575092
1002	0.00557509157509158
1337	0.00687912087912088
1517	0.00753113553113553
1803	0.00881318681318681
1983	0.0101391941391941
2063	0.0108717948717949
2188	0.0122124542124542
2298	0.0135604395604396
2349	0.0142490842490842
2429	0.0155824175824176
2419	0.0161172161172161
2123	0.0161465201465201
1442	0.0151208791208791
1167	0.0144981684981685
721	0.0132673992673993
401	0.012007326007326
290	0.0113479853479853
160	0.0100659340659341
115	0.00942124542124542
45	0.00812454212454212
5	0.00686446886446887
-10	0.00621245421245421
-50	0.00495238095238095
-105	0.00373626373626374
-140	0.00306959706959707
-210	0.00172893772893773
-245	0.00105494505494506
-336	-0.000263736263736264
-466	-0.00154578754578755
-546	-0.00219047619047619
-736	-0.00347252747252747
-976	-0.00474725274725275
-1127	-0.00541391941391941
-1422	-0.0066959706959707
-1688	-0.00794871794871795
-1783	-0.00862271062271062
-1933	-0.00995604395604396
-1998	-0.0106373626373626
-2108	-0.011992673992674
-2208	-0.0133333333333333
-2248	-0.014014652014652
-2268	-0.0152600732600733
-2073	-0.0153260073260073
-1738	-0.0149230769230769
-1202	-0.0136703296703297
-976	-0.013040293040293
-626	-0.0118168498168498
-371	-0.0105714285714286
-280	-0.00993406593406593
-155	-0.00863736263736264
-90	-0.00728937728937729
-70	-0.00659340659340659
-25	-0.00526739926739927
0	-0.00401465201465202
15	-0.00340659340659341
35	-0.00218315018315018
55	-0.00158241758241758
110	-0.000351648351648352
110	-2.93040293040293e-05
145	0.00043956043956044
205	0.00173626373626374
275	0.00301098901098901
320	0.00367765567765568
416	0.004996336996337
531	0.00632234432234432
606	0.00701831501831502
776	0.00834432234432234
876	0.00901831501831502
1087	0.0103369963369963
1312	0.0116483516483517
1437	0.0123150183150183
1688	0.0136190476190476
1943	0.0149157509157509
2063	0.0155897435897436
2078	0.0162344322344322
1923	0.0162417582417582
1277	0.0152820512820513
801	0.0140732600732601
606	0.0134285714285714
336	0.0121538461538462
185	0.0108571428571429
140	0.0102197802197802
65	0.00892307692307692
20	0.00763369963369963
5	0.00697435897435897
-15	0.00567765567765568
-30	0.00501098901098901
-70	0.00377289377289377
-105	0.00249084249084249
-120	0.0018021978021978
-155	0.000483516483516484
-180	-0.00084981684981685
-200	-0.00153113553113553
-260	-0.00284981684981685
-295	-0.00351648351648352
-386	-0.00481318681318681
-496	-0.00610989010989011
-566	-0.00677655677655678
-325	-0.00818315018315018
-491	-0.00950915750915751
-581	-0.0101904761904762
-741	-0.0115384615384615
-906	-0.0128717948717949
-1002	-0.0135604395604396
-1212	-0.0148644688644689
-1312	-0.0154871794871795
-1227	-0.0156117216117216
-731	-0.0146666666666667
-561	-0.014014652014652
-325	-0.0127326007326007
-200	-0.0114358974358974
-180	-0.0107472527472527
-140	-0.00942124542124542
-120	-0.00873992673992674
-95	-0.00737728937728938
-60	-0.006
-40	-0.00531135531135531
-15	-0.00402197802197802
5	-0.00276923076923077
15	-0.00213919413919414
35	-0.000945054945054945
60	5.12820512820513e-05
55	5.86080586080586e-05
85	0.000549450549450549
95	0.000871794871794872
115	0.00149450549450549
145	0.00210989010989011
155	0.00243223443223443
190	0.00304029304029304
225	0.00365567765567766
250	0.00397069597069597
290	0.00459340659340659
310	0.00492307692307692
356	0.00556043956043956
406	0.0061978021978022
431	0.00652014652014652
481	0.00717216117216117
546	0.00781684981684982
576	0.00811721611721612
531	0.00817582417582418
336	0.00791208791208791
265	0.0076043956043956
170	0.00702564102564103
135	0.00673260073260073
90	0.00613919413919414
55	0.00553846153846154
40	0.00521611721611722
25	0.00459340659340659
15	0.00395604395604396
10	0.00362637362637363
-5	0.00303296703296703
-10	0.00272527472527473
-35	0.00212454212454212
-60	0.00155311355311355
-70	0.00124542124542125
-85	0.000652014652014652
-95	3.66300366300366e-05
-105	-0.000293040293040293
-115	-0.000915750915750916
-120	-0.00123076923076923
-140	-0.00186080586080586
-155	-0.00249084249084249
-165	-0.00282051282051282
-180	-0.00346520146520147
-195	-0.0041025641025641
-205	-0.00442490842490843
-220	-0.00506959706959707
-230	-0.00539194139194139
-250	-0.00602930402930403
-270	-0.00666666666666667
-280	-0.006996336996337
-285	-0.00737728937728938
-220	-0.00736263736263736
-200	-0.0070989010989011
-170	-0.00646153846153846
-155	-0.00613186813186813
-130	-0.00547985347985348
-110	-0.00484249084249084
-100	-0.00451282051282051
-85	-0.00389010989010989
-60	-0.00327472527472528
-50	-0.00295970695970696
-35	-0.00235897435897436
-25	-0.00205860805860806
-10	-0.00146520146520147
0	-0.000886446886446887
10	-0.000600732600732601
25	-1.46520146520147e-05
25	0.000183150183150183
55	0.000945054945054945
150	0.00352380952380952
356	0.00608058608058608
506	0.00744322344322344
881	0.0100879120879121
1097	0.0114285714285714
1587	0.0140586080586081
2098	0.0166373626373626
2288	0.017978021978022
2509	0.0207106227106227
2639	0.0234945054945055
2659	0.0248571428571429
2439	0.0276043956043956
1973	0.028996336996337
2148	0.0316336996336996
2063	0.032959706959707
1818	0.032952380952381
836	0.0309230769230769
381	0.0283736263736264
280	0.027010989010989
125	0.0243369963369963
75	0.022974358974359
15	0.0203150183150183
-25	0.0177069597069597
-35	0.0163663003663004
-80	0.0137728937728938
-115	0.0110989010989011
-135	0.0096996336996337
-160	0.00695970695970696
-175	0.00557509157509158
-205	0.00282051282051282
-235	0.000117216117216117
-260	-0.00126739926739927
-315	-0.00393406593406593
-396	-0.00657875457875458
-456	-0.00793406593406593
-641	-0.0106520146520147
-746	-0.012021978021978
-1027	-0.0146373626373626
-1352	-0.0172234432234432
-1838	-0.0224029304029304
-1903	-0.0237509157509157
-1928	-0.0250989010989011
-2013	-0.0276996336996337
-2058	-0.029010989010989
-2093	-0.0315238095238095
-1863	-0.0316483516483516
-1272	-0.0306007326007326
-581	-0.0281025641025641
-275	-0.0255824175824176
-190	-0.0242490842490843
-90	-0.0216117216117216
-55	-0.0189377289377289
-40	-0.0175531135531136
-20	-0.0148864468864469
-5	-0.0135384615384615
30	-0.011040293040293
50	-0.00848351648351649
75	-0.00714285714285714
105	-0.0044981684981685
130	-0.0018974358974359
145	-0.000556776556776557
135	0.000139194139194139
160	0.00103296703296703
190	0.00367032967032967
225	0.00630769230769231
250	0.00765567765567766
315	0.0103516483516484
391	0.013032967032967
431	0.0143882783882784
