CH_000	Def_Angle_1_14
285	0.00367032967032967
336	0.00426373626373626
351	0.00457875457875458
381	0.00520879120879121
411	0.00582417582417583
421	0.00615384615384615
441	0.00679120879120879
446	0.00712087912087912
461	0.00775091575091575
396	0.00783150183150183
295	0.00781684981684982
170	0.00727472527472527
100	0.0067032967032967
70	0.0064029304029304
40	0.00581684981684982
30	0.00551648351648352
20	0.00491575091575092
5	0.0043003663003663
0	0.004
-15	0.00338461538461538
-20	0.00275457875457875
-25	0.00243223443223443
-35	0.00180952380952381
-40	0.0015018315018315
-50	0.000893772893772894
-60	0.000278388278388278
-70	-3.66300366300366e-05
-90	-0.000644688644688645
-110	-0.00126739926739927
-125	-0.00158241758241758
-165	-0.00220512820512821
-190	-0.00252014652014652
-245	-0.00314285714285714
-295	-0.00375824175824176
-315	-0.00407326007326007
-351	-0.0046959706959707
-381	-0.00532600732600733
-396	-0.00564835164835165
-426	-0.00627838827838828
-436	-0.0066007326007326
-456	-0.00723076923076923
-451	-0.00761904761904762
-421	-0.00762637362637363
-210	-0.00738461538461538
-105	-0.00676190476190476
-75	-0.00643956043956044
-40	-0.00583882783882784
-30	-0.00553846153846154
-10	-0.00494505494505494
0	-0.00436630036630037
5	-0.00407326007326007
15	-0.00347252747252747
20	-0.00284981684981685
25	-0.00252747252747253
25	-0.0018974358974359
30	-0.00127472527472527
35	-0.000952380952380952
40	-0.000344322344322344
40	-0.000139194139194139
45	5.12820512820513e-05
55	0.000688644688644689
55	0.00101831501831502
70	0.00163369963369963
85	0.00224175824175824
90	0.00255677655677656
105	0.00317216117216117
120	0.00347985347985348
140	0.00408791208791209
170	0.0046959706959707
190	0.00501098901098901
230	0.00561904761904762
280	0.00624175824175824
310	0.00657142857142857
366	0.0072014652014652
386	0.00752380952380952
391	0.00786813186813187
260	0.00783150183150183
195	0.00754578754578755
115	0.00696703296703297
65	0.00638095238095238
50	0.00608058608058608
30	0.00547985347985348
25	0.00517216117216117
10	0.00455677655677656
0	0.00394139194139194
0	0.00363369963369963
-10	0.003003663003663
-20	0.00238095238095238
-20	0.00205860805860806
-25	0.00143589743589744
-30	0.00112087912087912
-35	0.000498168498168498
-45	-0.000117216117216117
-50	-0.000432234432234432
-60	-0.00104029304029304
-75	-0.00164835164835165
-80	-0.00197069597069597
-95	-0.00257875457875458
-115	-0.0032014652014652
-130	-0.00352380952380952
-150	-0.00414652014652015
-165	-0.00446886446886447
-200	-0.00510622710622711
-245	-0.00572161172161172
-270	-0.00604395604395604
-336	-0.00666666666666667
-391	-0.00728205128205128
-411	-0.00758974358974359
-361	-0.00764835164835165
-245	-0.00761172161172161
-125	-0.00703296703296703
-65	-0.0064029304029304
-50	-0.0060952380952381
-30	-0.00549450549450549
-15	-0.0049010989010989
-5	-0.00460805860805861
0	-0.00402197802197802
5	-0.00372161172161172
15	-0.00309157509157509
20	-0.00246153846153846
20	-0.00213919413919414
25	-0.00152380952380952
25	-0.000901098901098901
30	-0.000578754578754579
30	-9.52380952380952e-05
35	-8.05860805860806e-05
45	0.00105494505494506
65	0.00235164835164835
80	0.00301098901098901
120	0.00427106227106227
185	0.00554578754578755
235	0.00620512820512821
356	0.00751648351648352
406	0.00817582417582418
461	0.00950915750915751
501	0.0108717948717949
516	0.0116190476190476
541	0.012959706959707
556	0.0136483516483516
576	0.014959706959707
571	0.0160879120879121
561	0.0161025641025641
275	0.0155018315018315
190	0.0148717948717949
95	0.0136336996336996
45	0.0123736263736264
30	0.0117216117216117
10	0.0104322344322344
-5	0.00913553113553114
-10	0.00845421245421246
-20	0.00713553113553114
-25	0.00644688644688645
-35	0.00512087912087912
-45	0.00381684981684982
-50	0.00313553113553114
-65	0.00182417582417582
-80	0.000527472527472527
-90	-0.000146520146520147
-115	-0.00146520146520147
-130	-0.00212454212454212
-170	-0.00343589743589744
-210	-0.00474725274725275
-240	-0.00541391941391941
-320	-0.00671062271062271
-386	-0.00800732600732601
-406	-0.0087032967032967
-436	-0.0100512820512821
-456	-0.0114139194139194
-471	-0.0121098901098901
-491	-0.0134652014652015
-506	-0.0141538461538462
-526	-0.0154945054945055
-506	-0.015992673992674
-361	-0.0159340659340659
-140	-0.0147179487179487
-65	-0.0134065934065934
-40	-0.0127545787545788
-20	-0.0114798534798535
-10	-0.0108205128205128
0	-0.00956043956043956
10	-0.00824908424908425
15	-0.00756043956043956
25	-0.00620512820512821
25	-0.00486446886446887
30	-0.00418315018315018
40	-0.00287179487179487
40	-0.00221978021978022
50	-0.000915750915750916
50	-0.000153846153846154
55	-5.12820512820513e-05
65	0.00125274725274725
75	0.00258608058608059
80	0.00326739926739927
95	0.00457875457875458
100	0.00523809523809524
120	0.00654212454212454
145	0.00786813186813187
155	0.00854945054945055
190	0.00985347985347985
230	0.0111721611721612
260	0.0118461538461538
315	0.0131648351648352
386	0.0144688644688645
421	0.0151428571428571
446	0.0161684981684982
436	0.0161758241758242
185	0.0154725274725275
95	0.0142417582417582
70	0.0135897435897436
