CB1 GMAX1 GMAX2 CEMAX1 CEMAX2
0.50000E-01 0.41926E+00 0.80059E+00 0.87934E+02 0.14722E+02
0.10000E+00 0.17969E+00 0.80026E+00 0.12778E+03 0.14090E+02
0.15000E+00 0.57941E-01 0.80016E+00 0.27763E+03 0.67966E+02
0.20000E+00 0.36698E-01 0.80008E+00 0.31397E+03 0.10341E+03
0.30000E+00 0.33584E-01 0.80032E+00 0.36380E+03 0.18146E+03
0.40000E+00 0.33113E-01 0.80021E+00 0.37849E+03 0.27699E+03
0.50000E+00 0.31274E-01 0.11678E+00 0.35694E+03 0.39782E+03
0.60000E+00 0.51092E-01 0.74018E-01 0.40055E+03 0.37611E+03
0.70000E+00 0.50511E-01 0.54883E-01 0.40890E+03 0.34965E+03
0.80000E+00 0.36932E-01 0.86080E-01 0.34944E+03 0.35587E+03
0.90000E+00 0.79776E-02 0.95550E-01 0.10908E+03 0.39433E+03
0.10000E+01 0.70637E-02 0.80286E-01 0.10244E+03 0.37891E+03
