CB1 GMAX1 GMAX2 CEMAX1 CEMAX2
0.50000E-01 0.72763E+00 0.66488E+00 0.88585E+02 0.20962E+02
0.10000E+00 0.55348E-01 0.27049E-01 0.23335E+03 0.60958E+02
0.15000E+00 0.60191E-01 0.32429E-01 0.33642E+03 0.10084E+03
0.20000E+00 0.40942E-01 0.41165E-01 0.39919E+03 0.11766E+03
0.30000E+00 0.54105E-01 0.33672E-01 0.54246E+03 0.17432E+03
0.40000E+00 0.61707E-01 0.31484E-01 0.68071E+03 0.18275E+03
0.50000E+00 0.50285E-01 0.71311E-01 0.64728E+03 0.23013E+03
0.60000E+00 0.69912E-01 0.36970E-01 0.63358E+03 0.18229E+03
0.70000E+00 0.61533E-01 0.33549E-01 0.62495E+03 0.18232E+03
0.80000E+00 0.59269E-01 0.83271E-02 0.70948E+03 0.50456E+02
0.90000E+00 0.43791E-01 0.73950E-02 0.64874E+03 0.49971E+02
0.10000E+01 0.19683E-01 0.64519E-02 0.43738E+03 0.64740E+02
