CB1 GMAX1 GMAX2 CEMAX1 CEMAX2
0.50000E-01 0.72732E+00 0.30796E+00 0.97054E+02 0.29151E+02
0.10000E+00 0.51714E-01 0.36609E-01 0.20940E+03 0.71223E+02
0.15000E+00 0.45592E-01 0.36534E-01 0.31964E+03 0.11782E+03
0.20000E+00 0.47602E-01 0.33312E-01 0.39526E+03 0.14441E+03
0.30000E+00 0.45274E-01 0.41825E-01 0.54156E+03 0.20908E+03
0.40000E+00 0.58717E-01 0.37835E-01 0.65831E+03 0.21312E+03
0.50000E+00 0.39413E-01 0.57869E-01 0.55192E+03 0.26832E+03
0.60000E+00 0.52821E-01 0.35587E-01 0.64303E+03 0.18574E+03
0.70000E+00 0.45528E-01 0.33003E-01 0.65726E+03 0.15390E+03
0.80000E+00 0.38333E-01 0.29944E-01 0.60829E+03 0.18743E+03
0.90000E+00 0.34453E-01 0.73986E-02 0.60863E+03 0.96717E+02
0.10000E+01 0.18230E-01 0.66733E-02 0.39698E+03 0.76733E+02
