CB1 GMAX1 GMAX2 CEMAX1 CEMAX2
0.50000E-01 0.72759E+00 0.50155E+00 0.84879E+02 0.99658E+01
0.10000E+00 0.53958E-01 0.19242E-01 0.20481E+03 0.25571E+02
0.15000E+00 0.72749E+00 0.28095E-01 0.28195E+03 0.43449E+02
0.20000E+00 0.49529E-01 0.22994E-01 0.36516E+03 0.58682E+02
0.30000E+00 0.52278E-01 0.27146E-01 0.43770E+03 0.74953E+02
0.40000E+00 0.73774E-01 0.24311E-01 0.61132E+03 0.76737E+02
0.50000E+00 0.60117E-01 0.59188E-01 0.58867E+03 0.11482E+03
0.60000E+00 0.80848E-01 0.30204E-01 0.55763E+03 0.86003E+02
0.70000E+00 0.68344E-01 0.26826E-01 0.54278E+03 0.89874E+02
0.80000E+00 0.59522E-01 0.74790E-02 0.56792E+03 0.24289E+02
0.90000E+00 0.24824E-01 0.69582E-02 0.39054E+03 0.37982E+02
0.10000E+01 0.11328E-01 0.91388E-02 0.26835E+03 0.74145E+02
