CB1 GMAX1 GMAX2 CEMAX1 CEMAX2
0.50000E-01 0.72745E+00 0.54245E+00 0.89319E+02 0.23795E+02
0.10000E+00 0.72732E+00 0.71021E-01 0.19238E+03 0.65245E+02
0.15000E+00 0.43990E-01 0.31803E-01 0.32330E+03 0.10220E+03
0.20000E+00 0.41674E-01 0.28716E-01 0.39525E+03 0.13508E+03
0.30000E+00 0.58597E-01 0.28095E-01 0.54922E+03 0.17515E+03
0.40000E+00 0.57807E-01 0.34034E-01 0.67739E+03 0.19262E+03
0.50000E+00 0.44384E-01 0.64839E-01 0.61645E+03 0.24067E+03
0.60000E+00 0.67798E-01 0.20699E-01 0.69435E+03 0.12892E+03
0.70000E+00 0.53040E-01 0.33434E-01 0.63589E+03 0.17751E+03
0.80000E+00 0.44904E-01 0.29800E-01 0.59044E+03 0.18684E+03
0.90000E+00 0.39980E-01 0.73962E-02 0.64966E+03 0.60199E+02
0.10000E+01 0.19150E-01 0.64528E-02 0.42797E+03 0.69710E+02
