gamma	gamma_Brace	deltaP_ara	deltaP_naka	deltaP_ara_b	deltaP_naka_b
-0.1	-0.1	-0.388726919339164	-0.355685131195335	-0.476190476190476	0.0524781341107872
-0.0666666666666667	-0.066666667	-0.575315840621963	-0.746355685131195	-0.735665694849368	-0.134110787172012
-0.0333333333333333	-0.034322343	-0.735665694849368	-1.28513119533528	-0.653061224489796	-0.419825072886297
-0.0166666666666667	-0.033333333	-0.696793002915452	-2.04897959183673	-0.813411078717201	-1.29096209912536
-0.00833333333333333	-0.016666667	-0.569484936831876	-1.92769679300292	-0.653061224489796	-1.42507288629738
-0.00416666666666667	-0.008333333	-0.422740524781341	-1.23265306122449	-0.510204081632653	-1.02857142857143
-0.00208333333333333	-0.004166667	-0.286686103012634	-0.696209912536443	-0.326530612244898	-0.676384839650146
0	-0.002083333	0	0	-0.199222546161322	-0.439650145772595
0.00208333333333333	0	0.252672497570457	0.486297376093295	0	0
0.00416666666666667	0.002083333	0.422740524781341	0.74868804664723	0.273080660835763	0.450145772594752
0.00833333333333333	0.004166667	0.598639455782313	1.38309037900875	0.264334305150632	0.962099125364432
0.0166666666666667	0.008333333	0.764820213799806	2.01399416909621	0.19533527696793	1.47172011661808
0.0333333333333333	0.016666667	0.876579203109815	1.41924198250729	0.661807580174927	2.04314868804665
0.0666666666666667	0.033333333	0.769679300291545	0.82332361516035	0.913508260447036	1.66413994169096
0.1	0.066666667	0.448007774538387	0.379008746355685	1.0019436345967	0.45597667638484
0.11	0.1	5.0	5.0	0.597667638483965	-0.0116618075801749
