0.07 0.000e+00 -9.804e-05
0.06 -5.144e-04 1.961e-04
0.05 1.029e-04 -3.922e-04
0.08 -2.058e-04 2.941e-04
0.29 2.366e-03 2.549e-03
0.52 7.407e-03 5.882e-03
0.66 1.060e-02 8.431e-03
0.85 1.728e-02 1.343e-02
0.77 1.687e-02 1.333e-02
0.56 1.471e-02 1.137e-02
0.41 1.214e-02 9.804e-03
0.25 9.465e-03 7.745e-03
0.00 2.469e-03 2.941e-03
-0.02 -6.173e-04 4.902e-04
-0.21 -8.539e-03 -6.961e-03
-0.41 -1.337e-02 -1.098e-02
-0.62 -1.811e-02 -1.598e-02
-0.38 -1.677e-02 -1.510e-02
-0.19 -1.543e-02 -1.314e-02
0.00 -1.173e-02 -9.902e-03
0.02 -1.152e-02 -9.118e-03
0.64 1.183e-02 9.510e-03
0.80 1.543e-02 1.216e-02
0.92 1.872e-02 1.451e-02
0.97 2.150e-02 1.676e-02
1.07 2.562e-02 1.961e-02
0.92 2.572e-02 2.020e-02
0.81 2.449e-02 1.941e-02
0.49 2.078e-02 1.696e-02
0.39 1.821e-02 1.490e-02
0.22 1.451e-02 1.186e-02
0.02 7.099e-03 6.569e-03
0.01 4.835e-03 4.706e-03
-0.16 -6.173e-03 -4.902e-03
-0.15 -7.099e-03 -5.490e-03
-0.28 -1.173e-02 -9.608e-03
-0.38 -1.440e-02 -1.225e-02
-0.48 -1.636e-02 -1.422e-02
-0.59 -1.862e-02 -1.667e-02
-0.68 -1.986e-02 -1.873e-02
-0.64 -1.986e-02 -1.873e-02
-0.49 -1.924e-02 -1.775e-02
-0.34 -1.821e-02 -1.618e-02
-0.22 -1.667e-02 -1.510e-02
-0.11 -1.502e-02 -1.304e-02
0.00 -1.204e-02 -1.029e-02
0.16 -3.189e-03 -2.353e-03
0.16 -2.675e-03 -1.863e-03
0.33 5.350e-03 5.000e-03
0.47 1.080e-02 9.020e-03
0.60 1.492e-02 1.196e-02
0.73 1.893e-02 1.520e-02
0.88 2.274e-02 1.775e-02
1.04 2.726e-02 2.108e-02
1.05 2.901e-02 2.265e-02
1.15 3.200e-02 2.490e-02
1.24 3.549e-02 2.784e-02
1.27 3.786e-02 2.951e-02
1.34 4.187e-02 3.275e-02
1.37 4.465e-02 3.520e-02
1.42 4.805e-02 3.833e-02
1.26 4.846e-02 3.873e-02
1.03 4.599e-02 3.686e-02
0.80 4.311e-02 3.480e-02
0.64 4.043e-02 3.255e-02
0.54 3.786e-02 3.059e-02
0.38 3.364e-02 2.784e-02
0.26 3.004e-02 2.490e-02
0.20 2.675e-02 2.265e-02
0.02 1.677e-02 1.539e-02
-0.10 1.955e-03 2.549e-03
-0.20 -7.716e-03 -6.078e-03
-0.31 -1.276e-02 -1.059e-02
-0.29 -1.286e-02 -1.088e-02
-0.46 -1.626e-02 -1.392e-02
-0.50 -1.770e-02 -1.529e-02
-0.63 -1.955e-02 -1.765e-02
-0.72 -2.037e-02 -2.010e-02
-0.68 -2.047e-02 -2.010e-02
-0.52 -1.986e-02 -1.902e-02
-0.40 -1.924e-02 -1.794e-02
-0.25 -1.800e-02 -1.618e-02
-0.14 -1.677e-02 -1.422e-02
0.00 -1.235e-02 -1.059e-02
0.05 -8.230e-03 -7.059e-03
0.08 -7.510e-03 -5.980e-03
0.20 -5.144e-04 5.882e-04
0.18 -6.173e-04 7.843e-04
0.27 6.687e-03 6.275e-03
0.35 1.255e-02 1.069e-02
0.51 1.934e-02 1.569e-02
0.54 2.109e-02 1.686e-02
0.67 2.521e-02 2.059e-02
0.73 2.840e-02 2.255e-02
0.81 3.076e-02 2.529e-02
0.90 3.467e-02 2.794e-02
1.03 3.848e-02 3.059e-02
1.05 4.115e-02 3.235e-02
1.17 4.362e-02 3.451e-02
1.23 4.558e-02 3.637e-02
1.32 4.856e-02 3.853e-02
1.40 5.154e-02 4.108e-02
1.50 5.494e-02 4.392e-02
1.46 5.700e-02 4.549e-02
1.37 5.710e-02 4.588e-02
1.36 5.700e-02 4.598e-02
1.50 5.967e-02 4.804e-02
1.55 6.276e-02 5.088e-02
1.56 6.728e-02 5.402e-02
1.66 7.325e-02 5.873e-02
1.71 8.107e-02 6.598e-02
1.53 8.241e-02 6.833e-02
1.73 8.879e-02 7.402e-02
1.58 9.002e-02 7.598e-02
1.72 9.527e-02 8.255e-02
1.39 9.938e-02 8.745e-02
1.35 1.009e-01 8.784e-02
1.54 1.059e-01 9.216e-02
1.10 1.146e-01 1.129e-01
1.16 1.220e-01 1.205e-01
1.17 1.280e-01 1.250e-01
1.20 1.367e-01 1.324e-01
1.10 1.387e-01 1.328e-01
0.91 1.367e-01 1.318e-01
0.83 1.353e-01 1.304e-01
0.68 1.326e-01 1.279e-01
0.55 1.301e-01 1.245e-01
0.47 1.266e-01 1.208e-01
0.29 1.215e-01 1.152e-01
0.18 1.155e-01 1.092e-01
0.03 1.060e-01 9.833e-02
-0.02 9.321e-02 8.706e-02
