  0.046	0.000744
  0.106	0.000558
  0.157	0.001301
  0.201	0.001673
  0.255	0.001487
  0.307	0.002045
  0.363	0.002602
  0.410	0.003346
  0.456	0.003717
  0.526	0.004647
  0.577	0.004833
  0.621	0.005019
  0.673	0.005204
  0.722	0.005948
  0.729	0.006691
  0.778	0.007063
  0.825	0.007249
  0.879	0.007807
  0.935	0.008178
  0.974	0.007993
  1.031	0.008736
  1.082	0.008922
  1.131	0.009108
  1.180	0.009665
  1.242	0.010040
  1.288	0.010780
  1.348	0.010780
  1.397	0.011710
  1.435	0.011900
  1.497	0.012270
  1.544	0.012830
  1.551	0.011150
  1.598	0.011340
  1.654	0.011710
  1.708	0.012080
  1.757	0.012270
  1.765	0.012640
  1.804	0.013570
  1.824	0.013750
  1.850	0.014130
  1.907	0.016170
  1.922	0.017100
  1.958	0.016910
  1.989	0.017660
  2.018	0.018590
  2.043	0.019140
  2.079	0.019520
  2.095	0.019700
  2.121	0.020450
  2.146	0.020820
  2.247	0.022300
  2.270	0.024160
  2.309	0.024720
  2.353	0.025840
  2.386	0.026950
  2.435	0.028070
  2.479	0.029930
  2.523	0.031600
  2.566	0.033460
  2.587	0.034940
  2.590	0.041450
  2.652	0.044610
  2.698	0.047030
  2.726	0.049630
