#GAMMA2	FORCE2
0.0010302	-1.0306
0.00011014	-1.5096
-0.00085187	-2.0105
-0.0018464	-2.5284
-0.0028569	-3.0547
-0.0038586	-3.5766
-0.0048201	-4.0778
-0.0057053	-4.5394
-0.0064768	-4.942
-0.0070942	-5.2645
-0.0075062	-5.4804
-0.0076541	-5.5628
-0.0074817	-5.2199
-0.0069653	-4.1783
-0.0061649	-2.5582
-0.0052035	-1.1439
-0.0041689	-0.60527
-0.0030794	-0.038008
-0.001946	0.55218
-0.00077771	1.1606
0.00041794	1.7833
0.0016347	2.417
0.0028675	3.059
0.0041118	3.7072
0.0053642	4.3595
0.0066113	5.0092
0.0078173	5.6377
0.00895	5.973
0.010002	6.0778
0.010984	6.1756
0.011904	6.2673
0.012766	6.3531
0.01357	6.4332
0.014309	6.5068
0.014973	6.5731
0.015549	6.6305
0.016021	6.6776
0.016371	6.7126
0.016564	6.7319
0.016539	6.65
0.016236	6.0417
0.015647	4.8496
0.014855	3.246
0.013984	2.2421
0.013107	1.7848
0.01225	1.3386
0.011445	0.91874
0.01072	0.54077
0.010106	0.21988
0.009631	-0.028142
0.0093322	-0.18481
0.0092448	-0.23013
0.0093955	0.070795
0.0097805	0.84785
0.010355	2.0109
0.011044	3.4072
0.01176	4.2189
0.012457	4.582
0.013116	4.9255
0.013721	5.2412
0.01426	5.5221
0.01472	5.7621
0.01509	5.9556
0.015363	6.0983
0.015531	6.1864
0.015587	6.2173
0.015518	6.08
0.015316	5.6732
0.014983	5.0001
0.014529	4.0806
0.013968	2.9442
0.013332	1.9009
0.012665	1.5535
0.011965	1.1895
0.011225	0.80406
0.010432	0.39134
0.0095908	-0.04663
0.008721	-0.49958
0.0078404	-0.78682
0.0069503	-0.8672
0.0060366	-0.9497
0.0050848	-1.0356
0.0040815	-1.1262
0.0030125	-1.2227
0.0018313	-1.3292
0.00046424	-1.4525
-0.0011464	-2.0969
-0.002976	-3.0659
-0.0049383	-4.1057
-0.0069444	-5.1691
-0.0089085	-5.9679
-0.010776	-6.1539
-0.012534	-6.3291
-0.014179	-6.493
-0.015704	-6.6449
-0.017105	-6.7845
-0.018378	-6.9113
-0.019517	-7.0249
-0.020519	-7.1248
-0.02138	-7.2107
-0.022099	-7.2824
-0.022675	-7.3398
-0.023107	-7.383
-0.023396	-7.4119
-0.02353	-7.4255
-0.023484	-7.3351
-0.023234	-6.8308
-0.022778	-5.9089
-0.022146	-4.6304
-0.021405	-3.1794
-0.020646	-2.7836
-0.019902	-2.3962
-0.019196	-2.0279
-0.018545	-1.6886
-0.017965	-1.3863
-0.017468	-1.127
-0.017061	-0.91424
-0.016745	-0.74942
-0.016521	-0.63227
-0.016386	-0.56145
-0.016336	-0.53484
-0.016365	-0.58268
-0.016459	-0.77273
-0.016593	-1.044
-0.016731	-1.3247
-0.016834	-1.5348
-0.016864	-1.599
-0.016794	-1.459
-0.016609	-1.0841
-0.016322	-0.52913
-0.015963	-0.34249
-0.015541	-0.12286
-0.015063	0.070685
-0.014539	0.11801
-0.013969	0.16948
-0.013357	0.2247
-0.012711	0.283
-0.012041	0.3435
-0.011356	0.40536
-0.010663	0.46796
-0.0099639	0.53108
-0.009258	0.59484
-0.0085407	0.65961
-0.0078063	0.72592
-0.0070487	0.79432
-0.0062621	0.87081
-0.0054413	0.95248
-0.0045817	1.038
-0.0036795	1.1278
-0.0027327	1.222
-0.0017424	1.3205
-0.00071297	1.423
0.00034914	1.5287
0.0014367	1.6369
0.0025439	1.7471
0.0036664	1.8588
0.0048012	1.9718
0.0059447	2.0856
0.007099	2.2005
0.0082835	2.3292
0.0095071	2.9776
0.010746	3.6343
0.011969	4.2828
0.013147	4.9077
0.014253	5.4947
0.015265	6.0314
0.016161	6.5071
0.016928	6.7675
0.017569	6.8315
0.018095	6.884
0.018513	6.9257
0.018828	6.9571
0.019043	6.9787
0.019161	6.9905
0.019179	6.9897
0.019088	6.8071
0.018863	6.3548
0.018472	5.564
0.017881	4.3677
0.017116	2.8181
0.016244	2.3251
0.015265	1.8159
0.014164	1.2431
0.01295	0.61129
0.011661	-0.060067
0.010333	-0.53727
0.0089811	-0.65933
0.007593	-0.78466
0.0061544	-0.91454
0.0046523	-1.0501
0.0030756	-1.1925
0.0014147	-1.3524
-0.00033806	-1.5268
-0.002189	-1.7109
-0.0041434	-1.9054
-0.0062058	-2.1105
-0.0084006	-2.3288
-0.010809	-2.5684
-0.013497	-2.8356
-0.016444	-3.6493
-0.01955	-5.2955
-0.022654	-6.9413
-0.025609	-7.6294
-0.028346	-7.9021
-0.030836	-8.1503
-0.033058	-8.3718
-0.034996	-8.388
-0.03665	-8.3746
-0.038024	-8.3635
-0.039123	-8.3546
-0.039937	-8.348
-0.040423	-8.344
-0.040513	-8.3095
-0.040148	-7.5761
-0.039367	-5.9981
-0.038287	-4.0369
-0.037021	-3.3784
-0.035596	-2.6372
-0.034034	-1.8241
-0.032387	-0.96641
-0.030708	-0.72529
-0.02901	-0.57201
-0.027298	-0.41737
-0.025577	-0.26193
-0.023857	-0.10652
-0.022149	0.063316
-0.020468	0.2307
-0.018828	0.39402
-0.017241	0.55204
-0.015718	0.70374
-0.014267	0.84819
-0.012898	0.98458
-0.011619	1.1121
-0.010437	1.2298
-0.0093627	1.3369
-0.008407	1.4321
-0.0075893	1.5137
-0.0069463	1.5779
-0.0065274	1.6199
-0.0063842	1.6352
-0.0065437	1.3848
-0.0069655	0.71389
-0.0075707	-0.25192
-0.008262	-1.3569
-0.0089429	-1.74
-0.0095738	-1.7971
-0.010144	-1.8486
-0.010635	-1.8931
-0.01103	-1.9288
-0.011306	-1.9539
-0.011447	-1.9668
-0.011434	-1.9371
-0.011257	-1.6573
-0.010927	-1.1313
-0.010473	-0.40715
-0.0099492	0.43007
-0.0094243	1.2701
-0.0089539	1.4018
-0.008545	1.4388
-0.0081881	1.471
-0.0078727	1.4996
-0.0075865	1.5254
-0.007316	1.5499
-0.0070465	1.5742
-0.0067632	1.5998
-0.0064518	1.6279
-0.0060987	1.6625
-0.0056909	1.703
-0.0052153	1.7503
-0.004659	1.8056
-0.004009	1.8702
-0.003253	1.9453
-0.0023805	2.032
-0.001383	2.1312
-0.00025448	2.2434
0.0010085	2.369
0.0024073	2.5081
0.0039417	2.6607
0.0056087	2.8265
0.0074076	3.0054
0.0093795	3.2015
0.011568	3.7243
0.013953	4.9878
0.016419	6.2949
0.01885	7.5839
0.02115	7.9612
0.02329	8.1744
0.025263	8.371
0.027066	8.4522
0.028703	8.4389
0.030188	8.4269
0.03153	8.416
0.03274	8.4062
0.033823	8.3975
0.034784	8.3897
0.035621	8.3829
0.036331	8.3772
0.036909	8.3725
0.037348	8.3689
0.037641	8.3666
0.03778	8.3654
0.037762	8.3217
0.037588	7.9725
0.037286	7.3604
0.036892	6.5636
0.036436	5.6383
0.035929	4.6107
0.035371	3.9757
0.034736	3.6452
0.034018	3.2717
0.033223	2.8576
0.032356	2.4064
0.031424	1.9217
0.030436	1.4072
0.0294	0.87682
0.028337	0.7808
0.02725	0.68267
0.026137	0.58219
0.024995	0.47902
0.023818	0.37273
0.022599	0.26275
0.021332	0.1483
0.020005	0.018328
0.01861	-0.12051
0.017135	-0.26717
0.015573	-0.42262
0.013913	-0.58779
0.012146	-0.76357
0.010264	-0.95074
0.0082609	-1.15
0.0061303	-1.362
0.0038673	-1.5871
0.0014685	-1.8258
-0.0010687	-2.0782
-0.0037457	-2.3445
-0.0065617	-2.6247
-0.0095043	-2.9175
-0.012543	-3.2199
-0.015646	-3.5287
-0.018783	-3.8411
-0.021928	-4.1541
-0.025055	-4.4655
-0.028143	-4.7729
-0.031175	-4.8308
-0.034147	-5.6393
-0.037008	-6.8485
-0.039713	-7.9919
-0.042307	-8.3288
-0.044823	-8.3084
-0.047266	-8.2886
-0.049638	-8.2694
-0.051941	-8.2508
