#GAMMA2	FORCE2
-0.0010157	-0.4771
-0.0011608	-0.4902
-0.0013135	-0.50398
-0.0014757	-0.51863
-0.0016494	-0.5343
-0.001836	-0.55115
-0.0020369	-0.56928
-0.0022529	-0.58877
-0.0024845	-0.60967
-0.0027318	-0.63199
-0.0029949	-0.65574
-0.0032736	-0.68089
-0.0035673	-0.70741
-0.003876	-0.73528
-0.0041996	-0.76449
-0.0045381	-0.79505
-0.0048917	-0.82698
-0.0052607	-0.86028
-0.0056453	-0.895
-0.0060457	-0.93116
-0.0064621	-0.96875
-0.0068946	-1.0078
-0.007343	-1.0483
-0.0078073	-1.0902
-0.0082872	-1.1335
-0.0087822	-1.1782
-0.0092921	-1.2243
-0.0098167	-1.2716
-0.010356	-1.3203
-0.01091	-1.3703
-0.011479	-1.4218
-0.012066	-1.4747
-0.01267	-1.5295
-0.013294	-1.5916
-0.013939	-1.6558
-0.014606	-1.7223
-0.015297	-1.791
-0.016012	-1.8622
-0.016752	-1.9358
-0.017516	-2.0118
-0.018303	-2.0901
-0.01911	-2.1704
-0.019934	-2.2524
-0.02077	-2.3357
-0.021613	-2.4195
-0.022455	-2.5033
-0.023289	-2.5864
-0.024108	-2.668
-0.024904	-2.7473
-0.02567	-2.8236
-0.026399	-2.8961
-0.027082	-2.9642
-0.027714	-3.0272
-0.02829	-3.0845
-0.028801	-3.1355
-0.029236	-3.1789
-0.029581	-3.2133
-0.029817	-3.237
-0.029928	-3.2481
-0.029896	-3.1938
-0.029714	-2.9054
-0.029393	-2.3929
-0.02896	-1.7021
-0.028458	-0.8999
-0.027943	-0.075858
-0.027474	0.11687
-0.027065	0.15388
-0.026711	0.18587
-0.026409	0.21322
-0.026153	0.23636
-0.025939	0.25574
-0.025762	0.27178
-0.025616	0.28493
-0.025498	0.29564
-0.025402	0.30434
-0.025323	0.31148
-0.025256	0.31751
-0.025197	0.32291
-0.025139	0.32815
-0.025076	0.33377
-0.025004	0.34032
-0.024914	0.34838
-0.024802	0.35854
-0.024659	0.37139
-0.024479	0.38757
-0.024256	0.40773
-0.02398	0.43256
-0.023644	0.46284
-0.023238	0.49941
-0.022753	0.54317
-0.022178	0.595
-0.021505	0.65566
-0.020728	0.72577
-0.019842	0.8057
-0.018845	0.89562
-0.017738	0.99547
-0.016525	1.1049
-0.015211	1.2235
-0.013804	1.3505
-0.012314	1.4937
-0.010754	1.649
-0.009137	1.8098
-0.00748	1.9748
-0.0057989	2.1421
-0.0041103	2.3102
-0.0024304	2.4774
-0.00077524	2.6422
0.00084001	2.8031
0.0024008	2.9585
0.0038937	3.1072
0.0053064	3.2479
0.0066279	3.3796
0.0078486	3.5012
0.0089592	3.6119
0.0099463	3.7103
0.010791	3.7945
0.01147	3.8624
0.011963	3.9116
0.012248	3.9402
0.012311	3.9399
0.012143	3.6762
0.011764	3.0719
0.011223	2.2098
0.010602	1.2167
0.0099818	0.59306
0.0094056	0.54098
0.0088717	0.49272
0.0083754	0.44785
0.0079117	0.40594
0.0074761	0.36658
0.007064	0.32933
0.0066711	0.29382
0.006293	0.25966
0.0059258	0.22649
0.0055656	0.19395
0.0052085	0.16169
0.0048508	0.12939
0.0044888	0.096692
0.0041185	0.063264
0.0037363	0.028754
0.0033382	-0.0071828
0.0029205	-0.044892
0.0024794	-0.08471
0.0020112	-0.12697
0.0015122	-0.172
0.00097851	-0.22017
0.00040581	-0.27186
-0.00021012	-0.32745
-0.00087368	-0.38733
-0.0015895	-0.45193
-0.0023625	-0.52169
-0.0031976	-0.59706
-0.0041005	-0.67854
-0.0050771	-0.77326
-0.0061341	-0.87839
-0.007278	-0.99217
-0.0085154	-1.1152
-0.0098518	-1.2482
-0.011291	-1.3913
-0.012835	-1.5449
-0.014484	-1.7089
-0.016235	-1.8832
-0.018087	-2.0674
-0.020033	-2.261
-0.022066	-2.4633
-0.024165	-2.6722
-0.026305	-2.8852
-0.028461	-3.0999
-0.030611	-3.3139
-0.032731	-3.525
-0.034803	-3.7313
-0.036805	-3.9307
-0.038722	-4.1216
-0.040535	-4.3023
-0.042232	-4.4713
-0.0438	-4.6275
-0.045229	-4.717
-0.046516	-4.7066
-0.047665	-4.6973
-0.04868	-4.6891
-0.049565	-4.6819
-0.050322	-4.6758
-0.050955	-4.6706
-0.051464	-4.6665
-0.051853	-4.6634
-0.052122	-4.6612
-0.052272	-4.66
-0.052304	-4.6601
-0.052221	-4.5287
-0.052034	-4.2306
-0.051763	-3.7985
-0.051427	-3.2621
-0.051039	-2.643
-0.050609	-1.9556
-0.050142	-1.3209
-0.049632	-1.2748
-0.049069	-1.2241
-0.048457	-1.1688
-0.047798	-1.1093
-0.047094	-1.0457
-0.046346	-0.97831
-0.045559	-0.90721
-0.044733	-0.83268
-0.043872	-0.7549
-0.042976	-0.67406
-0.042049	-0.59031
-0.04109	-0.50378
-0.040102	-0.41457
-0.039086	-0.32279
-0.038042	-0.22851
-0.036971	-0.13181
-0.035874	-0.032784
-0.034752	0.076612
-0.033605	0.19078
-0.032434	0.30737
-0.031238	0.42634
-0.030019	0.54765
-0.028777	0.67128
-0.027512	0.7972
-0.026224	0.92538
-0.024914	1.0558
-0.023581	1.1884
-0.022227	1.3232
-0.020853	1.46
-0.019458	1.5988
-0.018046	1.7394
-0.016617	1.8816
-0.015175	2.0251
-0.013723	2.1697
-0.012264	2.3149
-0.010803	2.4603
-0.0093456	2.6054
-0.0078968	2.7497
-0.006463	2.8924
-0.0050509	3.033
-0.0036673	3.1708
-0.0023196	3.305
-0.0010149	3.4349
0.00023917	3.5598
0.0014357	3.679
0.0025679	3.7918
0.0036294	3.8975
0.0046142	3.9956
0.0055169	4.0856
0.0063326	4.1669
0.0070573	4.2391
0.0076873	4.302
0.008219	4.355
0.0086441	4.3974
0.0089469	4.4277
0.0091067	4.4438
0.0091	4.4137
0.0089084	4.1103
0.0085349	3.5156
0.0080065	2.6727
0.0073817	1.6742
0.0067419	1.0872
0.0061289	1.0318
0.0055421	0.97877
0.0049782	0.92783
0.0044345	0.8787
0.003908	0.83113
0.0033962	0.78489
0.0028965	0.73974
0.0024064	0.69547
0.0019237	0.65186
0.0014456	0.60868
0.00096969	0.56569
0.00049353	0.52269
1.4743e-05	0.47945
-0.00046879	0.43578
-0.00095899	0.39151
-0.0014576	0.34649
-0.0019659	0.30058
-0.0024853	0.25369
-0.0030164	0.20572
-0.0035602	0.15662
-0.0041175	0.1063
-0.0046888	0.054712
-0.0052746	0.0018143
-0.005875	-0.052402
-0.0064899	-0.10792
-0.0071187	-0.16471
-0.0077607	-0.22464
-0.0084146	-0.28972
-0.0090784	-0.35579
-0.0097503	-0.42267
-0.010428	-0.49013
-0.01111	-0.55798
-0.011793	-0.62599
-0.012476	-0.69399
-0.013157	-0.76179
-0.013834	-0.82921
-0.014506	-0.89609
-0.01517	-0.96225
-0.015826	-1.0275
-0.016472	-1.0918
-0.017105	-1.1549
-0.017726	-1.2167
-0.018332	-1.277
-0.018923	-1.3359
-0.019497	-1.393
-0.020053	-1.4484
-0.02059	-1.5018
-0.021104	-1.5531
-0.021593	-1.6018
-0.022055	-1.6478
-0.022486	-1.6908
-0.022884	-1.7304
-0.023245	-1.7664
-0.023567	-1.7984
-0.023847	-1.8264
-0.024083	-1.85
-0.024271	-1.8687
-0.024401	-1.8817
-0.024461	-1.8878
-0.024437	-1.8491
-0.02432	-1.6626
-0.024109	-1.3268
-0.023816	-0.86056
-0.023464	-0.29755
-0.023078	0.3194
-0.022687	0.94478
-0.022319	1.4492
-0.022	1.478
-0.02173	1.5025
-0.021504	1.523
-0.021315	1.54
-0.02116	1.5541
-0.02103	1.5658
-0.020921	1.5757
-0.020824	1.5845
-0.020733	1.5927
-0.02064	1.6011
-0.020539	1.6102
-0.020423	1.6207
-0.020286	1.633
-0.020125	1.6475
-0.019938	1.6644
-0.019722	1.6838
-0.019478	1.7059
-0.019207	1.7303
-0.018909	1.7572
-0.018587	1.7863
-0.018241	1.8175
-0.017876	1.8505
-0.017494	1.885
-0.017098	1.9207
-0.016695	1.9571
-0.016289	1.9938
-0.015885	2.0303
-0.015489	2.066
-0.015107	2.1005
-0.014744	2.1334
-0.014405	2.164
-0.014096	2.192
-0.013829	2.2161
-0.01362	2.235
-0.013489	2.247
-0.013455	2.2493
-0.013536	2.1221
-0.013736	1.8038
-0.014043	1.3146
-0.014429	0.69856
-0.014856	0.016482
-0.015281	-0.66353
-0.015656	-1.0922
-0.015955	-1.1192
-0.01618	-1.1396
-0.016337	-1.1539
-0.016432	-1.1626
-0.016472	-1.1662
-0.01646	-1.1512
-0.016405	-1.0641
-0.016319	-0.92578
-0.016215	-0.75936
-0.016108	-0.5893
-0.016014	-0.43805
-0.015943	-0.32351
-0.015901	-0.25722
-0.015893	-0.24363
-0.015916	-0.28031
-0.015966	-0.35904
-0.016034	-0.46749
-0.016111	-0.59129
-0.016189	-0.71606
-0.01626	-0.82934
-0.016318	-0.92191
-0.016359	-0.98869
-0.016384	-1.0288
-0.016394	-1.045
-0.016393	-1.0433
-0.016386	-1.0314
-0.016377	-1.0178
-0.016373	-1.0106
-0.016377	-1.0165
-0.016392	-1.0404
-0.016419	-1.0842
-0.016459	-1.1473
-0.016509	-1.1695
-0.016571	-1.1751
-0.016648	-1.1821
-0.016742	-1.1905
-0.016854	-1.2006
-0.016984	-1.2124
-0.017132	-1.2257
-0.017295	-1.2404
-0.017472	-1.2563
-0.017658	-1.2732
-0.017853	-1.2907
-0.018051	-1.3086
-0.01825	-1.3266
-0.018446	-1.3444
-0.018637	-1.3616
-0.018818	-1.378
-0.018987	-1.3932
-0.019137	-1.4068
-0.019262	-1.4181
-0.01935	-1.4261
-0.019391	-1.4298
-0.019375	-1.4037
-0.0193	-1.2847
-0.019171	-1.0783
-0.019001	-0.80669
-0.01881	-0.50115
-0.018619	-0.19609
-0.018449	0.076579
-0.018314	0.29237
-0.018224	0.43756
-0.018179	0.51065
-0.018172	0.52189
-0.018192	0.49082
-0.018222	0.44263
-0.018246	0.40352
-0.01825	0.39616
-0.018225	0.43576
-0.018168	0.52764
-0.01808	0.66667
-0.017973	0.83858
-0.017857	1.0229
-0.017749	1.1967
-0.017661	1.3384
-0.017603	1.4313
-0.017582	1.4658
-0.017598	1.44
-0.017649	1.3592
-0.017728	1.2339
-0.017826	1.0775
-0.017934	0.90374
-0.018046	0.72505
-0.018155	0.55124
-0.018256	0.38898
-0.018348	0.24197
-0.018429	0.11176
-0.018499	-0.0010016
-0.018558	-0.095336
-0.018604	-0.16904
-0.018635	-0.21836
-0.018647	-0.23829
-0.018638	-0.22346
-0.018604	-0.16929
-0.018543	-0.07324
-0.018457	0.0644
-0.018347	0.24011
-0.018217	0.44732
-0.018073	0.67684
-0.017923	0.91735
-0.017774	1.1561
-0.017636	1.3776
-0.017523	1.558
-0.017449	1.6772
-0.01742	1.7246
-0.017436	1.6993
-0.017493	1.6089
-0.017581	1.4685
-0.017688	1.2975
-0.017802	1.1149
-0.017915	0.9345
-0.018022	0.76263
-0.018125	0.59892
-0.018225	0.43802
-0.018329	0.27219
-0.018441	0.094075
-0.018563	-0.10105
-0.018696	-0.31365
-0.018837	-0.53923
-0.01898	-0.7686
-0.019118	-0.9891
-0.019241	-1.1865
-0.019341	-1.3473
-0.019412	-1.4317
-0.019451	-1.4353
-0.019462	-1.4365
-0.019447	-1.4125
-0.019408	-1.3504
-0.019349	-1.2565
-0.019276	-1.1394
-0.019194	-1.0087
-0.01911	-0.87425
-0.01903	-0.7459
-0.018959	-0.63237
-0.018902	-0.54066
-0.018861	-0.4753
-0.018838	-0.4379
-0.018831	-0.42716
-0.018839	-0.4395
-0.018858	-0.46995
-0.018885	-0.51317
-0.018917	-0.56432
-0.018952	-0.61958
-0.018987	-0.67633
-0.019023	-0.73311
-0.019058	-0.78929
-0.019093	-0.84461
-0.019126	-0.89866
-0.019159	-0.95055
-0.019189	-0.99871
-0.019215	-1.0411
-0.019237	-1.0752
-0.019252	-1.0991
-0.019259	-1.111
-0.019258	-1.1104
-0.019251	-1.0979
-0.019237	-1.0757
-0.019218	-1.0467
-0.019198	-1.0145
-0.019178	-0.98268
-0.019161	-0.95465
-0.019148	-0.9332
-0.019139	-0.92008
-0.019137	-0.91556
-0.019138	-0.91832
-0.019143	-0.9255
-0.019148	-0.93306
-0.01915	-0.93637
-0.019146	-0.93075
-0.019134	-0.9119
-0.019112	-0.87613
-0.019077	-0.82041
-0.019028	-0.74262
-0.018965	-0.642
-0.018888	-0.51989
-0.018801	-0.38044
-0.018708	-0.23087
-0.018614	-0.080951
-0.018527	0.058307
-0.018453	0.17635
-0.018398	0.26461
-0.018366	0.31738
-0.018357	0.33194
-0.018372	0.3082
-0.01841	0.24806
-0.018468	0.15487
-0.018544	0.033107
-0.018635	-0.11186
-0.018737	-0.27398
-0.018845	-0.4467
-0.018955	-0.62302
-0.019063	-0.79547
-0.019163	-0.95617
-0.019251	-1.097
-0.019321	-1.2103
-0.019371	-1.2893
-0.019396	-1.3298
-0.019396	-1.3298
-0.01937	-1.29
-0.019322	-1.2132
-0.019254	-1.1037
-0.019168	-0.96648
-0.019068	-0.80681
-0.018957	-0.63036
-0.01884	-0.443
-0.01872	-0.25087
-0.018601	-0.060336
-0.018487	0.12209
-0.018382	0.28994
-0.01829	0.4372
-0.018214	0.55876
-0.018157	0.65093
-0.018119	0.71178
-0.018101	0.74123
-0.018101	0.74087
-0.018118	0.71373
-0.018149	0.66391
-0.018192	0.59614
-0.018243	0.5154
-0.018298	0.42649
-0.018356	0.33379
-0.018414	0.24117
-0.01847	0.15224
-0.018521	0.07053
-0.018565	-0.00030844
-0.0186	-0.056577
-0.018624	-0.094831
-0.018635	-0.11239
-0.018632	-0.10788
-0.018615	-0.081556
-0.018586	-0.03552
-0.018547	0.026525
-0.018501	0.0998
-0.018452	0.17922
-0.018401	0.26005
-0.018352	0.3383
-0.018307	0.41075
-0.018267	0.47493
-0.018233	0.5291
-0.018206	0.5723
-0.018186	0.60452
-0.018172	0.62679
-0.018163	0.64094
-0.018158	0.64911
-0.018156	0.65297
-0.018156	0.65321
-0.018158	0.64952
-0.018163	0.641
-0.018172	0.62683
-0.018185	0.60682
-0.018201	0.58169
-0.018219	0.55308
-0.018237	0.52313
-0.018255	0.49408
-0.018272	0.46778
-0.018286	0.44556
-0.018297	0.42812
-0.018304	0.41557
-0.018309	0.40758
-0.018312	0.4036
-0.018312	0.40299
-0.018311	0.40506
-0.018308	0.409
-0.018305	0.41402
-0.018302	0.41947
-0.018298	0.42507
-0.018295	0.43115
-0.01829	0.43876
-0.018283	0.44973
-0.018272	0.46647
-0.018257	0.49154
-0.018234	0.527
-0.018205	0.57381
-0.018169	0.63145
-0.018127	0.698
-0.018082	0.7705
-0.018035	0.84571
-0.017988	0.92085
-0.017942	0.99398
-0.017899	1.064
-0.017857	1.1301
-0.017819	1.1915
-0.017785	1.2454
-0.01776	1.2859
-0.017746	1.3091
-0.017743	1.314
-0.01775	1.302
-0.017766	1.2762
-0.017789	1.241
-0.017814	1.201
-0.017839	1.1603
-0.017863	1.1217
-0.017887	1.0836
-0.017914	1.0397
-0.017952	0.98016
-0.018006	0.89373
-0.018084	0.77002
-0.018189	0.60229
-0.018322	0.38937
-0.018481	0.13659
-0.018656	-0.14457
-0.01884	-0.43769
-0.019018	-0.72337
-0.019179	-0.98143
-0.019311	-1.193
-0.019404	-1.3426
-0.019452	-1.4193
-0.019451	-1.4183
-0.019402	-1.3407
-0.019309	-1.1936
-0.019181	-0.98879
-0.019026	-0.74183
-0.018856	-0.46993
-0.018681	-0.19024
-0.018511	0.081943
-0.018354	0.33436
-0.018214	0.55847
-0.018095	0.74942
-0.017997	0.90539
-0.017922	1.0266
-0.017867	1.114
-0.017833	1.1688
-0.017819	1.1912
-0.017826	1.1812
-0.017853	1.1383
-0.017901	1.062
-0.01797	0.9522
-0.018059	0.80961
-0.018168	0.63591
-0.018294	0.4341
-0.018435	0.20879
-0.018587	-0.03389
-0.018745	-0.2864
-0.018903	-0.54011
-0.019057	-0.7858
-0.0192	-1.0143
-0.019326	-1.2171
-0.019432	-1.3868
-0.019514	-1.4409
-0.019574	-1.4464
-0.019617	-1.4503
-0.019642	-1.4525
-0.019647	-1.4522
-0.019628	-1.4222
-0.019581	-1.347
-0.019504	-1.2241
-0.019398	-1.0557
-0.019268	-0.84829
-0.019121	-0.61252
-0.018964	-0.36132
-0.018806	-0.10864
-0.018655	0.13201
-0.01852	0.34871
-0.018406	0.53206
-0.018316	0.67563
-0.018254	0.77588
-0.018219	0.83167
-0.018212	0.84354
-0.018231	0.81301
-0.018276	0.74187
-0.018345	0.63176
-0.018438	0.48392
-0.018553	0.29942
-0.018691	0.079678
-0.018849	-0.17272
-0.019025	-0.45333
-0.019214	-0.75533
-0.01941	-1.0694
-0.019607	-1.384
-0.019793	-1.4661
-0.019964	-1.4815
-0.020119	-1.4955
-0.020258	-1.5081
-0.020379	-1.519
-0.020481	-1.5283
-0.020564	-1.5358
-0.020627	-1.5414
-0.020664	-1.5449
-0.020672	-1.5441
-0.020642	-1.4964
-0.020568	-1.3796
-0.02045	-1.1915
-0.020291	-0.93672
-0.020096	-0.62588
-0.019876	-0.27471
-0.019643	0.097582
-0.01941	0.47012
-0.01919	0.82222
-0.018995	1.1353
-0.018833	1.3943
-0.018712	1.5887
-0.018636	1.7122
-0.018608	1.757
-0.018631	1.7215
-0.018698	1.6147
-0.018799	1.4529
-0.018923	1.2555
-0.019058	1.04
-0.019195	0.82049
-0.019329	0.60622
-0.019457	0.40201
-0.019577	0.20902
-0.019691	0.026219
-0.0198	-0.14802
-0.019904	-0.31458
-0.020003	-0.47267
-0.020095	-0.6193
-0.020176	-0.7495
-0.020243	-0.85681
-0.020291	-0.93419
-0.020316	-0.97485
-0.020315	-0.97325
-0.020285	-0.92588
-0.020226	-0.83189
-0.020139	-0.69335
-0.020028	-0.51523
-0.019896	-0.30496
-0.01975	-0.071569
-0.019595	0.17539
-0.019438	0.42693
-0.019283	0.6754
-0.019133	0.91491
-0.018992	1.1413
-0.01886	1.3514
-0.018748	1.5318
-0.018666	1.6638
-0.018621	1.7364
-0.018614	1.7475
-0.018642	1.7029
-0.018698	1.6149
-0.01877	1.4995
-0.018848	1.3744
-0.018922	1.2561
-0.018983	1.1582
-0.019025	1.0906
-0.019045	1.0577
