  0.093	0.000000
  0.125	0.000435
  0.155	0.000652
  0.195	0.000761
  0.232	0.000761
  0.271	0.001087
  0.311	0.001304
  0.312	0.001196
  0.343	0.001304
  0.374	0.001522
  0.404	0.001739
  0.435	0.001739
  0.467	0.001848
  0.497	0.002065
  0.527	0.002065
  0.558	0.002283
  0.588	0.002283
  0.619	0.002391
  0.651	0.002500
  0.684	0.002717
  0.713	0.002935
  0.744	0.002826
  0.775	0.003043
  0.809	0.003804
  0.835	0.003913
  0.837	0.005217
  0.868	0.005435
  0.896	0.005761
  0.930	0.006304
  0.959	0.006848
  0.993	0.007500
  1.021	0.008587
  1.052	0.009239
  1.081	0.009891
  1.117	0.010650
  1.143	0.011200
  1.149	0.011410
  1.177	0.012280
  1.211	0.013150
  1.237	0.013910
  1.241	0.016960
  1.275	0.017280
  1.276	0.019240
  1.319	0.019570
  1.360	0.020540
  1.400	0.021300
  1.432	0.021960
  1.473	0.023480
  1.510	0.025220
  1.548	0.027070
  1.592	0.029130
  1.623	0.031410
  1.658	0.034460
