7.93 1.914e-02 8.017e-03
7.86 1.933e-02 8.190e-03
7.76 1.896e-02 8.448e-03
8.07 1.952e-02 8.448e-03
8.13 1.970e-02 8.534e-03
8.23 2.045e-02 8.707e-03
8.08 2.119e-02 8.707e-03
8.33 2.082e-02 8.966e-03
8.29 2.175e-02 8.966e-03
8.27 2.212e-02 9.052e-03
8.72 2.230e-02 9.483e-03
8.81 2.416e-02 9.569e-03
8.96 2.472e-02 9.828e-03
9.13 2.584e-02 1.000e-02
8.70 2.602e-02 1.034e-02
9.26 2.695e-02 1.060e-02
9.45 2.807e-02 1.112e-02
9.62 2.993e-02 1.138e-02
9.79 3.160e-02 1.181e-02
9.96 3.346e-02 1.207e-02
10.04 3.494e-02 1.250e-02
9.76 3.810e-02 1.319e-02
9.68 3.885e-02 1.353e-02
10.05 4.145e-02 1.405e-02
9.88 4.331e-02 1.448e-02
10.29 4.461e-02 1.500e-02
9.98 4.517e-02 1.491e-02
10.47 4.703e-02 1.534e-02
10.30 4.814e-02 1.569e-02
10.58 4.963e-02 1.595e-02
10.33 5.093e-02 1.647e-02
10.13 5.260e-02 1.647e-02
10.03 5.279e-02 1.647e-02
9.93 5.297e-02 1.672e-02
9.91 5.335e-02 1.664e-02
10.53 5.409e-02 1.716e-02
10.40 5.483e-02 1.698e-02
10.37 5.465e-02 1.733e-02
10.06 6.784e-02 1.819e-02
9.62 7.007e-02 1.819e-02
9.49 7.156e-02 1.819e-02
9.32 7.286e-02 1.836e-02
9.26 7.286e-02 1.862e-02
9.99 7.565e-02 1.879e-02
6.24 5.000e-02 1.543e-02
6.13 5.260e-02 1.595e-02
6.32 5.576e-02 1.543e-02
5.99 5.390e-02 1.560e-02
5.98 5.428e-02 1.569e-02
5.53 5.390e-02 1.569e-02
4.61 5.260e-02 1.560e-02
3.90 5.242e-02 1.509e-02
3.37 5.149e-02 1.500e-02
2.88 5.056e-02 1.466e-02
2.49 4.926e-02 1.448e-02
1.92 4.814e-02 1.362e-02
1.47 4.517e-02 1.345e-02
0.95 4.238e-02 1.276e-02
0.68 4.052e-02 1.216e-02
0.11 3.513e-02 1.069e-02
-0.01 3.364e-02 1.026e-02
