  0.020	-0.000222
  0.048	-0.000111
  0.055	0.000000
  0.103	0.000111
  0.164	0.000556
  0.178	0.000000
  0.212	0.000667
  0.255	0.001000
  0.289	0.001000
  0.298	-0.000222
  0.323	-0.000333
  0.362	0.000000
  0.394	0.000889
  0.428	0.000444
  0.466	0.000444
  0.501	0.001000
  0.539	0.001444
  0.574	0.002222
  0.608	0.002444
  0.647	0.002889
  0.651	0.003444
  0.683	0.003667
  0.721	0.003889
  0.755	0.004222
  0.790	0.004778
  0.817	0.005111
  0.858	0.005778
  0.894	0.006222
  0.895	0.007000
  0.933	0.007222
  0.970	0.007556
  1.004	0.008444
  1.038	0.009000
  1.072	0.010110
  1.074	0.011220
  1.109	0.011560
  1.113	0.012560
  1.149	0.012780
  1.165	0.014560
  1.197	0.017110
  1.234	0.018560
  1.247	0.020110
  1.252	0.021440
  1.282	0.022220
  1.325	0.024670
  1.341	0.027780
  1.347	0.033220
  1.382	0.034780
  1.393	0.051560
  1.425	0.054890
  1.448	0.060670
