CB1 GMAX1 GMAX2 CEMAX1 CEMAX2
0.50000E-01 0.72748E+00 0.59336E+00 0.82634E+02 0.15862E+02
0.10000E+00 0.58063E-01 0.26818E-01 0.21840E+03 0.42019E+02
0.15000E+00 0.72737E+00 0.15961E-01 0.12882E+03 0.25880E+02
0.20000E+00 0.42745E-01 0.26083E-01 0.38656E+03 0.99639E+02
0.30000E+00 0.60615E-01 0.30957E-01 0.52218E+03 0.12915E+03
0.40000E+00 0.66427E-01 0.28279E-01 0.65048E+03 0.13434E+03
0.50000E+00 0.54093E-01 0.66242E-01 0.61816E+03 0.17874E+03
0.60000E+00 0.74054E-01 0.34507E-01 0.60057E+03 0.13741E+03
0.70000E+00 0.64274E-01 0.31166E-01 0.58616E+03 0.14139E+03
0.80000E+00 0.27178E-01 0.15488E-01 0.54399E+03 0.15088E+03
0.90000E+00 0.43209E-01 0.70525E-02 0.58449E+03 0.37762E+02
0.10000E+01 0.19883E-01 0.61985E-02 0.39319E+03 0.50287E+02
