CH.000,CH.001,CH.002,CH.003,CH.004,CH.005,CH.006,CH.007,CH.008,CH.009,CH.010,CH.011,CH.012,CH.013,CH.014,CH.015,CH.020,CH.021,CH.022,CH.023,CH.024,CH.025,CH.026,CH.027,CH.028,CH.029,CH.030,CH.031,CH.032,CH.033,CH.034,CH.035,CH.036,CH.037,CH.038,CH.039,CH.040,CH.041,CH.042,CH.043,CH.044,CH.045,CH.046,CH.047,CH.048,,,,,,,,,,,,GAMMA,THETA,THETA-UL,THETA-UR,THETA-DL,THETA-DR,DELTA-UL,DELTA-UR,DELTA-DL,DELTA-DR,CH.000,P/M
15,0.779999971,0,0.039999999,0.02,0.01,-0.01,0.01,-0.02,0,-0.01,0.01,0.01,-0.039999999,0,-43,6,-17,35,7,8,23,-12,-30,29,-9,-9,-14,-27,-1,-23,-25,-11,-1,9,-18,-15,3,-13,6,-15,3,1,-7,,,,,,,,,,,,,0.000285714,4.31034E-06,0.000363636,0.000363636,-0.000363636,0.000727273,-0.005,-0.01,0,-0.015,15,8.241758242
275,0.920000017,1,0.75999999,0.02,0.01,-0.01,0.01,-0.090000004,0,0.109999999,0.109999999,-0.180000007,-0.219999999,0,-11,40,-14,35,20,12,15,-4,-16,27,-9,21,-15,-29,20,-12,-44,-1,4,2,-14,4,-5,-20,10,-17,-11,7,3,,,,,,,,,,,,,0.000336996,4.31034E-06,0.000363636,0.001636364,0,0.004,-0.040000002,-0.045000002,0.109999999,-0.200000003,275,151.0989011
411,1.679999948,2,1.860000014,0.029999999,0.01,0.090000004,0.109999999,-0.090000004,0,0.319999993,0.349999994,-0.379999995,-0.389999986,0,-8,13,-15,33,-3,-14,14,-20,-40,19,-15,-28,-32,-53,-18,-31,-48,-19,-23,-13,-20,-25,-16,-22,-6,-26,-24,-13,-20,,,,,,,,,,,,,0.000615385,8.62069E-06,0.000363636,0.001636364,-0.000545455,0.007090909,0.009999998,-0.045000002,0.334999993,-0.38499999,411,225.8241758
461,3.170000076,2.5,2.420000076,0.039999999,0.01,0.090000004,0.109999999,-0.090000004,0,0.439999998,0.449999988,-0.469999999,-0.529999971,0,-23,35,-11,31,23,-11,12,-11,-41,21,-35,-31,-20,-56,-9,-37,-58,-21,-6,-5,-25,-15,-13,-32,3,-23,-20,-4,-18,,,,,,,,,,,,,0.001161172,1.2931E-05,0.000363636,0.001636364,-0.000181818,0.009636363,0.009999998,-0.045000002,0.444999993,-0.499999985,461,253.2967033
506,3.400000095,3,2.980000019,0.050000001,0.01,0.090000004,0.109999999,-0.090000004,0,0.560000002,0.579999983,-0.610000014,-0.629999995,0,-23,48,-10,30,16,-3,13,-12,-37,36,-35,-4,-17,-40,-4,-25,-44,-7,-4,-2,-30,-14,-1,-19,2,-20,-13,-3,-16,,,,,,,,,,,,,0.001245421,1.72414E-05,0.000363636,0.001636364,-0.000363636,0.011454545,0.009999998,-0.045000002,0.569999993,-0.620000005,506,278.021978
541,3.799999952,3.5,3.559999943,0.059999999,0.01,0.090000004,0.200000003,-0.189999998,0,0.649999976,0.680000007,-0.75999999,-0.790000021,0,-20,50,-16,23,20,-10,12,-6,-18,25,-32,13,-18,-27,17,-20,-41,-7,2,-9,-32,-1,-7,-24,13,-23,-27,-2,-1,,,,,,,,,,,,,0.001391941,2.15517E-05,0.002,0.003454545,-0.000545455,0.014363637,0.005000003,-0.094999999,0.664999992,-0.775000006,541,297.2527473
566,4.340000153,4,4.099999905,0.059999999,0.01,0.090000004,0.200000003,-0.189999998,0,0.75,0.769999981,-0.850000024,-0.910000026,0,-6,43,-6,34,26,2,20,2,-19,29,-23,15,-16,-19,11,-18,-47,-11,-5,-6,-12,0,-7,-25,3,-28,-26,6,-1,,,,,,,,,,,,,0.001589744,2.15517E-05,0.002,0.003454545,-0.000363636,0.016545455,0.005000003,-0.094999999,0.75999999,-0.880000025,566,310.989011
636,5.46999979,5,5.599999905,0.039999999,0.01,-0.01,0.170000002,-0.189999998,-0.109999999,0.899999976,0.910000026,-1.190000057,-1.25,0,-42,25,-40,6,-1,-31,-2,-35,-96,-30,-68,-88,-43,-80,-21,-52,-83,-28,-20,-1,-14,-17,-24,-47,0,-27,-14,-3,-30,,,,,,,,,,,,,0.002003663,1.2931E-05,0.003272727,0.001454545,-0.000181819,0.022727273,-0.009999998,-0.149999999,0.905000001,-1.220000029,636,349.4505495
686,6.579999924,5.5,6.400000095,0.059999999,0.01,0.090000004,0.200000003,-0.189999998,-0.100000001,1.080000043,1.090000033,-1.350000024,-1.429999948,0,-58,43,-28,8,2,-51,-6,-35,-92,-22,-51,-104,-55,-96,-26,-59,-89,-24,-26,-14,-5,-27,-29,-42,5,-36,-21,-14,-30,,,,,,,,,,,,,0.002410256,2.15517E-05,0.002,0.001636364,-0.000181818,0.025999999,0.005000003,-0.145,1.085000038,-1.389999986,686,376.9230769
726,6.869999886,6.5,7.179999828,0.079999998,0.01,0.090000004,0.200000003,-0.189999998,-0.109999999,1.24000001,1.25,-1.5,-1.629999995,0,-48,38,-29,9,-1,-47,-14,-40,-85,-28,-63,-94,-55,-98,-17,-58,-86,-18,-23,-23,-28,-29,-22,-42,6,-29,-33,-15,-23,,,,,,,,,,,,,0.002516483,3.01724E-05,0.002,0.001454545,-0.000181818,0.029636364,0.005000003,-0.149999999,1.245000005,-1.564999998,726,398.9010989
