#CH_000_4b_2,CH_001_4b_2,CH_002_4b_2,CH_003_4b_2,GAMMA_4b_2,#CH_000_4b_2
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.000000,0.780000,0.000000,0.040000,0.000286,15.000000
-230.000000,-0.230000,-0.500000,0.900000,-0.000084,-230.000000
-270.000000,-0.080000,-1.000000,0.600000,-0.000029,-270.000000
-346.000000,-1.040000,-1.500000,0.000000,-0.000381,-346.000000
-416.000000,-1.640000,-2.000000,-0.600000,-0.000601,-416.000000
-446.000000,-2.120000,-2.500000,-0.920000,-0.000777,-446.000000
-536.000000,-2.280000,-3.000000,-1.840000,-0.000835,-536.000000
-561.000000,-3.350000,-3.500000,-2.140000,-0.001227,-561.000000
-591.000000,-3.310000,-4.000000,-2.440000,-0.001212,-591.000000
-616.000000,-3.700000,-4.500000,-2.760000,-0.001355,-616.000000
-681.000000,-4.390000,-5.000000,-3.640000,-0.001608,-681.000000
-746.000000,-6.240000,-5.500000,-4.380000,-0.002286,-746.000000
-806.000000,-6.360000,-6.000000,-5.140000,-0.002330,-806.000000
-866.000000,-6.730000,-7.000000,-5.900000,-0.002465,-866.000000
-916.000000,-7.690000,-7.500000,-6.660000,-0.002817,-916.000000
-966.000000,-8.780000,-8.500000,-7.420000,-0.003216,-966.000000
-1007.000000,-9.170000,-9.500000,-8.200000,-0.003359,-1007.000000
-1012.000000,-10.110000,-10.000000,-8.740000,-0.003703,-1012.000000
-1057.000000,-11.630000,-11.500000,-10.140000,-0.004223,-1057.000000
-1142.000000,-12.880000,-13.000000,-11.660000,-0.004681,-1142.000000
-1217.000000,-14.310000,-14.500000,-13.240000,-0.005205,-1217.000000
-1287.000000,-16.290001,-15.500000,-14.800000,-0.005930,-1287.000000
-1357.000000,-17.209999,-17.000000,-16.360001,-0.006267,-1357.000000
-1417.000000,-19.200001,-18.500000,-17.920000,-0.006996,-1417.000000
-1452.000000,-20.719999,-20.000000,-19.379999,-0.007553,-1452.000000
-1487.000000,-30.530001,-30.500000,-29.379999,-0.011183,-1487.000000
-1587.000000,-34.049999,-33.500000,-32.660000,-0.012473,-1587.000000
-1657.000000,-37.220001,-36.500000,-35.939999,-0.013634,-1657.000000
-1728.000000,-40.680000,-40.000000,-39.259998,-0.014901,-1728.000000
-1743.000000,-43.290001,-43.000000,-41.939999,-0.015857,-1743.000000
