#CH_000_3b_2,CH_001_3b_2,CH_002_3b_2,CH_003_3b_2,GAMMA_3b_2,#CH_000_3b_2
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.000000,-1.460000,0.000000,0.040000,-0.000535,5.000000
95.000000,-1.070000,0.500000,0.140000,-0.000388,95.000000
240.000000,-0.500000,1.000000,0.780000,-0.000179,240.000000
341.000000,0.290000,1.500000,1.460000,0.000110,341.000000
396.000000,0.780000,2.000000,2.020000,0.000289,396.000000
431.000000,1.340000,2.500000,2.360000,0.000495,431.000000
496.000000,1.970000,3.000000,3.100000,0.000725,496.000000
556.000000,2.270000,4.000000,3.800000,0.000832,556.000000
601.000000,2.700000,4.500000,4.320000,0.000993,601.000000
651.000000,3.980000,5.000000,5.100000,0.001469,651.000000
736.000000,4.210000,5.500000,5.920000,0.001546,736.000000
776.000000,4.610000,6.000000,6.360000,0.001692,776.000000
861.000000,5.830000,6.500000,7.220000,0.002139,861.000000
936.000000,6.550000,8.000000,8.080000,0.002399,936.000000
1047.000000,8.050000,8.500000,9.380000,0.002952,1047.000000
1082.000000,8.410000,9.000000,10.060000,0.003084,1082.000000
1227.000000,10.610000,11.000000,11.980000,0.003890,1227.000000
1297.000000,11.210000,12.000000,12.860000,0.004110,1297.000000
1407.000000,12.850000,13.500000,14.540000,0.004685,1407.000000
1507.000000,14.350000,15.000000,16.280001,0.005220,1507.000000
1552.000000,15.250000,16.000000,17.200001,0.005549,1552.000000
1642.000000,16.680000,17.500000,18.940001,0.006073,1642.000000
1728.000000,18.650000,19.000000,20.700001,0.006795,1728.000000
1803.000000,21.830000,22.500000,24.059999,0.007923,1803.000000
1983.000000,25.690001,26.000000,27.680000,0.009337,1983.000000
2063.000000,27.260000,28.000000,29.680000,0.009912,2063.000000
2188.000000,30.580000,31.000000,33.340000,0.011128,2188.000000
2298.000000,34.560001,34.000000,37.020000,0.012586,2298.000000
2349.000000,36.230000,36.000000,38.900002,0.013198,2349.000000
2429.000000,40.259998,39.500000,42.540001,0.014674,2429.000000
2509.000000,54.400002,53.000000,56.540001,0.019890,2509.000000
2639.000000,61.889999,59.500000,64.139999,0.022634,2639.000000
2659.000000,65.120003,63.000000,67.860001,0.023817,2659.000000
