#CH_000_4a_2,CH_001_4a_2,CH_002_4a_2,CH_003_4a_2,GAMMA_4a_2,#CH_000_4a_2
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,-0.030000,0.000000,0.000000,-0.000011,0.000000
25.000000,-0.090000,0.500000,0.020000,-0.000033,25.000000
80.000000,-0.030000,1.000000,0.020000,-0.000011,80.000000
120.000000,1.020000,1.500000,0.320000,0.000374,120.000000
155.000000,1.310000,2.000000,1.000000,0.000480,155.000000
180.000000,1.760000,2.500000,1.500000,0.000645,180.000000
200.000000,2.400000,3.000000,2.020000,0.000879,200.000000
225.000000,3.080000,3.500000,2.680000,0.001128,225.000000
245.000000,3.340000,4.000000,3.200000,0.001223,245.000000
265.000000,4.370000,4.500000,3.700000,0.001601,265.000000
285.000000,5.020000,5.000000,4.380000,0.001839,285.000000
305.000000,5.230000,5.500000,4.940000,0.001919,305.000000
336.000000,6.270000,6.500000,5.760000,0.002297,336.000000
361.000000,7.350000,7.000000,6.600000,0.002696,361.000000
371.000000,7.270000,7.500000,7.020000,0.002667,371.000000
396.000000,8.260000,8.500000,7.840000,0.003026,396.000000
416.000000,9.050000,9.000000,8.680000,0.003319,416.000000
431.000000,9.690000,9.500000,9.100000,0.003549,431.000000
446.000000,10.160000,10.000000,9.900000,0.003722,446.000000
476.000000,12.670000,12.500000,11.980000,0.004645,476.000000
501.000000,13.120000,13.000000,12.800000,0.004810,501.000000
536.000000,15.130000,15.000000,14.520000,0.005546,536.000000
571.000000,16.389999,16.500000,16.219999,0.006007,571.000000
586.000000,17.299999,17.500000,17.040001,0.006341,586.000000
616.000000,19.620001,19.000000,18.700001,0.007190,616.000000
646.000000,20.860001,21.000000,20.420000,0.007645,646.000000
656.000000,25.510000,25.000000,24.860001,0.009352,656.000000
701.000000,27.020000,27.000000,26.820000,0.009905,701.000000
761.000000,30.799999,30.500000,30.360001,0.011289,761.000000
781.000000,32.680000,32.000000,32.139999,0.011978,781.000000
831.000000,35.939999,36.000000,35.740002,0.013168,831.000000
871.000000,39.340000,39.500000,39.380001,0.014418,871.000000
886.000000,41.250000,41.000000,41.139999,0.015114,886.000000
901.000000,61.709999,60.000000,60.340000,0.022615,901.000000
926.000000,68.040001,66.500000,67.300003,0.024934,926.000000
931.000000,75.639999,74.500000,74.320000,0.027718,931.000000
936.000000,78.540001,78.000000,77.779999,0.028780,936.000000
946.000000,86.339996,85.000000,84.519997,0.031637,946.000000
981.000000,179.529999,177.500000,179.529999,0.065762,981.000000
