CH.000,CH.001,CH.002,CH.003,CH.004,CH.005,CH.006,CH.007,CH.008,CH.009,CH.010,CH.011,CH.012,CH.013,CH.014,CH.015,CH.020,CH.021,CH.022,CH.023,CH.024,CH.025,CH.026,CH.027,CH.028,CH.029,CH.030,CH.031,CH.032,CH.033,CH.034,CH.035,CH.036,CH.037,CH.038,CH.039,CH.040,CH.041,CH.042,CH.043,CH.044,CH.045,CH.046,CH.047,CH.048,,,,,,,,,,,,GAMMA,THETA,THETA-UL,THETA-UR,THETA-DL,THETA-DR,DELTA-UL,DELTA-UR,DELTA-DL,DELTA-DR,CH.000,P/M
781,7.289999962,7,7.5,-0.01,0.01,0.589999974,0.75,-0.949999988,-0.829999983,1.019999981,0.920000017,-0.239999995,-0.400000006,0,-6,-17,26,0,0,-13,-2,-13,-13,13,-19,-11,5,-21,-10,-13,-6,1,-2,3,-17,-19,-1,-4,1,3,0,-6,-18,,,,,,,,,,,,,0.00267033,-8.62069E-06,0.002909091,0.002181818,0.001818181,0.007272727,-0.099999994,-0.889999986,0.969999999,-0.32,781,429.1208791
816,8.079999924,7.5,7.960000038,-0.01,0.01,0.670000017,0.790000021,-1.049999952,-0.829999983,1.139999986,1.019999981,-0.239999995,-0.409999996,0,4,-15,15,-8,-5,-16,-15,-11,-5,17,9,-4,1,-29,-5,-12,-9,-4,-16,-3,7,-19,-4,-14,-6,-11,-4,-10,-9,,,,,,,,,,,,,0.002959707,-8.62069E-06,0.002181818,0.003999999,0.002181818,0.007454545,-0.129999965,-0.939999968,1.079999983,-0.324999996,816,448.3516484
881,8.670000076,8.5,8.899999619,0,0.01,0.699999988,0.870000005,-1.049999952,-0.819999993,1.370000005,1.25,-0.239999995,-0.449999988,0,-11,-8,25,-16,14,-7,-11,-2,-18,-7,-26,1,2,-14,2,-12,-16,-3,11,-11,-4,0,-10,-10,4,7,-5,4,-6,,,,,,,,,,,,,0.003175824,-4.31034E-06,0.003090909,0.004181817,0.002181818,0.008181818,-0.089999974,-0.934999973,1.310000002,-0.344999991,881,484.0659341
911,9.420000076,9,9.380000114,-0.01,0.01,0.769999981,0.939999998,-1.049999952,-0.829999983,1.49000001,1.360000014,-0.239999995,-0.460000008,0,2,-10,27,-11,17,-2,-7,-2,-15,-1,-23,7,7,-16,-7,-2,-13,5,0,-9,-22,-10,3,-8,-2,1,-11,1,-4,,,,,,,,,,,,,0.003450549,-8.62069E-06,0.003090909,0.003999999,0.002363636,0.008363637,-0.054999977,-0.939999968,1.425000012,-0.350000001,911,500.5494505
941,9.81000042,9.5,9.880000114,-0.01,0.01,0.769999981,0.99000001,-1.049999952,-0.829999983,1.610000014,1.470000029,-0.239999995,-0.460000008,-0.01,-7,-25,27,-4,-2,-16,-10,-13,-12,18,-12,-17,6,-21,-17,-11,0,-4,-6,-4,-19,-27,-7,-1,-9,1,0,-12,-12,,,,,,,,,,,,,0.00359707,-8.62069E-06,0.004000001,0.003999999,0.002545454,0.008181818,-0.029999971,-0.939999968,1.540000021,-0.350000001,941,517.032967
971,10.59000015,10.5,10.69999981,-0.039999999,0.01,0.860000014,1.090000033,-1.049999952,-0.819999993,1.799999952,1.620000005,-0.239999995,-0.469999999,-0.01,-1,-9,34,-6,6,-12,-7,-5,1,7,-16,-9,18,-12,-6,0,-5,14,2,2,-18,-7,5,1,12,3,5,-4,2,,,,,,,,,,,,,0.003882784,-2.15517E-05,0.004181819,0.004181817,0.003272726,0.008363636,0.020000041,-0.934999973,1.709999979,-0.354999997,971,533.5164835
1022,11.97999954,11.5,12.03999996,-0.039999999,0.100000001,1.169999957,1.460000038,-0.839999974,-0.620000005,1.940000057,1.789999962,-0.239999995,-0.540000021,0,9,0,17,14,6,12,7,5,-4,17,-14,9,20,-8,4,6,4,15,17,15,-7,-7,11,4,20,20,16,9,3,,,,,,,,,,,,,0.004388278,-6.03448E-05,0.005272729,0.003999999,0.002727274,0.009818182,0.310000032,-0.729999989,1.86500001,-0.390000008,1022,561.5384615
1082,12.76000023,12.5,12.97999954,-0.039999999,0.100000001,1.320000052,1.639999986,-0.839999974,-0.620000005,2.099999905,1.950000048,-0.239999995,-0.579999983,-0.01,9,8,1,-8,-3,-21,-21,-5,-1,-5,-11,0,-6,-29,-2,-14,-19,8,9,-12,-8,-14,-12,-12,19,9,-11,-8,-15,,,,,,,,,,,,,0.004677656,-6.03448E-05,0.005818181,0.003999999,0.00272727,0.010363636,0.400000006,-0.729999989,2.024999976,-0.409999989,1082,594.5054945
1192,15.18999958,14.5,14.89999962,-0.039999999,0.100000001,1.600000024,1.99000001,-0.839999974,-0.620000005,2.460000038,2.269999981,-0.239999995,-0.639999986,0,12,6,32,3,27,12,4,1,5,1,-24,26,21,-12,20,5,-9,14,20,9,-14,5,8,1,20,19,5,19,5,,,,,,,,,,,,,0.005564102,-6.03448E-05,0.007090909,0.003999999,0.003454546,0.011636363,0.575000018,-0.729999989,2.36500001,-0.43999999,1192,654.9450549
1237,15.55000019,15,15.85999966,-0.039999999,0.100000001,1.75,2.180000067,-0.790000021,-0.519999981,2.650000095,2.450000048,-0.239999995,-0.660000026,0,2,-3,12,6,15,-5,-9,-5,-10,12,-14,6,6,-14,2,3,-9,10,3,3,-1,0,6,-2,12,7,0,8,0,,,,,,,,,,,,,0.005695971,-6.03448E-05,0.007818183,0.004909092,0.003636365,0.012,0.695000023,-0.655000001,2.550000072,-0.45000001,1237,679.6703297
