#CH_000_5b_2	CH_001_5b_2	CH_002_5b_2	CH_003_5b_2	GAMMA_5b_2	#CH_000_5b_2
-1647.000000	-67.139999	-68.000000	-71.080002	-0.024593	-1647.000000
-1617.000000	-59.349998	-60.000000	-61.880001	-0.021740	-1617.000000
-1582.000000	-55.580002	-55.500000	-57.340000	-0.020359	-1582.000000
-1567.000000	-41.860001	-41.000000	-42.459999	-0.015256	-1567.000000
-1527.000000	-40.320000	-39.000000	-40.279999	-0.014692	-1527.000000
-1482.000000	-38.330002	-37.500000	-38.080002	-0.013978	-1482.000000
-1402.000000	-34.090000	-33.000000	-33.759998	-0.012447	-1402.000000
-1367.000000	-32.200001	-31.000000	-31.580000	-0.011758	-1367.000000
-1247.000000	-27.840000	-27.000000	-27.320000	-0.010161	-1247.000000
-1182.000000	-25.799999	-24.500000	-25.180000	-0.009429	-1182.000000
-1072.000000	-21.340000	-20.000000	-20.280001	-0.007740	-1072.000000
-1062.000000	-20.290001	-19.500000	-19.040001	-0.007355	-1062.000000
-1047.000000	-18.750000	-18.500000	-18.040001	-0.006791	-1047.000000
-971.000000	-17.360001	-16.000000	-16.100000	-0.006319	-971.000000
-936.000000	-16.000000	-15.000000	-15.120000	-0.005821	-936.000000
-906.000000	-14.710000	-14.500000	-14.140000	-0.005388	-906.000000
-836.000000	-12.650000	-12.500000	-12.200000	-0.004634	-836.000000
-791.000000	-12.170000	-11.000000	-11.200000	-0.004454	-791.000000
-731.000000	-10.340000	-9.500000	-9.240000	-0.003747	-731.000000
-701.000000	-9.180000	-8.500000	-8.260000	-0.003322	-701.000000
-681.000000	-8.490000	-8.000000	-7.780000	-0.003070	-681.000000
-616.000000	-6.880000	-7.000000	-6.320000	-0.002516	-616.000000
-576.000000	-6.000000	-6.000000	-5.360000	-0.002198	-576.000000
-551.000000	-5.560000	-5.500000	-4.880000	-0.002033	-551.000000
-491.000000	-4.640000	-5.000000	-3.900000	-0.001696	-491.000000
-486.000000	-4.040000	-4.500000	-3.520000	-0.001480	-486.000000
-456.000000	-3.640000	-4.000000	-2.920000	-0.001330	-456.000000
-421.000000	-3.020000	-3.500000	-2.340000	-0.001106	-421.000000
-391.000000	-2.480000	-3.000000	-1.740000	-0.000905	-391.000000
-381.000000	-2.370000	-2.500000	-1.540000	-0.000868	-381.000000
-336.000000	-1.550000	-2.000000	-0.760000	-0.000568	-336.000000
-245.000000	-0.260000	-1.000000	0.440000	-0.000092	-245.000000
0.000000	0.560000	0.000000	0.000000	0.000205	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.560000	0.000000	0.000000	0.000205	0.000000
70.000000	0.560000	0.500000	0.100000	0.000205	70.000000
130.000000	0.720000	1.000000	0.400000	0.000264	130.000000
200.000000	0.960000	1.500000	0.860000	0.000352	200.000000
275.000000	1.680000	2.000000	1.440000	0.000619	275.000000
346.000000	2.340000	2.500000	2.040000	0.000857	346.000000
411.000000	2.870000	3.000000	2.620000	0.001051	411.000000
491.000000	3.950000	3.500000	3.460000	0.001447	491.000000
511.000000	4.220000	4.000000	3.660000	0.001546	511.000000
591.000000	4.730000	4.500000	4.640000	0.001736	591.000000
606.000000	5.000000	5.000000	4.860000	0.001832	606.000000
666.000000	6.180000	6.000000	6.060000	0.002264	666.000000
781.000000	7.290000	7.000000	7.500000	0.002670	781.000000
816.000000	8.080000	7.500000	7.960000	0.002960	816.000000
881.000000	8.670000	8.500000	8.900000	0.003176	881.000000
911.000000	9.420000	9.000000	9.380000	0.003451	911.000000
941.000000	9.810000	9.500000	9.880000	0.003597	941.000000
971.000000	10.590000	10.500000	10.700000	0.003883	971.000000
1022.000000	11.980000	11.500000	12.040000	0.004388	1022.000000
1082.000000	12.760000	12.500000	12.980000	0.004678	1082.000000
1192.000000	15.190000	14.500000	14.900000	0.005564	1192.000000
1237.000000	15.550000	15.000000	15.860000	0.005696	1237.000000
1282.000000	16.799999	16.000000	16.799999	0.006154	1282.000000
1367.000000	18.389999	17.500000	18.639999	0.006736	1367.000000
1407.000000	19.469999	18.500000	19.600000	0.007132	1407.000000
1457.000000	21.200001	20.000000	21.379999	0.007766	1457.000000
1617.000000	27.290001	26.500000	27.480000	0.009960	1617.000000
1678.000000	29.389999	28.500000	29.559999	0.010729	1678.000000
1733.000000	31.809999	30.500000	31.639999	0.011615	1733.000000
1828.000000	35.570000	34.500000	35.720001	0.012993	1828.000000
1858.000000	37.669998	37.000000	37.820000	0.013762	1858.000000
1863.000000	41.669998	40.000000	41.919998	0.015227	1863.000000
