CH.000,CH.001,CH.002,CH.003,CH.004,CH.005,CH.006,CH.007,CH.008,CH.009,CH.010,CH.011,CH.012,CH.013,CH.014,CH.015,CH.020,CH.021,CH.022,CH.023,CH.024,CH.025,CH.026,CH.027,CH.028,CH.029,CH.030,CH.031,CH.032,CH.033,CH.034,CH.035,CH.036,CH.037,CH.038,CH.039,CH.040,CH.041,CH.042,CH.043,CH.044,CH.045,CH.046,CH.047,CH.048,,,,,,,,,,,,GAMMA,THETA,THETA-UL,THETA-UR,THETA-DL,THETA-DR,DELTA-UL,DELTA-UR,DELTA-DL,DELTA-DR,CH.000,P/M
0,0.560000002,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,-13,-11,24,-2,-4,-5,-12,-11,-14,5,-7,6,3,-25,-13,-9,-12,-9,-5,-7,-1,-14,-6,-12,-10,1,-8,-5,-5,,,,,,,,,,,,,0.000205128,-4.31034E-06,0,0,0.000181818,0,0,0,0.005,0,0,0
-245,-0.25999999,-1,0.439999998,-0.039999999,0.01,0,-0.050000001,0.140000001,0.150000006,-0.189999998,-0.189999998,0.150000006,0.209999993,-0.01,-17,14,21,3,12,2,-13,-1,3,9,-1,12,9,-15,9,1,-8,9,11,5,2,6,2,-3,14,13,2,9,8,,,,,,,,,,,,,-9.15751E-05,-2.15517E-05,-0.000909091,0.000181818,0,-0.004,0.045,0.145000003,-0.189999998,0.18,-245,-134.6153846
-336,-1.549999952,-2,-0.75999999,-0.039999999,0.01,-0.189999998,-0.189999998,0.319999993,0.310000002,-0.379999995,-0.289999992,0.400000006,0.460000008,0,-26,17,43,9,23,25,3,14,9,12,-2,45,18,6,19,18,2,12,14,5,0,18,13,1,6,14,0,25,19,,,,,,,,,,,,,-0.000567766,-2.15517E-05,0,-0.000181818,-0.001636364,-0.008363637,0.064999998,0.314999998,-0.334999993,0.430000007,-336,-184.6153846
-381,-2.369999886,-2.5,-1.539999962,-0.039999999,0.01,-0.270000011,-0.289999992,0.469999999,0.409999996,-0.370000005,-0.330000013,0.519999981,0.629999995,0,-11,5,47,15,7,-1,-7,-6,0,16,6,-3,13,-19,1,-3,6,7,11,10,4,-11,3,7,12,15,9,2,-5,,,,,,,,,,,,,-0.000868132,-2.15517E-05,-0.000363636,-0.001090909,-0.000727273,-0.011454545,0.090000004,0.439999998,-0.350000009,0.574999988,-381,-209.3406593
-391,-2.480000019,-3,-1.74000001,-0.039999999,0.01,-0.280000001,-0.379999995,0.529999971,0.460000008,-0.449999988,-0.370000005,0.519999981,0.660000026,-0.01,-15,23,37,11,21,2,-8,13,6,17,-20,9,18,-7,9,13,4,17,21,6,-17,8,14,6,23,14,1,16,9,,,,,,,,,,,,,-0.000904762,-2.15517E-05,-0.001818182,-0.001272727,-0.001454545,-0.012181819,0.074999988,0.49499999,-0.409999996,0.590000004,-391,-214.8351648
-421,-3.019999981,-3.5,-2.339999914,-0.039999999,0.01,-0.330000013,-0.419999987,0.629999995,0.50999999,-0.469999999,-0.379999995,0.620000005,0.720000029,0,-22,-19,13,-11,1,-13,-9,-29,-28,-11,-12,-16,0,-20,-22,-14,-4,-10,-2,-9,-3,-19,-8,-1,-1,-4,-3,-13,-24,,,,,,,,,,,,,-0.001106227,-2.15517E-05,-0.001636363,-0.002181818,-0.001636364,-0.01309091,0.105000004,0.569999993,-0.424999997,0.670000017,-421,-231.3186813
-456,-3.640000105,-4,-2.920000076,-0.050000001,0.01,-0.379999995,-0.469999999,0.670000017,0.519999981,-0.560000002,-0.430000007,0.699999988,0.800000012,-0.01,-15,13,23,5,13,5,-6,8,-1,8,2,9,14,-8,6,5,-5,6,14,-3,6,5,1,-2,14,8,4,13,8,,,,,,,,,,,,,-0.00132967,-2.58621E-05,-0.001636364,-0.002727273,-0.002363636,-0.014727273,0.100000009,0.594999999,-0.495000005,0.75,-456,-250.5494505
-486,-4.039999962,-4.5,-3.519999981,-0.039999999,0.01,-0.469999999,-0.569999993,0.74000001,0.610000014,-0.560000002,-0.479999989,0.75999999,0.889999986,0,-6,-10,21,5,-3,-8,-21,-11,-4,11,-4,0,-6,-25,-8,-9,-2,0,-3,-3,-13,-21,2,-6,2,0,-3,-7,-7,,,,,,,,,,,,,-0.001479853,-2.15517E-05,-0.001818182,-0.002363636,-0.001454546,-0.016181818,0.085000008,0.675000012,-0.519999996,0.824999988,-486,-267.032967
-491,-4.639999866,-5,-3.900000095,-0.039999999,0.01,-0.469999999,-0.589999974,0.839999974,0.720000029,-0.569999993,-0.479999989,0.810000002,0.99000001,-0.01,-16,4,31,6,13,0,-7,-6,-13,-8,-19,-5,12,-18,-1,-2,-12,16,17,10,-4,-3,-3,2,15,23,10,10,-3,,,,,,,,,,,,,-0.001695971,-2.15517E-05,-0.002181818,-0.002181817,-0.001636364,-0.018181818,0.125,0.780000001,-0.524999991,0.900000006,-491,-269.7802198
-551,-5.559999943,-5.5,-4.880000114,-0.140000001,0.119999997,-0.860000014,-0.939999998,1.049999952,0.899999976,-0.189999998,-0.090000004,0.839999974,1.029999971,-0.01,3,-2,42,-4,13,-5,-4,0,-14,25,-15,7,12,-8,-3,-3,-1,2,8,3,-6,-7,5,-6,7,7,7,8,-7,,,,,,,,,,,,,-0.002032967,-0.000112069,-0.001454545,-0.002727272,-0.001818182,-0.01890909,0.054999977,0.974999964,-0.140000001,0.934999973,-551,-302.7472527
-576,-6,-6,-5.360000134,-0.140000001,0.100000001,-0.850000024,-0.949999988,1.149999976,0.920000017,-0.280000001,-0.090000004,0.899999976,1.110000014,0,4,-1,42,-1,15,-9,-9,-1,-11,24,-26,-3,12,-18,4,2,-1,5,3,2,-18,1,7,-2,3,7,2,11,3,,,,,,,,,,,,,-0.002197802,-0.000103448,-0.001818181,-0.004181817,-0.003454545,-0.020181818,0.099999994,1.034999996,-0.185000002,1.004999995,-576,-316.4835165
-616,-6.880000114,-7,-6.320000172,-0.140000001,0.100000001,-0.860000014,-1.029999971,1.269999981,1.080000043,-0.319999993,-0.159999996,1.019999981,1.24000001,-0.01,-5,7,43,5,15,-1,-4,6,9,18,-34,2,18,-22,4,-2,-7,17,10,9,-27,-10,4,3,9,20,0,9,1,,,,,,,,,,,,,-0.002516484,-0.000103448,-0.003090908,-0.003454544,-0.002909091,-0.022727273,0.120000005,1.175000012,-0.239999995,1.129999995,-616,-338.4615385
-681,-8.489999771,-8,-7.78000021,-0.140000001,0.100000001,-0.860000014,-1.029999971,1.5,1.230000019,-0.469999999,-0.270000011,1.190000057,1.460000038,-0.109999999,1,-8,23,-4,5,3,-6,3,-5,11,-11,9,14,-23,0,-8,-10,7,7,-1,-11,-18,1,-6,7,10,-3,0,-11,,,,,,,,,,,,,-0.003069597,-0.000103448,-0.003090908,-0.004909091,-0.003636363,-0.028545455,0.235000014,1.36500001,-0.370000005,1.325000048,-681,-374.1758242
